SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																			
#																						
# Equipment Name	Output Name	TYPE:	COST:	WT:	SOURCEPAGE:																	
###Relics																						
Bleeding Statue		TYPE:Goods.Relics	COST:55000	WT:100	SOURCEPAGE:BoED																	
Rack of the Tortured Saint		TYPE:Goods.Relics	COST:180	WT:0	SOURCEPAGE:BoED																	
Sacred Vessel		TYPE:Goods.Relics	COST:2000	WT:0	SOURCEPAGE:BoED																	
Saint's Burial Shrouds		TYPE:Goods.Relics	COST:30000	WT:0	SOURCEPAGE:BoED																	
Saint's Fingerbone		TYPE:Goods.Relics	COST:2000	WT:0	SOURCEPAGE:BoED	BONUS:SAVE|ALL|1|TYPE=Resistance																
Weeping Image		TYPE:Goods.Relics	COST:65000	WT:0	SOURCEPAGE:BoED																	
																						
Moonblood		TYPE:Wondrous.Armor.Light.Specific.Consumable	COST:1500	WT:0	SOURCEPAGE:BoED		BONUS:COMBAT|AC|2|TYPE=Holy	EQMOD:CHARGED_ITEM_1|CHARGES[1]														
																						
##Block: Rings																						
Ring of Adamantine Touch		TYPE:Ring	COST:120000	WT:0	SOURCEPAGE:BoED	SPROP:allows the wearer to make melee weapon attacks and natural attacks as though wielding an adamantine weapon.																
Ring of Affliction		TYPE:Ring	COST:72000	WT:0	SOURCEPAGE:BoED	SPROP:Any natural or unarmed attack made by the ring's wearer forces the target to succeed on a DC 17 Fortitude save or succumb to an affliction of the ring wearer's choice																
Ring of Solar Wings		TYPE:Ring	COST:118000	WT:0	SOURCEPAGE:BoED	SPROP:When the ring is put on, the wearer grows gleaming white wings (like those of a solar) and gains the ability fly at a speed of 150 feet (good maneuverability). The wings disappear if the ring is removed.	MOVE:Fly,150	BONUS:VAR|Maneuverability|4|TYPE=Base														
Ring of Vengeance		TYPE:Ring	COST:4500	WT:0	SOURCEPAGE:BoED	SPROP:If the wearer of the ring dies, an arc of divine energy leaps from the ring and deals 15d6 points of damage to the creature that dealt the killing blow (Reflex DC 19 half). The damage is of divine origin and of a nonspecific energy type.																
																						
###Block: Rod																						
