SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																						
																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Acid Splash				TYPE:Spell	SCHOOL:Conjuration				COMPS:V, S	CASTTIME:1 action	RANGE:60 feet		DURATION:Instantaneous	SAVEINFO:Dexterity		DESC:You hurl a bubble of acid. Choose one creature within range, or choose two crealures within range thal are wilhin 5 feet of each other. A target must succeed on a Dexterity saving throw or lake Id6 acid damage. This spell's damage increases by Id6 when you reach 5th leveI (2d6), 11th leveI (3d6), and 17lh leveI (4d6).	SOURCEPAGE:PHB								
Aid				TYPE:Spell	SCHOOL:Abjuration				COMPS:V, S, M	CASTTIME:1 action	RANGE:30 feet		DURATION:8 hours			DESC:Your spell bolsters your allies with toughness and resolve. Choose up to three crealures within range. Each target's hit poinl maximum and current hit points increase by 5 for the duration. &nl; At Higher LeveIs. When you cast this spell using a spell slot of 3rd level or higher, a largel's hit points increase by an additional 5 for each slot level above 2nd. Material components: a tiny strip of white cloth.	SOURCEPAGE:PHB								
Alarm				TYPE:Spell	SCHOOL:Abjuration				COMPS:V, S, M	CASTTIME:1 minute	RANGE:30 feet		DURATION:8 hours			DESC:You set an alarm against unwanted intrusion. Choose a door. a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends. an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible. A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping. An audible alarm produces the sound of a hand bell for 10 seconds within 60 feel. Material components: a tiny bell and a piece of silver wire.	SOURCEPAGE:PHB								
Alter Self				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S	CASTTIME:1 action	RANGE:Self		DURATION:Concentration, up to 1 hour			DESC:You assume a different formo When you cast lhe spell. choose one of the following options, the effects of which last for the duralion of the spell. While lhe spell lasts, you can end one option as an aclion lo gain lhe benefils of a differenl one. &nl; AquaticAdaptation. You adapl your body lo an aqualic environmenl, sprouting gills and growing webbing belween your fingers. Voucan brealhe underwaler and gain a swimming speed equal lo your walking speed. &nl; Change Appearance. You lransform your appearance. You decide whal you look like, including your heighl, weighl, facial fealures, sound of your voice, hair lenglh, coloralion, and dislinguishing characlerislics, if any, You can make yourself appear as a member of anolher race, lhough none of your slalislics change. Voualso can'l appear as a crealure of a differenl size lhan you, and your basic shape slays lhe same; ifyou're bipedal, you can'l use lhis spell lo become quadrupedal, for inslance. AI any lime for lhe duralion of lhe spell, you can use your action lOchange your appearance in lhis way again. &nl; Natural Weapons. You grow claws, fangs, spines, horns, or a differenl nalural weapon of your choice. Your unarmed slrikes deal ld6 bludgeoning, piercing, or slashing damage, as appropriale lo lhe nalural weapon you chose, and you are proficienl wilh your unarmed slrikes. Finally, lhe natural weapon is magic and you have a +1 bonus lo lhe atlack and damage rolls you make using it.	SOURCEPAGE:PHB								
Animal Friendship				TYPE:Spell	SCHOOL:Enchantment				COMPS:V, S, M	CASTTIME:1 action	RANGE:30 feet		DURATION:24 hours	SAVEINFO:Wisdom		DESC:This spelllels you convince a beasl lhal you mean il no harm. Choose a beasl lhal you can see wilhin range. It musl see and hear you. Ir lhe beast's Inlelligence is 4 or higher, lhe spell fails. Olherwise, lhe beasl musl succeed on a Wisdom saving lhrow or be charmed by you for lhe spell's duralion. If you or one of your companions harms lhe largel, lhe spells ends. &nl; At Higher LeveIs. When you casl lhis spell using a spell sI01 of 2nd leveI or higher, you can affecl one addilional beasl for each slol leveI above 1st. &nl; Material Components: a morsel of food.	SOURCEPAGE:PHB								
Animal Messenger				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Ritual			COMPS:V, S, M	CASTTIME:1 action	RANGE:30 feet		DURATION:24 hours			DESC:By means of lhis spell, you use an animal to deliver a message. Choose a Tiny beasl you can see wilhin range, such as a squirrel, a blue jay, or a bat. Vouspecify a localion, which you musl have visiled, and a recipienl who malches a general descriplion, such as "a man or woman dressed in lhe uniform of lhe town guard" or "a red.haired dwarf wearing a poinled hat." Voualso speak a message of up lOlwenly-five words. The largel beasl lravels for lhe duralion of lhe spell loward lhe specified localion, covering aboul 50 miles per 24 hours for a flying messenger, or 25 miles for olher animaIs. When lhe messenger arrives, il delivers your message lo lhe crealure lhal you described, replicating lhe sound of your voice. The messenger speaks only lo a crealure malching lhe descriplion you gave. If lhe messenger doesn'l reach its deslinalion before lhe spell ends, lhe message is losl, and lhe beasl makes ils way back to where you casl lhis spell. &nl; At Higher LeveIs. If you casl lhis spell using a spell slot of 3nd levei or higher, lhe duralion of lhe spell increases by 48 hours for each slol levei above 2nd. &nl; Material component: a morsel of food.	SOURCEPAGE:PHB								
Animal Shapes				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S	CASTTIME:1 action	RANGE:30 feet		DURATION:Concentration, up to 24 hours			DESC:Your magic lurns others into beasts. Choose any number of willing crealures lhal you can see within range. You transform each targel into the form of a Large or smaller beasl wilh a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures inlo new forms. The transformation lasls for lhe duration for each largel, or until the target drops to O hit points or dies. You can choose a different form for each larget. A largel's game stalistics are replaced by the stalislics of lhe chosen beast, though the largel relains ils alignmenl and Inlelligence, Wisdom, and Charisma scores. The largel assumes lhe hil poinls of ils new form, and when it reverls lo ils normal form, il relurns to the number of hil points it had before il lransformed. If il reverls as a result of dropping to O hit poinls, any excess damage carries over lo ils normal formoAs long as the excess damage doesn'l reduce lhe crealure's normal form lo O hil poinls, it isn'l knocked unconscious. The creature is limiled in lhe aclions il can perform by lhe nalure of its new form, and it can'l speak or casl spells. The largel's gear melds into lhe new formoThe largel can't aclivate, wield, or olherwise benefil from any of ils equipment.	SOURCEPAGE:PHB								
Animate Dead				TYPE:Spell	SCHOOL:Necromancy				COMPS:V, S, M	CASTTIME:1 minute	RANGE:10 feet		DURATION:Instantaneous			DESC:This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues lhe targel wilh a foul mimicry of life, raising il as an undead crealure. The largel becomes a skeleton ifyou chose bones or a zombie if you chose a corpse (lhe DMhas lhe crealure's game slalislics). On each of your lurns, you can use a bonus aclion lOmentally command any crealure you made with lhis spell if lhe creature is within 60 feel of you (ifyou control multi pie creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. lf you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one. &nl; At Higher Leve/s. When you cast this spell using a spell slot of 4th leveI or higher, you animate or reassert contraI over two additional undead creatures for each slot levei above 3rd. Each of the creatures must come from a different corpse or pile of bones. &nl; Material components: a drop of blood, a piece of flesh and a pinch of bone dust.	SOURCEPAGE:PHB								
Animate Objects				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S	CASTTIME:1 action	RANGE:120 feet		DURATION:Concentration, up to 1 minute			DESC:Objects come to \ife at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your contrai until the spell ends or until reduced to Ohit points. As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you contrai multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. An animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotion, it instead has a f1yingspeed of 30 feet and can hover. lf the object is securely attached to a surface or a larger object, sue h as a chain bolted to a wall, its speed is O. It has blindsight with a radius of 30 feet and is b\ind beyond that distance. When the animated object drops to Ohit points, it reverts to its original object form, and any remaining damage carries over to its original object formo lf you command an object to attack, it can make a single melee attack against a creature within 5 feet of it. [t makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form. &nl; At Higher Leve/s. Ifyou cast this spell using a spell slot of 6th leveI or higher, you can animate two additional objects for each slot leveI above 5th.	SOURCEPAGE:PHB								
Antilife Shell				TYPE:Spell	SCHOOL:Abjuration				COMPS:V, S	CASTTIME:1 action	RANGE:Self (10-foot radius)		DURATION:Concentration, up to 1 hour			DESC:A shimmering barrier extends out from you in a IO-foot radius and moves with you, remaining centered on you and hedging out creatures other than undead and constrllcts. The barrier lasts for the duration. The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier. If you move so that an affected creatllre is forced to pass through the barrier, the spell ends.	SOURCEPAGE:PHB								
