SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																																																				
#																																																						
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page												
#[Normal Feat]	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Choose a normal feat.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Feat|1													SOURCEPAGE:DMG												
Additional Magic Item Space	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Choose one type of magic item that has a limit on the number you can simultaneously wear and gain its benefit, such as ring or belt. You can now wear one more magic item of this type and also gain its benefit.	STACK:NO	MULT:YES	CHOOSE:STRING|AMULET|ARMOR|BELT|BOOT|BRACER|CAPE|EYEGEAR|GLOVE|HANDS|HEADGEAR|LEGS|RING|ROBE|SHIRT|SUIT											BONUS:SLOTS|LIST|1			SOURCEPAGE:ELH												
Armor Skin	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:You gain a +2 natural armor bonus to Armor Class, or your existing natural armor bonus increases by 2. This feat does not stack with any natural armor bonus granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE						BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE								SOURCEPAGE:ELH												
Augmented Alchemy	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Craft (Alchemy)=24			PRESTAT:1,INT=21									DESC:Whenever creating an alchemical item or substance, you can choose to make it more powerful than normal by adding +20 to the DC required to create it and multiplying its price by 5. If the item or substance deals damage, double the damage dealt. If the item or substance doesn't deal damage, double the duration of its effect. If the item or substance doesn't deal damage and doesn't have a specific listed duration (or has an instantaneous duration), double all dimensions of its area. If the item or substance doesn't fit any of these categories, then it cannot be affected by this feat. See the Alchemy skill description earlier in this chapter for more information.																	SOURCEPAGE:ELH												
Automatic Quicken Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Quicken Spell						PRESKILL:1,Spellcraft=30								PRETEXT:Ability to cast 9th level arcane or divine spells.				DESC:You may cast all 0-, 1st-, 2nd-, and 3rd-level spells as quickened spells without using higher-level spell slots. The normal limit to the number of quickened spells you may cast per round applies. Spells with a casting time of more than 1 full round can't be quickened.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Automatic Silent Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Silent Spell						PRESKILL:1,Spellcraft=24								PRETEXT:Ability to cast 9th level arcane or divine spells.				DESC:You may cast all 0-, 1st-, 2nd-, and 3rd-level spells as silent spells without using higher-level spell slots.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Automatic Still Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Still Spell						PRESKILL:1,Spellcraft=27								PRETEXT:Ability to cast 9th level arcane or divine spells.				DESC:You may cast all 0-, 1st-, 2nd-, and 3rd-level spells as stilled spells without using higher-level spell slots.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Bane of Enemies	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Survival=24									PREVARGTEQ:FavoredEnemyBonusCount,5			DESC:Any weapon you wield against one of your favored enemies is treated as a bane weapon for that creature type (thus, its enhancement bonus is increased by +2 and it deals +2d6 points of damage). This ability doesn't stack with similar abilities (for instance, if the weapon is already a bane weapon).																	SOURCEPAGE:ELH												
Blinding Speed	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,DEX=25								DEFINE:BlindingSpeed|0	DESC:You can act as if hasted for 5 rounds each day. The duration of the effect need not be consecutive rounds. Activating this power is a free action.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|BlindingSpeed|5|TYPE=Base.STACK			SOURCEPAGE:ELH	DESC:%1 rounds/day|BlindingSpeed											
Bonus Domain	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,WIS=21					PRETEXT:Ability to cast 9th divine spells.				DESC:Choose an additional domain from your deity's domain list. You now have access to that domain's spells and granted powers as normal for your domain spells.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:DOMAIN|NUMBER|1 			SOURCEPAGE:ELH												
