SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#BLOCK:Warmage																																
Advanced Learning	CATEGORY:Special Ability	TYPE:WarmageAdvancedLearning	VISIBLE:DISPLAY	DESC:Choose a spell.	KEY:Warmage ~ Advanced Learning ~ Advenced Learning								BONUS:SPELLKNOWN|CLASS=Warmage;LEVEL=%|1						STACK:NO	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Wizard,SCHOOL=Evocation[LEVELMIN=1;LEVELMAX=MAXCASTABLE]	SELECT:1									SORTKEY:Class_Warmage	SOURCEPAGE:CA
Sudden Empower	CATEGORY:Special Ability	TYPE:WarmageSuddenEmpower	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Empower ~ Sudden Empower	!PREABILITY:1,CATEGORY=FEAT,Sudden Empower																	ABILITY:FEAT|AUTOMATIC|Sudden Empower								SORTKEY:Class_Warmage	SOURCEPAGE:CA
Metamagic Feat	CATEGORY:Special Ability	TYPE:WarmageSuddenEmpower	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Empower ~ Metamagic Feat	PREABILITY:1,CATEGORY=FEAT,Sudden Empower								BONUS:ABILITYPOOL|Warmage Metamagic|1																	SORTKEY:Class_Warmage	SOURCEPAGE:CA
Sudden Enlarge	CATEGORY:Special Ability	TYPE:WarmageSuddenEnlarge	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Enlarge ~ Sudden Enlarge	!PREABILITY:1,CATEGORY=FEAT,Sudden Enlarge																	ABILITY:FEAT|AUTOMATIC|Sudden Enlarge								SORTKEY:Class_Warmage	SOURCEPAGE:CA
Metamagic Feat	CATEGORY:Special Ability	TYPE:WarmageSuddenEnlarge	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Enlarge ~ Metamagic Feat	PREABILITY:1,CATEGORY=FEAT,Sudden Enlarge								BONUS:ABILITYPOOL|Warmage Metamagic|1																	SORTKEY:Class_Warmage	SOURCEPAGE:CA
Sudden Widen	CATEGORY:Special Ability	TYPE:WarmageSuddenWiden	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Widen ~ Sudden Widen	!PREABILITY:1,CATEGORY=FEAT,Sudden Widen																	ABILITY:FEAT|AUTOMATIC|Sudden Widen								SORTKEY:Class_Warmage	SOURCEPAGE:CA
Metamagic Feat	CATEGORY:Special Ability	TYPE:WarmageSuddenWiden	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Widen ~ Metamagic Feat	PREABILITY:1,CATEGORY=FEAT,Sudden Widen								BONUS:ABILITYPOOL|Warmage Metamagic|1																	SORTKEY:Class_Warmage	SOURCEPAGE:CA
Sudden Maximize	CATEGORY:Special Ability	TYPE:WarmageSuddenMaximize	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Maximize ~ Sudden Maximize	!PREABILITY:1,CATEGORY=FEAT,Sudden Maximize																	ABILITY:FEAT|AUTOMATIC|Sudden Maximize								SORTKEY:Class_Warmage	SOURCEPAGE:CA
Metamagic Feat	CATEGORY:Special Ability	TYPE:WarmageSuddenWiden	VISIBLE:DISPLAY		KEY:Warmage ~ Sudden Maximize ~ Metamagic Feat	PREABILITY:1,CATEGORY=FEAT,Sudden Maximize								BONUS:ABILITYPOOL|Warmage Metamagic|1																	SORTKEY:Class_Warmage	SOURCEPAGE:CA
#BLOCK:Wu Jen																																
Enlarge	CATEGORY:Special Ability	TYPE:SpellSecret	VISIBLE:DISPLAY	DESC:Enlarged spell.					BONUS:SPELLKNOWN|CLASS=Wu Jen;LEVEL=%|1						STACK:NO	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Wu Jen[LEVELMAX=MAXCASTABLE;LEVELMIN=1]	SELECT:1													SORTKEY:Class_Wu_Jen	SOURCEPAGE:CA
