SOURCELONG:Gozzilioni Rsrd Modifications Basic	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07

# Class Name		Visible
CLASS:Expert.MOD
1	ABILITY:Special Ability|AUTOMATIC|Skill Level ~ Base	BONUS:VAR|SkillLVL|ExpertLVL

# Class Name		Visible
CLASS:Sorcerer/Domain	VISIBLE:NO
# Class Name				Spell Stat		Spell Type		Memorize	Caster level						Use Spell List
CLASS:Sorcerer/Domain	SPELLSTAT:CHA	FACT:SpellType|Arcane	MEMORIZE:NO	BONUS:CASTERLEVEL|Sorcerer/Domain|CL	SPELLLIST:1|Sorcerer
# Air Domain
1	SPELLLEVEL:CLASS|Sorcerer=1|Obscuring Mist|Sorcerer=2|Wind Wall|Sorcerer=3|Gaseous Form|Sorcerer=4|Air Walk|Sorcerer=5|Control Winds|Sorcerer=6|Chain Lightning|Sorcerer=7|Control Weather|Sorcerer=8|Whirlwind|Sorcerer=9|Elemental Swarm|PREVAREQ:AirDomainAllowed,1
# Destruction
1	SPELLLEVEL:CLASS|Sorcerer=1|Inflict Light Wounds|Sorcerer=2|Shatter|Sorcerer=3|Contagion|Sorcerer=4|Inflict Critical Wounds|Sorcerer=5|Inflict Light Wounds (Mass)|Sorcerer=6|Harm|Sorcerer=7|Disintegrate|Sorcerer=8|Earthquake|Sorcerer=9|Implosion|PREVAREQ:DestructionDomainAllowed,1
# Earth Domain
1	SPELLLEVEL:CLASS|Sorcerer=1|Magic Stone|Sorcerer=2|Soften Earth and Stone|Sorcerer=3|Stone Shape|Sorcerer=4|Spike Stones|Sorcerer=5|Wall of Stone|Sorcerer=6|Stoneskin|Sorcerer=7|Earthquake|Sorcerer=8|Iron Body|Sorcerer=9|Elemental Swarm|PREVAREQ:EarthDomainAllowed,1
# Fire Domain
1	SPELLLEVEL:CLASS|Sorcerer=1|Burning Hands|Sorcerer=2|Produce Flame|Sorcerer=3|Resist Energy|Sorcerer=4|Wall of Fire|Sorcerer=5|Fire Shield|Sorcerer=6|Fire Seeds|Sorcerer=7|Fire Storm|Sorcerer=8|Incendiary Cloud|Sorcerer=9|Elemental Swarm|PREVAREQ:FireDomainAllowed,1
# Healing
1	SPELLLEVEL:CLASS|Sorcerer=1|Cure Light Wounds|Sorcerer=2|Cure Moderate Wounds|Sorcerer=3|Cure Serious Wounds|Sorcerer=4|Cure Critical Wounds|Sorcerer=5|Cure Light Wounds (Mass)|Sorcerer=6|Heal|Sorcerer=7|Regenerate|Sorcerer=8|Cure Critical Wounds (Mass)|Sorcerer=9|Heal (Mass)|PREVAREQ:HealingDomainAllowed,1
# Sun Domain
1	SPELLLEVEL:CLASS|Sorcerer=1|Endure Elements|Sorcerer=2|Heat Metal|Sorcerer=3|Searing Light|Sorcerer=4|Fire Shield|Sorcerer=5|Flame Strike|Sorcerer=6|Fire Seeds|Sorcerer=7|Sunbeam|Sorcerer=8|Sunburst|Sorcerer=9|Prismatic Sphere|PREVAREQ:SunDomainAllowed,1
# Travel
1	SPELLLEVEL:CLASS|Sorcerer=1|Longstrider|Sorcerer=2|Locate Object|Sorcerer=3|Fly|Sorcerer=4|Dimension Door|Sorcerer=5|Teleport|Sorcerer=6|Find the Path|Sorcerer=7|Teleport (Greater)|Sorcerer=8|Phase Door|Sorcerer=9|Astral Projection|PREVAREQ:TravelDomainAllowed,1
# Water Domain
1	SPELLLEVEL:CLASS|Sorcerer=1|Obscuring Mist|Sorcerer=2|Fog Cloud|Sorcerer=3|Water Breathing|Sorcerer=4|Control Water|Sorcerer=5|Ice Storm|Sorcerer=6|Cone of Cold|Sorcerer=7|Acid Fog|Sorcerer=8|Horrid Wilting|Sorcerer=9|Elemental Swarm|PREVAREQ:WaterDomainAllowed,1
# Animal Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Calm Animals|Sorcerer=2|Hold Animal|Sorcerer=3|Dominate Animal|Sorcerer=4|Summon Nature's Ally IV|Sorcerer=5|Commune with Nature|Sorcerer=6|Antilife Shell|Sorcerer=7|Animal Shapes|Sorcerer=8|Summon Nature's Ally VIII|Sorcerer=9|Shapechange|PREVAREQ:AnimalDomainAllowed,1
# Chaos Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Protection from Law|Sorcerer=2|Shatter|Sorcerer=3|Magic Circle against Law|Sorcerer=4|Chaos Hammer|Sorcerer=5|Dispel Law|Sorcerer=6|Animate Objects|Sorcerer=7|Word of Chaos|Sorcerer=8|Cloak of Chaos|Sorcerer=9|Summon Monster IX|PREVAREQ:ChaosDomainAllowed,1
# Death
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Cause Fear|Sorcerer=2|Death Knell|Sorcerer=3|Animate Dead|Sorcerer=4|Death Ward|Sorcerer=5|Slay Living|Sorcerer=6|Create Undead|Sorcerer=7|Destruction|Sorcerer=8|Create Greater Undead|Sorcerer=9|Wail of the Banshee|PREVAREQ:DeathDomainAllowed,1
# Evil Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Protection from Good|Sorcerer=2|Desecrate|Sorcerer=3|Magic Circle against Good|Sorcerer=4|Unholy Blight|Sorcerer=5|Dispel Good|Sorcerer=6|Create Undead|Sorcerer=7|Blasphemy|Sorcerer=8|Unholy Aura|Sorcerer=9|Summon Monster IX|PREVAREQ:EvilDomainAllowed,1
# Good Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Protection from Evil|Sorcerer=2|Aid|Sorcerer=3|Magic Circle against Evil|Sorcerer=4|Holy Smite|Sorcerer=5|Dispel Evil|Sorcerer=6|Blade Barrier|Sorcerer=7|Holy Word|Sorcerer=8|Holy Aura|Sorcerer=9|Summon Monster IX|PREVAREQ:GoodDomainAllowed,1
# Law Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Protection from Chaos|Sorcerer=2|Calm Emotions|Sorcerer=3|Magic Circle against Chaos|Sorcerer=4|Order's Wrath|Sorcerer=5|Dispel Chaos|Sorcerer=6|Hold Monster|Sorcerer=7|Dictum|Sorcerer=8|Shield of Law|Sorcerer=9|Summon Monster IX|PREVAREQ:LawDomainAllowed,1
# Luck Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Entropic Shield|Sorcerer=2|Aid|Sorcerer=3|Protection from Energy|Sorcerer=4|Freedom of Movement|Sorcerer=5|Break Enchantment|Sorcerer=6|Mislead|Sorcerer=7|Spell Turning|Sorcerer=8|Moment of Prescience|Sorcerer=9|Miracle|PREVAREQ:LuckDomainAllowed,1
# Knowledge Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Detect Secret Doors|Sorcerer=2|Detect Thoughts|Sorcerer=3|Clairaudience/Clairvoyance|Sorcerer=4|Divination|Sorcerer=5|True Seeing|Sorcerer=6|Find the Path|Sorcerer=7|Legend Lore|Sorcerer=8|Discern Location|Sorcerer=9|Foresight|PREVAREQ:KnowledgeDomainAllowed,1
# Magic
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Magic Aura|Sorcerer=2|Identify|Sorcerer=3|Dispel Magic|Sorcerer=4|Imbue with Spell Ability|Sorcerer=5|Spell Resistance|Sorcerer=6|Antimagic Field|Sorcerer=7|Spell Turning|Sorcerer=8|Protection from Spells|Sorcerer=9|Mage's Disjunction|PREVAREQ:MagicDomainAllowed,1
# Plant
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Entangle|Sorcerer=2|Barkskin|Sorcerer=3|Plant Growth|Sorcerer=4|Command Plants|Sorcerer=5|Wall of Thorns|Sorcerer=6|Repel Wood|Sorcerer=7|Animate Plants|Sorcerer=8|Control Plants|Sorcerer=9|Shambler|PREVAREQ:PlantDomainAllowed,1
# Protection
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Sanctuary|Sorcerer=2|Shield Other|Sorcerer=3|Protection from Energy|Sorcerer=4|Spell Immunity|Sorcerer=5|Spell Resistance|Sorcerer=6|Antimagic Field|Sorcerer=7|Repulsion|Sorcerer=8|Mind Blank|Sorcerer=9|Prismatic Sphere|PREVAREQ:ProtectionDomainAllowed,1
# Strength
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Enlarge Person|Sorcerer=2|Bull's Strength|Sorcerer=3|Magic Vestment|Sorcerer=4|Spell Immunity|Sorcerer=5|Righteous Might|Sorcerer=6|Stoneskin|Sorcerer=7|Grasping Hand|Sorcerer=8|Clenched Fist|Sorcerer=9|Crushing Hand|PREVAREQ:StrengthDomainAllowed,1
# Trickery Domain
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Disguise Self|Sorcerer=2|Invisibility|Sorcerer=3|Nondetection|Sorcerer=4|Confusion|Sorcerer=5|False Vision|Sorcerer=6|Mislead|Sorcerer=7|Screen|Sorcerer=8|Polymorph Any Object|Sorcerer=9|Time Stop|PREVAREQ:TrickeryDomainAllowed,1
# War
# 1	SPELLLEVEL:CLASS|Sorcerer=1|Magic Weapon|Sorcerer=2|Spiritual Weapon|Sorcerer=3|Magic Vestment|Sorcerer=4|Divine Power|Sorcerer=5|Flame Strike|Sorcerer=6|Blade Barrier|Sorcerer=7|Power Word Blind|Sorcerer=8|Power Word Stun|Sorcerer=9|Power Word Kill|PREVAREQ:WarDomainAllowed,1
###Block:
1	CAST:5,3				KNOWN:4,2
2	CAST:6,4				KNOWN:5,2
3	CAST:6,5				KNOWN:5,3
4	CAST:6,6,3				KNOWN:6,3,1
5	CAST:6,6,4				KNOWN:6,4,2
6	CAST:6,6,5,3			KNOWN:7,4,2,1
7	CAST:6,6,6,4			KNOWN:7,5,3,2
8	CAST:6,6,6,5,3			KNOWN:8,5,3,2,1
9	CAST:6,6,6,6,4			KNOWN:8,5,4,3,2
10	CAST:6,6,6,6,5,3			KNOWN:9,5,4,3,2,1
11	CAST:6,6,6,6,6,4			KNOWN:9,5,5,4,3,2
12	CAST:6,6,6,6,6,5,3		KNOWN:9,5,5,4,3,2,1
13	CAST:6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,3,2
14	CAST:6,6,6,6,6,6,5,3		KNOWN:9,5,5,4,4,3,2,1
15	CAST:6,6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,4,3,2
16	CAST:6,6,6,6,6,6,6,5,3		KNOWN:9,5,5,4,4,4,3,2,1
17	CAST:6,6,6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,4,3,3,2
18	CAST:6,6,6,6,6,6,6,6,5,3	KNOWN:9,5,5,4,4,4,3,3,2,1
19	CAST:6,6,6,6,6,6,6,6,6,4	KNOWN:9,5,5,4,4,4,3,3,3,2
20	CAST:6,6,6,6,6,6,6,6,6,6	KNOWN:9,5,5,4,4,4,3,3,3,3

CLASS:Elemental (Air/Fire).MOD	PRERACE:1,RACESUBTYPE=Air,RACESUBTYPE=Fire

CLASS:Elemental (Earth/Water).MOD	PRERACE:1,RACESUBTYPE=Earth,RACESUBTYPE=Water

CLASS:Outsider (Mindless)	HD:8		TYPE:Monster	CLASSTYPE:Monster	MAXLEVEL:NOLIMIT	SOURCEPAGE:MM	ABILITY:Special Ability|AUTOMATIC|Outsider Proficiencies|PREVAREQ:NoTypeProficiencies,0	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	BONUS:MISC|CR|floor((HD-BASEHD)/2)	BONUS:SAVE|BASE.Fortitude,BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2
CLASS:Outsider (Mindless)	PRERACETYPE:Outsider
CLASS:Outsider (Mindless)	STARTSKILLPTS:0	MODTOSKILLS:NO
