SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
#Half-Fey Template																																				
Wings	CATEGORY:Special Ability	TYPE:HalfFeyRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All half-fey have butterflylike wings unless the base creature has wings already.	KEY:Half-Fey ~ Butterfly Wings									BONUS:VAR|Maneuverability|4|TYPE=Base																		SOURCEPAGE:FF				
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfFeyRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-fey ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Charm Person|PRELEVEL:MIN=1|PRESTAT:1,WIS=8,CHA=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Hypnotism|Faerie Fire|Glitterdust|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Detect Law|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Sleep|Enthrall|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Protection from Law|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Tasha's Hideous Laughter|Suggestion|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Confusion|Emotion|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Eyebite|Geas (Lesser)|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Dominate Person|Hold Monster|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:FF	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Invisibility (Mass)|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Geas/Quest|Suggestion (Mass)|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Insanity|Charm Monster (Mass)|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Otto's Irresistible Dance|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
																																				
#Half-Illithid Template																																				
Mind Blast	CATEGORY:Special Ability	TYPE:HalfIllithidRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A half-illithid can use this attack once per day. It is a cone 40 feet long. Anyone caught in this cone must succeed on a Will save (DC 13 + half-illithid's Int modifier) or be stunned for 1d4 rounds.	KEY:Half-Illithid ~ Mind Blast	DESC:Will DC %1.|MindBlastDC			DEFINE:MindBlastDC|0					BONUS:VAR|MindBlastDC|DefaultDCInt	BONUS:VAR|MindBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mind Blast)								ABILITY:Ability Focus|AUTOMATIC|Mind Blast									SOURCEPAGE:FF				
Improved Grab	CATEGORY:Special Ability	TYPE:HalfIllithidRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a half-illithid hits an opponent that is its own size or smaller with a tentacle attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity. If it gets a hold, it attaches the tentacle to the opponent's head. After a successful grab, the half-illithid can try to attach its remaining tentacles with a single grapple check. The opponent can escape with a single successful grapple check or Escape Artist check, but the half-illithid gets a +2 circumstance bonus for every tentacle that was attached at the beginning of the opponent's turn.	KEY:Half-Illithid ~ Improved Grab																											SOURCEPAGE:FF				
Extract	CATEGORY:Special Ability	TYPE:HalfIllithidRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A half-illithid that successfully maintains its hold with all four tentacles for 1 full round automatically extracts the opponent's brain at the beginning of its next turn, instantly killing that creature.	KEY:Half-Illithid ~ Extract																											SOURCEPAGE:FF				
Psionics	CATEGORY:Special Ability	TYPE:HalfIllithidRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES																				SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Detect Thoughts|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Suggestion|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Levitate|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=7|CASTERLEVEL=8|Charm Monster|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8						SOURCEPAGE:FF				
Telepathy	CATEGORY:Special Ability	TYPE:HalfIllithidRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A half-illithid can communicate with any creature within 100 feet that has a language.	KEY:Half-Illithid ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:FF				
																																				
#Half-Troll Template																																				
Rend	CATEGORY:Special Ability	TYPE:HalfTrollRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a half-troll hits with two or more claw attacks against the same opponent, it latches onto the opponent's body and tears the flesh. This attack automatically deals an additional amount of damage based on the half-troll's size (see the table below). A half-troll adds 1 1/2 times its Strength modifier to this base rend damage.	KEY:Half-Troll ~ Rend																											SOURCEPAGE:FF				
																																				
#Huecuva Template																																				
