SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																																																															
#																																																																		
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page																								
Baleful Moan	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Daunting Presence														PREMULT:2,[PRERACE:1,RACETYPE=Undead],[PRERACE:1,RACESUBTYPE=Incorporeal]			DEFINE:BalefulMoanDC|0	DESC:You can emit a moan as a standard action. All living creatures within a 30-foot spread must succeed on a Will save (DC 10 + 1/2 your HD + your Cha modifi er) or become shaken for 1 minute. This is a supernatural, sonic, necromantic, mindaffecting, fear effect. A creature that successfully saves against the moan cannot be affected by your moan for 24 hours. Special: If you already have the frightful moan ability (see the ghost's special attacks, page 117 of the Monster Manual), instead of the normal benefi ts of this feat, the DC to resist your frightful moan ability increases by 2.														BONUS:VAR|BalefulMoanDC|DefaultDC+CHA|TYPE=Base			SOURCEPAGE:LM																								
Bolster Resistance	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Corpsecrafter																	DEFINE:BolsterResistance|0	DESC:Each undead you raise or create with any necromancy spell gains +4 turn resistance.														BONUS:VAR|BolsterResistance|1			SOURCEPAGE:LM																								
Contagious Paralysis	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Paralysis																		DESC:Any creature paralyzed by your special attack can confer paralysis to other creatures that touch it. Any creature touching a creature that you have paralyzed is immediately affected as if you had delivered a paralyzing attack upon it (using the same save DC to resist, if allowed). If a creature successfully saves against your contagious paralysis attack, it can't be affected by your attack for 24 hours.																	SOURCEPAGE:LM																								
Corpsecrafter	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																					DEFINE:Corpsecrafter|0	DESC:Each undead you raise or create with any necromancy spell gains a +4 enhancement bonus to Strength and +2 hit points per Hit Die.														BONUS:VAR|Corpsecrafter|1			SOURCEPAGE:LM																								
Corrupted Wild Shape	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Wild Shape														PRERACE:1,RACETYPE=Undead				DESC:You can use your wild shape ability even though you are undead. The ability functions just as if you were a living creature using the ability, with the following exceptions. You do not gain a Constitution score in the new form, and you retain all the immunities of the undead type while in your new form. The form you assume looks half-decayed, with missing patches of fur and rotted, worm-eaten fl esh. While you are in this form, the rank odor of death hangs around you 																	SOURCEPAGE:LM																								
Daunting Presence	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:1											PRESTAT:1,CHA=13								DEFINE:DauntingPresenceDC|0	DESC:You may take a standard action to awe an opponent. The opponent must be within 30 feet, have line of sight to you, and have an Intelligence score. If the opponent fails a Will saving throw (DC 10 + 1/2 your character level + your Cha modifier), it is shaken for 10 minutes. This feat has no effect on a creature that is already shaken. DC %1.|DauntingPresenceDC														BONUS:VAR|DauntingPresenceDC|10+(TL/2)+CHA			SOURCEPAGE:LM																								
Deadly Chill	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Corpsecrafter																		DESC:Each corporeal undead you raise or create with any necromancy spell deals an extra 1d6 points of cold damage with its natural weapons.																	SOURCEPAGE:LM																								
Death Master	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES		PRETOTALAB:1		PREABILITY:1,CATEGORY=FEAT,Daunting Presence									PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Undead				DESC:Whenever you score a critical hit with a melee attack against a living foe, the foe is also shaken for 1 minute. This is a mind-affecting, fear effect.																	SOURCEPAGE:LM																								
Destruction Retribution	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Corpsecrafter																		DESC:Each undead you raise or create with any necromancy spell releases a burst of negative energy upon its destruction, dealing 1d6 points of damage plus an additional 1d6 points per 2 Hit Dice to every creature within a 10-foot spread (Reflex DC 15 half). This damage comes from negative energy, and it therefore heals undead creatures.																	SOURCEPAGE:LM																								
Divine Accuracy	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead,TYPE=RebukeUndead																		DESC:Spend one of your turn or rebuke attempts to grant all your allies (including yourself) within a 60-foot burst the ability to reroll their miss chance with melee attacks whenever they miss a foe because of a miss chance caused by incorporealness. This effect lasts for 1 minute and can be used once per missed attack.																	SOURCEPAGE:LM																								
