SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10
																	
#Special Ability																	
###Block: Armors and Shields																	
Ectoplasmatic Feedback	KEY:ECTO_FEEDB	TYPE:Armor	COST:8000	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Creates a backlash positive energy when its wearer is hit by an incorporeal melee touch attack dealing 1d6 points of damage.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	
Ghost Ward	KEY:GHOST_WRD	TYPE:Armor.Shield	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Add the armor or shield's enhancement bonus (but not its armor or shield bonus) to his Armor Class against incorporeal touch attacks.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	
																	
###Block: Weapons																	
Ghost Strike	KEY:GHOST_STRIKE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Deals normal damage vs. incorporeal creatures regardless of bonus. Can deliver sneak attacks or critical hits to an incorporeal undead creature as if the creature were not undead.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	
Profane	KEY:PROFANE_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures (+2d6 against good outsiders), 1d4 CON/round damage wielder.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	
Profane	KEY:PROFANE_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures (+2d6 against good outsiders), 1d4 CON/round damage wielder.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	
Profane	KEY:PROFANE_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures bestowed on ammunition (+2d6 against good outsiders), 1d4 CON/round damage wielder.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	
Profane Burst	KEY:PROFANE_BURST_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures (+2d6 against good outsiders), On a critical hit deals +%d10 additional damage (double against good outsiders), 1 CON/round damage wielder.|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:PROFANE_A
Profane Burst	KEY:PROFANE_BURST_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures (+2d6 against good outsiders), On a critical hit deals +%d10 additional damage (double against good outsiders), 1 CON/round damage wielder.|CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:PROFANE_M
Profane Burst	KEY:PROFANE_BURST_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:LM	SPROP:Evil-aligned, +1d6 Evil damage vs. living creatures bestowed on ammunition (+2d6 against good outsiders), On a critical hit deals +%d10 additional damage (double against good outsiders), 1 CON/round damage wielder.|CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:PROFANE_R
