SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																						
																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus
Avascular Mass				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:See text.	SAVEINFO:Fort partial and Refelex negates; see text.	SPELLRES:Yes	DESC:Reduce foe to 0 hp and stun foe for 1 round by purging blood vessel, which can trap creatures in 20-ft radius from victim.	SOURCEPAGE:LM								
Avasculate				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous.	SAVEINFO:Fort partial.	SPELLRES:Yes	DESC:Reduce foe to 0 hp and stun foe for 1 round by purging blood vessel.	SOURCEPAGE:LM								
Awaken Undead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=7|Wizard=7	COMPS:M, S, V, XP	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle 25 ft. in radius + 5 ft./2 levels	DURATION:Permanent	SAVEINFO:None (Harmless).	SPELLRES:Yes	DESC:Grant sentience to otherwise mindless undead.	SOURCEPAGE:LM			XPCOST:200					
Bite of the King				TYPE:Spell	SCHOOL:Necromancy				COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature whose size does not exceed caster's	DURATION:1 round/level	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Swallow enemies whole.	SOURCEPAGE:LM								
Blade of Pain and Fear				TYPE:Spell	SCHOOL:Evocation			CLASSES:Assassin=2|Blackguard=1|Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Swordlike column of gnashing teeth.	DURATION:1 min/level	SAVEINFO:Will partial.	SPELLRES:Yes	DESC:Creates blade of gnashing teeth.	SOURCEPAGE:LM								
Bloodstar				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:a bloodstar.	DURATION:1 round/level	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Hovering contruct wounds foe each time foe is damaged.. Material Component: A ruby worth at least 30 gp.	SOURCEPAGE:LM		COST:30						
Chill of the Grave				TYPE:Spell	SCHOOL:Necromancy				COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous.	SAVEINFO:None.	SPELLRES:Yes	DESC:Ray causes cold damage.	SOURCEPAGE:LM								
Clutch of Orcus				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid.	DURATION:Concentration	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Deals 1d3 damage/round and paralyzes foe with concentration.	SOURCEPAGE:LM								
Consumptive Field				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:30-ft.-radius spherical emanation, centered on you	DURATION:1 round/level	SAVEINFO:Will negates.	SPELLRES:Yes	DESC:Draw life from all creatures in 10-ft radius/level with -1 or fewer hp that fail save.	SOURCEPAGE:LM								
Consumptive Field (Greater)				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Cleric=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:30-ft.-radius spherical emanation, centered on you	DURATION:1 round/level	SAVEINFO:Will negates.	SPELLRES:Yes	DESC:Draw life from all creatures in 10-ft radius/level with 9 or fewer hp that fail save.	SOURCEPAGE:LM								
Death Ward				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=9|Cleric=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30 ft. Apart.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Death Ward but more targets.	SOURCEPAGE:LM								
Ectoplasmic Armor				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=1|Wizard=1	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Gain +6 armor bonus against incorporeal touch attacks.	SOURCEPAGE:LM								
Ectoplasmic Feedback				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal attackers take 1d6 damage.	SOURCEPAGE:LM								
