SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10

###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Death's chosen gain no profi ciency with any weapons, armor, or shields.	KEY:Death's Chosen ~ Weapon and Armor Proficiency																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Shield of the Master	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Whenever the master of a death's chosen casts a spell or uses an extraordinary, supernatural, or spell-like ability, it can choose (as a free action) to exempt the death's chosen from its effects. The master must make this choice when it casts the spell or uses the ability. If the ability is always active, the master can choose to exempt its death's chosen from the effect; this immunity remains in effect until the master chooses Otherwise. For example, a mummy could (and probably would) choose to make its death's chosen immune to its despair ability. An undead spellcaster casting a fi reball into a fi ght that included its death's chosen could choose when casting the spell to have it not affect the death's chosen.	KEY:Death's Chosen ~ Shield of the Master																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Vigor of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Whenever the master of a death's chosen casts a spell or uses an extraordinary, supernatural, or spell-like ability, it can choose (as a free action) to exempt the death's chosen from its effects. The master must make this choice when it casts the spell or uses the ability. If the ability is always active, the master can choose to exempt its death's chosen from the effect; this immunity remains in effect until the master chooses Otherwise. For example, a mummy could (and probably would) choose to make its death's chosen immune to its despair ability. An undead spellcaster casting a fi reball into a fi ght that included its death's chosen could choose when casting the spell to have it not affect the death's chosen.	KEY:Death's Chosen ~ Vigor of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Will of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, a death's chosen serves his master with inhuman intensity. He gains a +2 morale bonus on Will saves as long as he is within 60 feet of his master.	KEY:Death's Chosen ~ Will of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Bravery of the Chosen	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When within 30 feet of his master, a death's chosen who has attained 3rd level gains a +1 morale bonus on melee attack rolls and melee damage rolls. If his master has been reduced to half or less of its full normal hit points, this bonus increases to +2. The bonus disappears if his master is destroyed.	KEY:Death's Chosen ~ Bravery of the Chosen																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Unnatural Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DeathSChosenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When a death's chosen reaches 3rd level, wild or domesticated animals can sense his unnatural presence out to a distance of 30 feet. The animals do not willingly approach nearer than that and become panicked if forced to do so. They remain panicked as long as they are within that distance.	KEY:Death's Chosen ~ Unnatural Aura																										SORTKEY:Class_Death's_Chosen	SOURCEPAGE:LM
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DirgesingerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Dirgesingers gain no profi ciency with any weapons, armor, or shields.	KEY:Dirgesinger ~ Weapon and Armor Proficiency																										SORTKEY:Class_Dirgesinger	SOURCEPAGE:LM
Dirgesong	CATEGORY:Special Ability	TYPE:ClassFeatures.DirgesingerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A dirgesinger gains the dirgesong ability. Dirgesong follows the same rules as bardic music (see Bardic Music, page 29 of the Player's Handbook). Dirgesinger levels stack with bard levels for the purpose of determining how often a character can use dirgesong or bardic music. Dirgesinger levels do not stack with bard levels for determining which bardic music effects and spells a bard has access to. Each of these songs counts as a use of bardic music.	KEY:Dirgesinger ~ Dirgesong				DEFINE:DirgesongLVL|0					BONUS:VAR|DirgesongLVL|DirgesingerLVL																	SORTKEY:Class_Dirgesinger	SOURCEPAGE:LM
CATEGORY=Special Ability|Dirgesinger ~ Dirgesong.MOD	ABILITY:Special Ability|AUTOMATIC|Dirgesong ~ Song of Sorrow|PREVARGTEQ:DirgesongLVL,1																															
CATEGORY=Special Ability|Dirgesinger ~ Dirgesong.MOD	ABILITY:Special Ability|AUTOMATIC|Dirgesong ~ Song of Bolstering|PREVARGTEQ:DirgesongLVL,2																															
CATEGORY=Special Ability|Dirgesinger ~ Dirgesong.MOD	ABILITY:Special Ability|AUTOMATIC|Dirgesong ~ Song of Grief|PREVARGTEQ:DirgesongLVL,3																															
CATEGORY=Special Ability|Dirgesinger ~ Dirgesong.MOD	ABILITY:Special Ability|AUTOMATIC|Dirgesong ~ Song of Horror|PREVARGTEQ:DirgesongLVL,4																															
CATEGORY=Special Ability|Dirgesinger ~ Dirgesong.MOD	ABILITY:Special Ability|AUTOMATIC|Dirgesong ~ Song of Awakening|PREVARGTEQ:DirgesongLVL,5																															
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Masters of radiance gain no profi ciency with any weapons, armor, or shields.	KEY:Master of Radiance ~ Weapon and Armor Proficiency																										SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, a master of radiance gains new spells per day (and spells known, if applicable) as if she had also gained a level in a divine spellcasting class to which she belonged before adding the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained (metamagic or item creation feats and so on; but see Turn Undead, below). If she had more than one divine spellcasting class before becoming a master of radiance, she must decide to which class to add each level for the purpose of determining spells per day and spells known.	KEY:Master of Radiance ~ Spells per Day																										SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Master of radiance class levels stack with levels of all other classes that grant the ability to turn undead for the purpose of determining the character's effective cleric level for turning. See Turn or Rebuke Undead, page 159 of the Player's Handbook. For example, a 7th-level cleric/5th-level master of radiance turns undead as a 12th-level cleric.	KEY:Master of Radiance ~ Turn Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|MasterOfRadianceLVL|TYPE=Level.REPLACE																	SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
Radiant Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A master of radiance can emanate an aura of brilliant light that weakens undead creatures. The aura provides bright illumination in a 30-foot radius around the character, and shadowy illumination for an additional 30 feet beyond that. Creatures that take penalties in bright light also take them while within the radius of the bright aura. In addition, undead creatures within the radius of bright light take a -2 penalty on attack rolls, damage rolls, and saving throws. Activating the radiant aura is a free action that does not provoke attacks of opportunity. While her radiant aura is active, a master of radiance casts spells with the light descriptor at +2 caster level. A master of radiance can use this ability once per day at 1st level, twice per day at 3rd level, and three times per day at 5th level. Each use lasts 1 minute. The radiant aura is the equivalent of a 5th-level spell with the light descriptor for the purpose of interacting with spells and effects with the darkness descriptor.	KEY:Master of Radiance ~ Radiant Aura	DESC:%1/Day|RadianAuraTimes			DEFINE:RadianAuraTimes|0					BONUS:VAR|RadianAuraTimes|(MasterOfRadianceLVL+1)/2																	SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
Searing Light	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfRadianceClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 2nd level, a master of radiance can use searing light as a standard action once per round as long as her radiant aura is active. Treat the character's caster level for this effect as equal to her highest divine caster level, including the +2 caster level adjustment for the radiant aura (for example, a 7th-level druid/2nd-level master of radiance would use this effect as a 10th-level spellcaster).	KEY:Master of Radiance ~ Searing Light																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=Caster_Level_Highest__Divine|Searing Light								SORTKEY:Class_Master_Of_Radiance	SOURCEPAGE:LM
