SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Ghoul (Ghast).MOD	LEVELADJUSTMENT:4																																		
Mohrg.MOD	LEVELADJUSTMENT:6																																		
Mummy.MOD	LEVELADJUSTMENT:5																																		
Vampire Spawn.MOD	LEVELADJUSTMENT:4																																		
Wight.MOD	LEVELADJUSTMENT:4																																		
																																			
Angel of Decay			STARTFEATS:1	SIZE:L	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:26	MOVE:Walk,30,Fly,50	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6,SPROP=Rotting Touch				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Angel of Decay	DR:10/Adamantine and Magic	SR:24	BONUS:STAT|STR|26	BONUS:STAT|DEX|4		BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8	MONCSKILL:Concentration|Diplomacy|Hide|Knowledge (Arcana)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival	CR:15	KIT:1|NE	HITDICEADVANCEMENT:36,63		LEGS:2	HANDS:2	SOURCEPAGE:LM	KIT:1|Angel of Decay Stats	
Atropal Scion			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:9	MOVE:Fly,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Atropal Scion	DR:10/Adamantine		BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10	MONCSKILL:Listen|Knowledge (Arcana)|Knowledge (Religion)|Move Silently|Spot	CR:11	KIT:1|CE	HITDICEADVANCEMENT:13,27		LEGS:2	HANDS:2	SOURCEPAGE:LM	KIT:1|Atropal Scion Stats	
Blaspheme			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:8	MOVE:Walk,40	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8,SPROP=Blasphemous Contact				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Blaspheme	DR:5/Slashing		BONUS:STAT|STR|8	BONUS:STAT|DEX|2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|4		MONCSKILL:Listen|Spot|Survival	CR:9	KIT:1|NE	HITDICEADVANCEMENT:36		LEGS:2	HANDS:2	SOURCEPAGE:LM	KIT:1|Blaspheme Stats	
Bleakborn			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:8	MOVE:Walk,30	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6,SPROP=2d6 Cold				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bleakborn			BONUS:STAT|STR|12	BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Diplomacy|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival	CR:7	KIT:1|NE	HITDICEADVANCEMENT:10		LEGS:2	HANDS:2	SOURCEPAGE:LM	KIT:1|Bleakborn Stats	
