SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
					
#	SOURCEPAGE:SpellListI.rtf	SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:		
Order of the All Seeing Eye	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the All Seeing Eye=0|Guidance|Order of the All Seeing Eye=1|Detect Snares and Pits|Order of the All Seeing Eye=2|Detect Thoughts|Order of the All Seeing Eye=3|Clairaudience/Clairvoyance|Order of the All Seeing Eye=4|Divination|Order of the All Seeing Eye=5|Commune with Nature|Order of the All Seeing Eye=6|Find the Path|Order of the All Seeing Eye=7|Legend Lore|Order of the All Seeing Eye=8|Vision|Order of the All Seeing Eye=9|Foresight			
Order of the Consuming Flame	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Consuming Flame=0|Flare|Order of the Consuming Flame=1|Burning Hands|Order of the Consuming Flame=2|Produce Flame|Order of the Consuming Flame=3|Searing Light|Order of the Consuming Flame=4|Fireball|Order of the Consuming Flame=5|Flame Strike|Order of the Consuming Flame=6|Fires of Purity|Order of the Consuming Flame=7|Fire Storm|Order of the Consuming Flame=8|Delayed Blast Fireball|Order of the Consuming Flame=9|Meteor Swarm			
Order of the Forbidding Wasteland	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Forbidding Wasteland=0|Detect Magic|Order of the Forbidding Wasteland=1|Remove Fear|Order of the Forbidding Wasteland=2|Scent|Order of the Forbidding Wasteland=3|Restoration (Lesser)|Order of the Forbidding Wasteland=4|Phantom Stag|Order of the Forbidding Wasteland=5|Dance of the Unicorn|Order of the Forbidding Wasteland=6|Control Weather|Order of the Forbidding Wasteland=7|Scrying (Greater)|Order of the Forbidding Wasteland=8|Horrid Wilting|Order of the Forbidding Wasteland=9|Shambler			
Order of the Gentle Rain	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Gentle Rain=0|Cure Minor Wounds|Order of the Gentle Rain=1|Cure Light Wounds|Order of the Gentle Rain=2|Augury|Order of the Gentle Rain=3|Cure Serious Wounds|Order of the Gentle Rain=4|Cure Critical Wounds|Order of the Gentle Rain=5|Commune|Order of the Gentle Rain=6|Heal|Order of the Gentle Rain=7|Resurrection|Order of the Gentle Rain=8|Heal (Mass)|Order of the Gentle Rain=9|Soul Bind			
Order of the Impenetrable Crucible	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Impenetrable Crucible=0|Resistance|Order of the Impenetrable Crucible=1|Magic Weapon|Order of the Impenetrable Crucible=2|Sound Burst|Order of the Impenetrable Crucible=3|Magic Weapon (Greater)|Order of the Impenetrable Crucible=4|Dismissal|Order of the Impenetrable Crucible=5|Death Ward|Order of the Impenetrable Crucible=6|Banishment|Order of the Impenetrable Crucible=7|Repulsion|Order of the Impenetrable Crucible=8|Binding|Order of the Impenetrable Crucible=9|Imprisonment			
Order of the Ineffable Mystery	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Ineffable Mystery=0|Resistance|Order of the Ineffable Mystery=1|Entropic Shield|Order of the Ineffable Mystery=2|Obscuring Mist|Order of the Ineffable Mystery=3|Dispel Magic|Order of the Ineffable Mystery=4|Spell Immunity|Order of the Ineffable Mystery=5|Spell Resistance|Order of the Ineffable Mystery=6|Antimagic Field|Order of the Ineffable Mystery=7|Spell Turning|Order of the Ineffable Mystery=8|Protection from Spells|Order of the Ineffable Mystery=9|Mordenkainen's Disjunction			
Order of the Perfect Sculpture	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Perfect Sculpture=0|Mending|Order of the Perfect Sculpture=1|Magic Stone|Order of the Perfect Sculpture=2|Soften Earth and Stone|Order of the Perfect Sculpture=3|Stone Shape|Order of the Perfect Sculpture=4|Subvert Planar Essence|Order of the Perfect Sculpture=5|Transmute rock to Mud|Order of the Perfect Sculpture=6|Flesh to Stone|Order of the Perfect Sculpture=7|Statue|Order of the Perfect Sculpture=8|Earthquake|Order of the Perfect Sculpture=9|Antipathy			
Order of the Spring Zephyr	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Order of the Spring Zephyr=0|Daze|Order of the Spring Zephyr=1|Disguise Self|Order of the Spring Zephyr=2|Blur|Order of the Spring Zephyr=3|Invisibility|Order of the Spring Zephyr=4|Air Walk|Order of the Spring Zephyr=5|Invisibility (Greater)|Order of the Spring Zephyr=6|Veil|Order of the Spring Zephyr=7|Mislead|Order of the Spring Zephyr=8|Screen|Order of the Spring Zephyr=9|Foresight			
					
Celerity	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Celerity=1|Expeditious Retreat|Celerity=2|Cat's Grace|Celerity=3|Blur|Celerity=4|Haste|Celerity=5|Tree Stride|Celerity=6|Wind Walk|Celerity=7|Cat's grace (Mass)|Celerity=8|Blink (Improved)|Celerity=9|Time Stop	DESC:Your land speed is faster than the normal for your race by +10 feet. This benefit is lost if you are wearing medium or heavy armor or carrying a medium or heavy load.	BONUS:MOVEADD|TYPE.Walk|10|PREVARLTEQ:var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1,var("COUNT[EQTYPE.ARMOR.IS.MEDIUM]"),1	
Cold	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Cold=1|Chill Touch|Cold=2|Chill Metal|Cold=3|Sleet Storm|Cold=4|Ice Storm|Cold=5|Wall of Ice|Cold=6|Cone of Cold|Cold=7|Control Weather|Cold=8|Polar Ray|Cold=9|Obedient Avalanche	DESC:You can turn or destroy fi re creatures as a good cleric turns undead. You can also rebuke or command cold creatures as an evil cleric rebukes undead. Use these abilities a total number of times per day equal to 3 + your Charisma modifier. This granted power is a supernatural ability.	ABILITY:Special Ability|AUTOMATIC|Turn Fire	
Community	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Community=1|Bless|Community=2|Status|Community=3|Prayer|Community=4|Tongues|Community=5|Rary's Telepathic Bond|Community=6|Heroes' Feast|Community=7|Refuge|Community=8|Mordenkainen's Magnificent Mansion|Community=9|Heal (Mass)	DESC:Use calm emotions as a spell-like ability once per day. Gain +2 bonus on Diplomacy checks.	SPELLS:Innate|TIMES=1|CASTERLEVEL=ClericLVL|Calm Emotions	
Competition	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Competition=1|Remove Fear|Competition=2|Zeal|Competition=3|Prayer|Competition=4|Divine Power|Competition=5|Righteous Might|Competition=6|Zealot Pact|Competition=7|Regenerate|Competition=8|Moment Of Prescience|Competition=9|Visage of the Deity (Greater)	DESC:You relish the chance to prove yourself against your foes. As an extraordinary ability, you gain a +1 bonus on all opposed checks you make.		
Creation	SOURCEPAGE:CD	SPELLLEVEL:DOMAIN|Creation=1|Create Water|Creation=2|Minor Image|Creation=3|Create Food and Water|Creation=4|Minor Creation|Creation=5|Major Creation|Creation=6|Heroes' Feast|Creation=7|Permanent Image|Creation=8|True Creation|Creation=9|Pavilion of Grandeur	DESC:Cast Conjuration (creation) spells at +1 caster levels.	BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1	
