SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
# PC Specific Weapon Prof.																																	
Favored Soul Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfFavoredSoul	VISIBLE:NO	AUTO:WEAPONPROF|DEITYWEAPONS	PREVAREQ:UA_VAR_USEWEAPONGROUP,0																												
Shugenja Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfShugenja	VISIBLE:NO	AUTO:WEAPONPROF|Sword (Short)	PREVAREQ:UA_VAR_USEWEAPONGROUP,0																												
Spirit Shaman Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfSpiritShaman	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Dart|Handaxe|Javelin|Longspear|Quarterstaff|Shortspear|Spear|Sling|Shortbow|Axe (Throwing)	PREVAREQ:UA_VAR_USEWEAPONGROUP,0																												
Temple Raider of Olidammara Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfTempleRaiderOfOlidammara	VISIBLE:NO	AUTO:WEAPONPROF|Rapier	PREVAREQ:UA_VAR_USEWEAPONGROUP,0																												
																																	
#																																	
Weapon Focus	CATEGORY:Special Ability	TYPE:FavoredSoulWeaponFocus	VISIBLE:DISPLAY	DESC:Weapon Focus in Deity's Weapon	KEY:Favored Soul ~ Weapon Focus ~ Weapon Focus	PREMULT:1,[!PREABILITY:1,CATEGORY=Special Ability,TYPE=FavoredSoulWeaponFocus],[PREABILITY:1,CATEGORY=Special Ability,Favored Soul ~ Weapon Focus]													STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[DEITYWEAPON]	SELECT:1	ABILITY:FEAT|AUTOMATIC|Weapon Focus (%LIST)									SOURCEPAGE:CD	
Bonus Feat	CATEGORY:Special Ability	TYPE:FavoredSoulWeaponFocus	VISIBLE:DISPLAY		KEY:Favored Soul ~ Weapon Focus ~ Bonus Feat	PREMULT:1,[!PREABILITY:1,CATEGORY=Special Ability,TYPE=FavoredSoulWeaponFocus],[PREABILITY:1,CATEGORY=Special Ability,Favored Soul ~ Bonus Feat]								BONUS:ABILITYPOOL|FEAT|1																		SOURCEPAGE:CD	
Acid	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:DISPLAY		KEY:Favored Soul ~ Energy Resistance ~ Acid									BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid								SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD	
