SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#Captured One Template																																
Senses	CATEGORY:Special Ability	TYPE:CapturedOneRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The raggamoffyn sees and hears everything that the base creature is able to.	KEY:Captured One ~ Senses																											SOURCEPAGE:MM2
Shared Damage	CATEGORY:Special Ability	TYPE:CapturedOneRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An attack on a captured one deals half its damage to the raggamoffyn and half to the dominated creature.	KEY:Captured One ~ Shared Damage																											SOURCEPAGE:MM2
Saves	CATEGORY:Special Ability	TYPE:CapturedOneRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A captured one uses the raggamoffyn's base Fortitude, Reflex, andWill saves.	KEY:Captured One ~ Saves																											SOURCEPAGE:MM2
																																
#Chimeric Template																																
Breath Weapon	CATEGORY:Special Ability	TYPE:ChimericRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chimeric creature's breath weapon depends on the color of its dragon head, as summarized on the Table.	KEY:Chimeric ~ Breath Weapon																											SOURCEPAGE:MM2
																																
#Death Knight																																
Constitution Damage	CATEGORY:Special Ability	TYPE:DeathKnightRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Each successful touch attack also deals 1 point of Constitution damage. A Will save (DC %1) reduces the damage by half and negates the Constitution damage. Characters with natural attacks can use their natural weaponry or use the touch attack, as they prefer.|ContitutionDamageDC	KEY:Death Knight ~ Constitution Damage				DEFINE:ConstitutionDamageDC|0					BONUS:VAR|ConstitutionDamageDC|DefaultDCCha	BONUS:VAR|ConstitutionDamageDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Constitution Damage)								ABILITY:Ability Focus|AUTOMATIC|Constitution Damage									SOURCEPAGE:MM2
Abyssal Blast	CATEGORY:Special Ability	TYPE:DeathKnightRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a death knight can unleash a blast of eldritch fire. The blast fills a 20-foot-radius spread anywhere within a range of 400 feet + 40 feet per HD of the death knight.The blast deals 1d6 points of damage per HD of the death knight (maximum 20d6). Half of the damage is fire damage, but the rest results directly from divine power and is therefore not subject to being reduced by protection from elements (fire), fire shield (chill shield), or similar magic. A Reflex save (DC %1) reduces the damage by half.|AbyssalBlastDC	KEY:Death Knight ~ Abyssal Blast				DEFINE:AbyssalBlastDC|0					BONUS:VAR|AbyssalBlastDC|DefaultDCCha	BONUS:VAR|AbyssalBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Abyssal Blast)								ABILITY:Ability Focus|AUTOMATIC|Abyssal Blast									SOURCEPAGE:MM2
