SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
###Block: Race Traits																																	
																																	
																																	
###Block: Subtype Traits																																	
# Elements																																	
# Alignments																																	
# Racial																																	
																																	
# Race Groups Subtype																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Yugoloth Traits|PRERACE:1,RACESUBTYPE=Yugoloth																																
Yugoloth Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:YugolothStandardLanguages|0					BONUS:VAR|ColdResistanceBonus|20|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|20|TYPE=Resistance	BONUS:VAR|ElectricityResistanceBonus|20|TYPE=Resistance							ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Poison|Resistance To Cold|Resistance To Fire|Resistance To Electricity|Yugoloth ~ Telepathy|Yugoloth ~ Summon Yugoloth	ABILITY:Special Ability|AUTOMATIC|Yugoloth ~ Languages|PREVAREQ:YugolothStandardLanguages,0								SOURCEPAGE:MM2	
Languages	CATEGORY:Special Ability	TYPE:YugolothSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Yugoloth ~ Languages																		AUTO:LANG|Abyssal|Draconic|Infernal									SOURCEPAGE:MM2	
Telepathy	CATEGORY:Special Ability	TYPE:YugolothSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Yugoloths can communicate telepathically with any creature within 100 feet that has a language.	KEY:Yugoloth ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:MM2	
Summon Yugoloth	CATEGORY:Special Ability	TYPE:YugolothSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Most yugoloths can summon others of their kind as though casting a summon monster spell, but they have only a limited chance of success. Roll d%%: On a failure, no yugoloths answer the summons. Summoned creatures remain for 1 hour, then return whence they came. A yugoloth that is itself summoned cannot use its own summon ability for 1 hour.	KEY:Yugoloth ~ Summon Yugoloth																											SOURCEPAGE:MM2	
																																	
# Race Groups																																	
Abeil Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Abeil ~ Drone|Abeil ~ Improved Grab|Abeil ~ Hive Mind									SOURCEPAGE:MM2	
Drone	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, an abeil can beat its wings to create a droning buzz in a 60-foot spread. Each creature in the area must make a Will save (DC %1) or fall asleep as the sleep spell. There is no Hit Dice limit for this effect. Abeils are immune to their own drone attacks as well as those of other abeils.|DroneDC	KEY:Abeil ~ Drone				DEFINE:DroneDC|0					BONUS:VAR|DroneDC|DefaultDCCha	BONUS:VAR|DroneDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Drone)																	SOURCEPAGE:MM2	
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an abeil hits a single target that is at least one size category smaller than itself with both claws, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (see below for grapple bonuses). If it gets a hold, it automatically hits with its sting. Thereafter, the abeil has the option to conduct the grapple normally, or simply use its claws to hold the opponent (-20 penalty on grapple check, but the abeil is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals damage from both claws and the sting.	KEY:Abeil ~ Improved Grab																											SOURCEPAGE:MM2	
Hive Mind	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All abeils within 25 miles of their queen are in constant communication. If one is aware of a particular danger, they all are. If one in a particular group is not flat-footed, none of them are. No abeil in such a group is considered flanked unless they all are.	KEY:Abeil ~ Hive Mind																											SOURCEPAGE:MM2	
																																	
Automaton Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Automaton ~ Unreliable									SOURCEPAGE:MM2	
Unreliable	CATEGORY:Special Ability	TYPE:AutomatonSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The shadow consciousness of an automaton is only quasireal, like the consciousness of a creation such as a simulacrum. The creature is thus sometimes slow to react to the changing environment around it. At the beginning of each round in which an automaton attempts to act, roll 1d20. On a result of 11 or better, it acts normally; otherwise, it takes no action.	KEY:Automaton ~ Unreliable																											SOURCEPAGE:MM2	
																																	
Clockwork Horror Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Clockwork Horror ~ Languages|Clockwork Horror ~ Linked Mind|Clockwork Horror ~ Spell Vulnerability									SOURCEPAGE:MM2	
Languages	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Clockwork Horror ~ Languages																		AUTO:LANG|Clockwork Mechanical Sound									SOURCEPAGE:MM2	
Linked Mind	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All clockwork horrors within 10 miles of a gold, platinum, or adamantine horror are in constant communication. If one is aware of a particular danger, they all are. If one in a particular group is not flat-footed, none of them are. No clockwork horror in such a group is considered flanked unless they all are.	KEY:Clockwork Horror ~ Linked Mind																											SOURCEPAGE:MM2	
Spell Vulnerability	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A clockwork horror is susceptible to the shatter spell, which blinds it for 1d4+1 rounds.	KEY:Clockwork Horror ~ Spell Vulnerability																											SOURCEPAGE:MM2	

Desmodu Bat Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Desmodu Bat ~ Blindsense|Desmodu Bat ~ Immunities									SOURCEPAGE:MM2	
Blindsense	CATEGORY:Special Ability	TYPE:DesmoduBatSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A bat emits high-frequency sounds, inaudible to most other creatures, that bounce off nearby objects and creatures. This ability enables it to discern objects and creatures within 120 feet. The bat usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight. A silence spell negates this ability and forces the bat to rely on its weak vision, which has a range of 10 feet.	KEY:Desmodu Bat ~ Blindsense									BONUS:VAR|BlindsenseRange|120|TYPE=Base																		SOURCEPAGE:MM2	
Immunities	CATEGORY:Special Ability	TYPE:DesmoduBatSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The bats the desmodus breed are immune to the despair and stunning screech abilities of desmodus.	KEY:Desmodu Bat ~ Immunities																											SOURCEPAGE:MM2	

