SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net
																																													
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat			Stackable?	Multiple?	Choose	Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page			
#	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Jump checks and Tumble checks.													BONUS:SKILL|Jump,Tumble|2				SOURCEPAGE:PHB			
Area Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,STR=19						PRESIZEGTEQ:H			DESC:You can use your great size and strength to pick up a heavy object and attack an area as a standard action. Such an attack may consist of swinging a large log or smashing a door down on opponents' heads. The area affected is a half-circle with a radius equal to your reach. You deal damage to all creatures two or more size categories smaller than you within the area. The base damage dealt depends on your size category, as given on the table below. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack.&nl;Size/Category Damage/nl;Huge 1d8&nl;Gargantuan 2d6&nl;Colossal 2d8&nl;Though it can deal significant damage, this form of attack is awkward and unbalancing. You incur a -2 penalty to your Armor Class and on Reflex saves until your next action.																	SOURCEPAGE:SS30			
Assume Supernatural Ability	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13		PRETEXT:ability to assume a new form magically.							DESC:You learn to use a single supernatural ability of another kind of creature while assuming its form through a polymorph self spell or a similar effect. The saving throw DC against  this ability is based on your ability scores, not those of a standard creature of the kind whose form you've assumed. Special: You can take this feat multiple times. You cannot apply it more than once to the same special ability in order to improve the Will save DC. Each time you take this feat, it applies to a different special ability.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS30			
Blowhard	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,CON=20						PRESIZEGTEQ:H		DEFINE:BlowhardRadius|0	DESC:As an attack action, you can use your breath to affect all creatures in a cone 5 feet in length per point of your Constitution bonus (%1). Each creature in the area is affected as through struck by a wind effect|BlowhardRadius														BONUS:VAR|BlowhardRadius|5*CON			SOURCEPAGE:SS30			
Bonus Breath	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Extend Spell,Extend Spell-Like Ability											PRETEXT:Breath weapon with limited uses per day.						DEFINE:BonusBreath|0	DESC:You can breathe one additional time per day. The interval you must wait between breaths is 1 hour. Special: You can gain this feat multiple times. Each time you take it, you can breathe one additional time per day.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE										BONUS:VAR|BonusBreath|1				SOURCEPAGE:SS30	DESC:%1/day|BonusBreath		
Controlled Respiration	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance											PRETEXT:Time limit on how long you can remain out of water,							DESC:You can control your breathing so as to remain out of water for a longer period of time than you otherwise could. Double the normal time limit after which you must begin making Constitution checks to avoid suffocation. This feat does not allow creatures that cannot normally breathe air, such as fish, to do so.																	SOURCEPAGE:SS30			
Crush	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																			PRESIZEGTEQ:H			DESC:As a standard action, you can jump or fall onto opponents, using your whole body to crush them. This attack is useful only against creatures at least three size categories smaller than yourself. The base damage for a crush attack depends on your size category, as given on the table above. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack. A crush attack deals bludgeoning damage and affects as many creatures as can fit under your body (see Large and Small Creatures in Combat in Chapter 8 of the Player 's Handbook). Each creature in the affected area must succeed on a Reflex save (DC 10 + your Str modifier + your size modifier for grapple attacks). On a failure, the opponent is pinned and automatically takes crush damage each round the pin is maintained.																	SOURCEPAGE:SS30			
Cumbrous Dodge	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dodge						PRESKILL:1,Tumble=4												DESC:You may activate this feat as a free action. You gain a +2 bonus to your Armor Class for the rest of the current encounter. At the end of the encounter, you are fatigued. For details on fatigue, see the Condition Summary in Chapter 3 of the DUNGEON MASTER's Guide.																	SOURCEPAGE:SS30			
Cumbrous Fortitude	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Great Fortitude																		DESC:Before rolling a Fortitude save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are staggered until the end of the encounter. A staggered character can take only a partial action when he or she would normally be able to take a standard action.																	SOURCEPAGE:SS30			
Cumbrous Reflexes	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Lightning Reflexes																		DESC:Before rolling a Reflex save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are prone and dazed. For details on these conditions, see the Condition Summary in Chapter 3 of the DUNGEON MASTER's Guide..																	SOURCEPAGE:SS30			
