SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Improved Grab	CATEGORY:Special Ability	TYPE:FeralTemplateTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a feral creature hits an opponent that is at least one size category smaller than itself with a Rake attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity. If it gets a hold, it can rake if it has that ability (see below). Alternatively, it has the option to conduct the grapple normally, or simply use its Rake to hold the opponent (-20 penalty on grapple check, but the feral creature is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals Rake damage. See the Monster Manual for additional rules.	KEY:Feral ~ Improved Grab																											SOURCEPAGE:SS30
Pounce	CATEGORY:Special Ability	TYPE:FeralTemplateTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a feral creature leaps upon a foe during the first round of combat, it can make a full attack even though it has already moved.	KEY:Feral ~ Pounce																											SOURCEPAGE:SS30
Rake	CATEGORY:Special Ability	TYPE:FeralTemplateTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A feral creature that gets a hold can make two rake attacks at its full melee attack bonus with its hind legs. Each successful attack does normal Rake damage for that size of feral creature, plus 1/2 its Strength bonus (rounded down). If the feral creature pounces on an opponent, it can also rake.	KEY:Feral ~ Rake																		TEMPLATE:CHOOSE:Feral ~ Rake (Fine)|Feral ~ Rake (Diminutive)|Feral ~ Rake (Tiny)|Feral ~ Rake (Small)|Feral ~ Rake (Medium)|Feral ~ Rake (Large)|Feral ~ Rake (Huge)|Feral ~ Rake (Gargantuan)|Feral ~ Rake (Colossal)	BONUS:WEAPONPROF=Rake|DAMAGE|STR/2								SOURCEPAGE:SS30
Rend	CATEGORY:Special Ability	TYPE:FeralTemplateTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:A feral creature that hits with both claw attacks latches onto the opponent's body and tears the flesh. This automatically deals double the appropriate claw damage for that size feral creature, plus double the Strength modifier.	KEY:Feral ~ Rend																											SOURCEPAGE:SS30
Acid	CATEGORY:Special Ability	TYPE:GelatinousTemplateTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A gelatinous creature gains an acid attack. If the gelatinous creature hits with any of its natural attacks, it deals an additional amount of acid damage as set out in the table.&nl;Size Damage Size Damage&nl;Fine - Large 1d6&nl;Diminutive 1 Huge 1d8&nl;Tiny 1d2 Gargantuan 2d4&nl;Small 1d3 Colossal 2d6&nl;Medium-size 1d4.	KEY:Gelatinous ~ Acid																											SOURCEPAGE:SS30
Blindsight	CATEGORY:Special Ability	TYPE:GelatinousTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The oozy substance of the creature's body acts as a primitive sensory organ that can ascertain prey within 60 feet.	KEY:Gelatinous ~ Blindsight									BONUS:VAR|BlindsightRange|60|TYPE=Base																		SOURCEPAGE:SS30
Resilient	CATEGORY:Special Ability	TYPE:GelatinousTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gelatinous creatures have less defined shapes than the normal creatures they resemble. As a result, it is more difficult to score crippling or killing blows against them. A gelatinous creature:&nl;- Cannot be flanked;&nl;- Takes 1d6 less damage from a successful sneak attack;&nl;- Takes one-half the additional damage dealt by a critical hit.	KEY:Gelatinous ~ Resilient																		ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Cannot be flanked									SOURCEPAGE:SS30
Immunities	CATEGORY:Special Ability	TYPE:GelatinousTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A gelatinous creature is immune to polymorphing and stunning.	KEY:Gelatinous ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Polymorph|Immunity To Stunning									SOURCEPAGE:SS30
Saving Throw Bonuses	CATEGORY:Special Ability	TYPE:GelatinousTemplateTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A gelatinous creature gains a +4 racial bonus on saves against mind-affecting effects, poison, sleep, and paralysis.	KEY:Gelatinous ~ Saving Throw Bonuses									BONUS:VAR|MindAffectingResistanceBonus|4|TYPE=Racial	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial	BONUS:VAR|SleepResistanceBonus|4|TYPE=Racial	BONUS:VAR|ParalysisResistanceBonus|4|TYPE=Racial						ABILITY:Special Ability|AUTOMATIC|Resistance To Mind-Affecting|Resistance To Poison|Resistance To Sleep|Resistance To Paralysis									SOURCEPAGE:SS30
1 Special Attack	CATEGORY:Special Ability	TYPE:GhostBruteNumberSpecialAttack	VISIBLE:DISPLAY	DESC:1 special attack	KEY:Ghost Brute ~ Special Attack ~ 1									BONUS:ABILITYPOOL|Ghost Brute Ability|1																		SOURCEPAGE:SS30
