SOURCELONG:Gozzilioni Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																							
#																										
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property																		
# From "summary of magic item creation costs"																										
Potion		TYPE:Potion.Consumable	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Rod		TYPE:Rod	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Scroll		TYPE:Scroll.Consumable	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Staff		TYPE:Staff	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Wand		TYPE:Wand	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
																										
###Block:Gems																										
# Equipment Name	Output Name											Type					Cost		Weight	Requires Modification?	Source Page					Special Property
Gem (Agate (Banded))	OUTPUTNAME:Banded Agate	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Agate (Eye))	OUTPUTNAME:Eye Agate	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Agate (Moss))	OUTPUTNAME:Moss Agate	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Alexandrite)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Amber)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Amethyst)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Aquamarine)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Azurite)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Bloodstone)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Carnelian)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Chalcedony)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Chrysoberyl)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Chrysoprase)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Citrine)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Coral)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Corundum (Firey Yellow))	OUTPUTNAME:Firey Yellow Corundum	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Corundum (Rich Purple))	OUTPUTNAME:Rich Purple Corundum	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Diamond (Blue-White))	OUTPUTNAME:Blue-White Diamond	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Diamond (Blue))	OUTPUTNAME:Blue Diamond	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Diamond (Brown))	OUTPUTNAME:Brown Diamond	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Diamond (Canary))	OUTPUTNAME:Canary Diamond	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Diamond (Pink))	OUTPUTNAME:Pink Diamond	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Emerald (Clearest Bright Green))	OUTPUTNAME:Clearest Bright Green Emerald	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Emerald)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Garnet (Brown-Green))	OUTPUTNAME:Brown-Green Garnet	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Garnet (Red))	OUTPUTNAME:Red Garnet	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Garnet (Violet))	OUTPUTNAME:Violet Garnet	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Hematite)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Iolite)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
Gem (Jacinth)	OUTPUTNAME:[NAME]	TYPE:Goods.Gem	COST:0	WT:0	SOURCEPAGE:DMG	MODS:REQUIRED																				
