SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																
#																			
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	SOURCEPAGE:	BONUS:COMBAT|AC|x|TYPE=Armor	MAXDEX:	ACCHECK:	SPELLFAILURE:	EQMOD:							
Adamantine Breastplate			PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.Suit.Standard	COST:200	WT:30	SOURCEPAGE:DMG	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:ADAMANT_A_MED	SPROP:10200gp						
Dragonhide Plate			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Standard	COST:1500	WT:50	SOURCEPAGE:DMG	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_A	SPROP:3300gp						
Dwarven Plate			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Standard	COST:1500	WT:50	SOURCEPAGE:DMG	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:ADAMANT_A_HEAVY	SPROP:16500gp						
Elven Chain			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Light.Suit.Standard	COST:150	WT:20	SOURCEPAGE:DMG	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:4	ACCHECK:-2	SPELLFAILURE:20	EQMOD:MITHRAL_A_LIGHT	SPROP:4150gp						
Mithral Shirt			PROFICIENCY:ARMOR|Chain Shirt	TYPE:Armor.Light.Suit.Standard	COST:100	WT:10	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:6		SPELLFAILURE:10	EQMOD:MITHRAL_A_LIGHT	SPROP:1100gp						
#																			
Banded Mail of Luck			PROFICIENCY:ARMOR|Banded Mail	TYPE:Armor.Heavy.Suit.Specific	COST:18900	WT:35	SOURCEPAGE:DMG	BONUS:COMBAT|AC|6|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL.EQ_COST_ADJ_A.PLUS3A	SPROP:Once per week, the armor allows its wearer to require that an attack roll made against him be rerolled.						
Breastplate of Command			PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.Suit.Specific	COST:25400	WT:30	SOURCEPAGE:DMG	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:STEEL.EQ_COST_ADJ_A.PLUS2A	SPROP:+2 competence bonus on all Charisma checks, including turning checks and Charisma-based skill checks. The wearer also gains a +2 competence bonus to his Leadership Score	BONUS:SKILL|TYPE.Charisma|2|TYPE=Competence	BONUS:VAR|LeadershipScore|2|TYPE=Competence	BONUS:VAR|TurnCheckBase|2|TYPE=Competence			
Celestial Armor			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Light.Suit.Specific	COST:22400	WT:20	SOURCEPAGE:DMG	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:8	ACCHECK:-2	SPELLFAILURE:15	EQMOD:ALC_SILVER_A.EQ_COST_ADJ_A.PLUS3A.ARMTYPE_ML	SPROP:1/day Fly	SPELLS:Celestial Armor|TIMES=1|CASTERLEVEL=5|Fly					
Demon Armor			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:52260	WT:50	SOURCEPAGE:DMG	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL.EQ_COST_ADJ_A.PLUS4A		AUTO:EQUIP|Demon Armor Claw Attack	BONUS:VAR|NegativeLevels|1|PREALIGN:LG,LN,NG,TN,CG,CN				
Mithral Full Plate of Speed			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Medium.Suit.Specific	COST:26500	WT:25	SOURCEPAGE:DMG	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:3	ACCHECK:-3	SPELLFAILURE:25	EQMOD:MITHRAL_A_MEDIUM.PLUS1A	SPROP:1/day Haste up to 10 rounds.						
Plate Armor of the Deep			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:24650	WT:50	SOURCEPAGE:DMG	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL.EQ_COST_ADJ_A.PLUS1A	SPROP:can converse with any creature with a language that breathes water.	ABILITY:Special Ability|VIRTUAL|Water Breathing					
Rhino Hide			PROFICIENCY:ARMOR|Hide	TYPE:Armor.Medium.Suit.Specific.Nonmetal	COST:5165	WT:25	SOURCEPAGE:DMG	BONUS:COMBAT|AC|3|TYPE=Armor	MAXDEX:4	ACCHECK:-1	SPELLFAILURE:20	EQMOD:LEATHER.PLUS2A	SPROP:+2d6 points of damage on any successful charge attack.						
																			
Buckler (Darkwood)			PROFICIENCY:SHIELD|Buckler	TYPE:Shield.Buckler.Standard	COST:15	WT:5	SOURCEPAGE:DMG	BONUS:COMBAT|AC|1|TYPE=Shield		ACCHECK:-1	SPELLFAILURE:5	EQMOD:DARKWOOD_S	SPROP:205gp	BONUS:COMBAT|TOHIT|-1|PREMULT:1,[PREEQUIPBOTH:1,TYPE=Melee],[PREEQUIPSECONDARY:1,TYPE=Melee]					
Shield (Heavy/Darkwood)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Standard.Nonmetal	COST:7	WT:5	SOURCEPAGE:DMG	BONUS:COMBAT|AC|2|TYPE=Shield			SPELLFAILURE:15	EQMOD:DARKWOOD_S	SPROP:257gp	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	
Shield (Heavy/Mithral)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Standard	COST:20	WT:15	SOURCEPAGE:PHB	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:MITHRAL_S	SPROP:1020gp	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	
#																			
Absorbing Shield			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific	COST:50170	WT:15	SOURCEPAGE:DMG	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:STEEL.EQ_COST_ADJ_S.PLUS1S	SPROP:1/2 days disintegrate an object it touches (melee touche attack required) as per spell.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	
