SOURCELONG:Gozzilioni Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
#																							
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:	
# Simple Weapons																							
## Unarmed																							
																							
## Light																							
Blowgun			PROFICIENCY:WEAPON|Blowgun	TYPE:Weapon.Ranged.Simple.Piercing.Light.Container	COST:1	WT:2	WIELD:Light		SIZE:M	DAMAGE:1	CRITRANGE:1	CRITMULT:x2		SOURCEPAGE:DMG							RANGE:120		CONTAINS:UNLIM|Needle|SpecificNeedle
																							
## OneHanded																							
																							
## TwoHanded																							
																							
## Ranged																							
																							
# Martial Weapons																							
## Light																							
Wakizashi			PROFICIENCY:WEAPON|Wakizashi	TYPE:Weapon.Melee.Martial.Slashing.Light.Sword	COST:300	WT:3	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.MWORKW.EQ_COST_ADJ|300	SOURCEPAGE:DMG									
																							
## OneHanded																							
																							
## TwoHanded																							
																							
## Ranged																							
																							
# Exotic Weapons																							
## Light																							
Kusari-gama			PROFICIENCY:WEAPON|Kusari-gama	TYPE:Weapon.Melee.Exotic.Slashing.Light.Reach	COST:10	WT:3	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD	SOURCEPAGE:DMG								REACHMULT:2	
																							
## OneHanded																							
Katana			PROFICIENCY:WEAPON|Katana	TYPE:Weapon.Melee.Exotic.Slashing.OneHanded.Sword	COST:400	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.MWORKW.EQ_COST_ADJ|300	SOURCEPAGE:DMG									
																							
## TwoHanded																							
																							
## Ranged																							
Musket			PROFICIENCY:WEAPON|Firearm	TYPE:Weapon.Ranged.Exotic.Piercing.TwoHanded.Container.Firearm	COST:500	WT:10	WIELD:TwoHanded		SIZE:M	DAMAGE:1d12	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL	SOURCEPAGE:DMG							RANGE:150		CONTAINS:UNLIM|Bullet|SpecificBullet
Pistol			PROFICIENCY:WEAPON|Firearm	TYPE:Weapon.Ranged.Exotic.Piercing.OneHanded.Container.Firearm	COST:250	WT:3	WIELD:OneHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL	SOURCEPAGE:DMG							RANGE:50		CONTAINS:UNLIM|Bullet|SpecificBullet
Pistol (Automatic)	OUTPUTNAME: Pistol, [NAME]		PROFICIENCY:WEAPON|Modern Firearm	TYPE:Weapon.Ranged.Exotic.Piercing.OneHanded.Container.Firearm	COST:0	WT:3	WIELD:OneHanded		SIZE:M	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL	SOURCEPAGE:DMG							RANGE:40		CONTAINS:UNLIM|Bullet|SpecificBullet
