SOURCELONG:Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																							
																																										
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page										
CATEGORY=Internal|Default.MOD	DEFINE:ArtifactHandOfVecna|0	DEFINE:ArtifactEyeOfVecna|0	ABILITY:Special Ability|AUTOMATIC|Artifact ~ Hand and Eye of Vecna|PREVARGTEQ:ArtifactHandOfVecna,1,ArtifactEyeOfVecna,1																																							
Hand and Eye of Vecna	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Artifact ~ Hand and Eye of Vecna	BONUS:STAT|STR|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|-2	SPELLS:Hand and Eye of Vecna|TIMES=1|CASTERLEVEL=20|Summon Monster IX ~ Evil only																																	
																																										
###Block: Flight Maneuverability																																										
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|PREMOVE:1,Fly=1																																									
Flight Maneuverability	CATEGORY:Special Ability	VISIBLE:NO	DEFINE:Maneuverability|0	ABILITY:Special Ability|AUTOMATIC|Maneuverability(Clumsy)|PREVARLTEQ:Maneuverability,1	ABILITY:Special Ability|AUTOMATIC|Maneuverability(Poor)|PREVAREQ:Maneuverability,2	ABILITY:Special Ability|AUTOMATIC|Maneuverability(Average)|PREVAREQ:Maneuverability,3	ABILITY:Special Ability|AUTOMATIC|Maneuverability(Good)|PREVAREQ:Maneuverability,4	ABILITY:Special Ability|AUTOMATIC|Maneuverability(Perfect)|PREVARGTEQ:Maneuverability,5	TEMPVALUE:MIN=-4|MAX=4|TITLE=Flight Maneuverability Adjustment	TEMPDESC:Adjust Flight Maneuverability up or down by assigning a possitive or negative number	TEMPBONUS:PC|VAR|Maneuverability|%CHOICE																															
																																										
###Block: Maneuverability																																										
Maneuverability(Perfect)	CATEGORY:Special Ability	TYPE:Maneuverability	VISIBLE:NO	ASPECT:Maneuverability|Perfect																																						
Maneuverability(Good)	CATEGORY:Special Ability	TYPE:Maneuverability	VISIBLE:NO	ASPECT:Maneuverability|Good																																						
Maneuverability(Average)	CATEGORY:Special Ability	TYPE:Maneuverability	VISIBLE:NO	ASPECT:Maneuverability|Average																																						
Maneuverability(Poor)	CATEGORY:Special Ability	TYPE:Maneuverability	VISIBLE:NO	ASPECT:Maneuverability|Poor																																						
Maneuverability(Clumsy)	CATEGORY:Special Ability	TYPE:Maneuverability	VISIBLE:NO	ASPECT:Maneuverability|Clumsy																																						
																																										
# NPC Single Simple Weapon Prof.																																										
Single Simple Weapon Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialQuality	VISIBLE:YES	DESC:You understand how to use %1|%LIST															STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|!PC[TYPE=Simple]	SELECT:1	AUTO:WEAPONPROF|%LIST									SOURCEPAGE:DMG										
# NPC Class skills.																																										
Single Class Skill	CATEGORY:Special Ability	TYPE:ClassFeatures.ClassSkill.SpecialQuality	VISIBLE:YES	DESC:%1 is class skill|%LIST															STACK:NO	MULT:YES	CHOOSE:SKILL|ALL	SELECT:1	CSKILL:LIST									SOURCEPAGE:DMG										
																																										
Spell-Like Ability Selection	CATEGORY:Special Ability		VISIBLE:YES											BONUS:SPELLCAST|CLASS=%LIST;LEVEL=5|-1						MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG										
																																										
# PC Specific Weapon Prof.																																										
Assassin Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfAssassin	VISIBLE:NO	AUTO:WEAPONPROF|Crossbow (Heavy)|Crossbow (Light)|Crossbow (Hand)|TYPE.Dagger|Dart|Rapier|Sap|Shortbow|Sword (Short)																																						
Shadowdancer Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfShadowdancer	VISIBLE:NO	AUTO:WEAPONPROF|Club|Crossbow (Heavy)|Crossbow (Light)|Crossbow (Hand)|TYPE.Dagger|Dart|TYPE.Mace|Morningstar|Quarterstaff|Rapier|Sap|Shortbow|Sword (Short)																																						
																																										
##Companion Support																																										
Fiendish Servant	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Fiendish Servant (Base)|Fiendish Servant																																																																																																																																																																																																																																																																																																																					
Fiendish Servant (Base)	CATEGORY:Internal								DEFINE:FiendishServantLVL|0	DEFINE:FiendishServantDetermination|0													FOLLOWERS:Fiendish Servant|1	ABILITY:Fiendish Servant Selection|AUTOMATIC|Standard Selection ~ Fiendish Servant (Blackguard)|!PREABILITY:1,CATEGORY=Internal,TYPE.FiendishServantAlternate								SOURCEPAGE:PHB										
Fiendish Servant	CATEGORY:Internal	TYPE:FiendishServantSelection	VISIBLE:NO																													SOURCEPAGE:PHB										
Expanded Selection	CATEGORY:Internal	TYPE:FiendishServantSelection.FiendishServantAlternate		KEY:Expanded Selection ~ Fiendish Servant																			COST:0	COMPANIONLIST:Fiendish Servant|ANY								SOURCEPAGE:PHB										
