SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11
#														
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE		
# Class Name req	Requirements	FINE												
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS		
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)								
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)				
CLASS:Bloodscaled Fury	HD:12	TYPE:Prestige	FACT:Abb|BlF	MAXLEVEL:12	SOURCEPAGE:Drac	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:BloodscaledFuryLVL|0	BONUS:VAR|BloodscaledFuryLVL|CL	EXCLASS:Ex-Bloodscaled Fury	BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Bloodscaled Fury	PRERACE:1,RACETYPE=Dragon	PREALIGN:CG,CN,CE	PRETOTALAB:22	PRESKILL:1,Intimidate=14	PREABILITY:3,CATEGORY=FEAT,Power Attack,Shock Wave,Windstorm	PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage	PREABILITY:1,CATEGORY=Special Ability,Frightful Presence							
CLASS:Bloodscaled Fury	STARTSKILLPTS:2	CSKILL:Climb|Intimidate|Jump|Listen|Swim|Spot|Survival												
1				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryProficiencies										
#														
1				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Fearsome Presence|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryFearsomePresence										
2				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Draconic Fury|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryDraconicFury										
3				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Scales of Blood|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryScalesOfBlood										
4				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Rend|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryRend										
5				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Extend Rage|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryExtendRage										
8				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Incite Rage|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryInciteRage										
9				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Tireless Fury|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryTirelessFury										
12				ABILITY:Bloodscaled Fury Class Feature|AUTOMATIC|Bloodscaled Fury ~ Blinding Speed|!PREABILITY:1,CATEGORY=ACF,TYPE.BloodscaledFuryBlindingSpeed										
														
