SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																															
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A bloodscaled fury gains no proficiency with any weapons, armor, or shields.	KEY:Bloodscaled Fury ~ Weapon and Armor Proficiency																										SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Fearsome Presence	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A bloodscaled fury is a terror to behold, and the seething fury that churns in its heart inspires terror in all who lay eyes on it. The dragon's frightful presence becomes more powerful: The saving throw DC to resist the ability is increased by the dragon's class level. Creatures with Hit Dice equal to or less than 1/2 the dragon's class level + 4 are panicked if they fail their saving throws, while creatures with more Hit Dice are shaken. Both fear effects last for 6d6 rounds (rather than the usual 4d6).	KEY:Bloodscaled Fury ~ Fearsome Presence									BONUS:VAR|FrightfulPresenceDC|BloodscaledFuryLVL																	SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Draconic Fury	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a bloodscaled fury's rage becomes more fearsome. While raging, its Strength and Constitution scores increase by an additional 2 points and it gains an additional +1 morale bonus on its Will saves. Thus, an 11th-level barbarian/2nd-level bloodscaled fury gains +8 to its Strength and Constitution scores and +4 on its Will saves. (Its Armor Class penalty remains at -2). At 6th level, and again at 10th, these bonuses increase by a similar amount. An 11th-level barbarian/10th-level bloodscaled fury gains +12 to its Strength and Constitution scores and +6 on its Will saves.	KEY:Bloodscaled Fury ~ Draconic Fury									BONUS:VAR|ExtraRageBonus|(((BloodscaledFuryLVL+6)/6)*2)																	SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Scales of Blood	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 3rd level, a bloodscaled fury earns its name. When it enters a rage, small quantities of blood ooze out around its scales, lining their edges and adding to the dragon's fearsome appearance. More important, the blood supernaturally wards the dragon from spells and weapon damage. For the duration of the dragon's rage, its spell resistance increases by its class level, and its damage reduction improves as well. The number before the slash in the dragon's damage reduction increases by 5 at 3rd level. In addition, at 7th level a bloodscaled fury's damage reduction can be overcome only by magic cold iron weapons, and at 11th level only by epic cold iron weapons. For example, an old white dragon with damage reduction 10/magic who reaches 3rd level as a bloodscaled fury gains damage reduction 15/magic while raging. At 7th level, it gains damage reduction 15/magic and cold iron while raging, and at 11th level it gains damage reduction 15/epic and cold iron while raging.	KEY:Bloodscaled Fury ~ Scales of Blood	DESC:DR becomes Magic and Cold Irons.|PREVAREQ:ScalesOfBloodPower,1	DESC:DR becomes Epic and Cold Irons.|PREVARGTEQ:ScalesOfBloodPower,2		DEFINE:ScalesOfBloodPower|0	DEFINE:ScalesOfBloodDR|0	DEFINE:ScalesOfBloodSR|0			BONUS:DR|Magic|ScalesOfBloodDR|PREVAREQ:Enraged,1	BONUS:MISC|SR|ScalesOfBloodSR|PREVAREQ:Enraged,1	BONUS:VAR|ScalesOfBloodDR|5	BONUS:VAR|ScalesOfBloodPower|((BloodscaledFuryLVL-4)/3)	BONUS:VAR|ScalesOfBloodSR|BloodscaledFuryLVL													SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Rend	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, a barbarian gains the ability to react to danger before his senses would normally allow him to do so. He retains his Dexterity bonus to AC (if any) even if he is caught flat-footed or struck by an invisible attacker. However, he still loses his Dexterity bonus to AC if immobilized. If a barbarian already has uncanny dodge from a different class (a barbarian with at least four levels of rogue, for example), he automatically gains improved uncanny dodge (see below) instead.	KEY:Bloodscaled Fury ~ Rend																		ABILITY:FEAT|AUTOMATIC|Rend								SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Enxtend Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a bloodscaled fury can remain in a rage for a number of rounds equal to 6 + its Con modifier.	KEY:Bloodscaled Fury ~ Extend Rage									BONUS:VAR|ExtraRageDuration|3																	SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Incite Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 8th level, a bloodscaled fury gains the ability to incite rage in its allies whenever it enters a rage. The dragon can affect all willing allies within 60 feet, granting them a +4 morale bonus to Strength, a +4 morale bonus to Constitution, a +2 morale bonus on Will saves, and a -2 penalty to Armor Class for as long as the dragon remains raging. This ability is otherwise identical to normal barbarian rage, including the fatigue at the end of the rage.	KEY:Bloodscaled Fury ~ Incite Rage																										SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Tireless Fury	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 9th level, a bloodscaled fury no longer becomes fatigued at the end of its rage.	KEY:Bloodscaled Fury ~ Tireless Fury									BONUS:VAR|AllTirelessRage|1																	SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Blinding Speed	CATEGORY:Special Ability	TYPE:ClassFeatures.BloodscaledFuryClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A 12th-level bloodscaled fury can act as if under the effects of a haste spell for a total of 12 rounds each day. The duration of the effect need not be consecutive rounds. Activating this power is a free action.	KEY:Bloodscaled Fury ~ Blinding Speed																										SORTKEY:Class_Bloodscaled_Fury	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A disciple of Ashardalon gains no proficiency with any weapons, armor, or shields.	KEY:Disciple of Ashardalon ~ Weapon and Armor Proficiency																										SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Fiendbond	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As part of its initiation, a disciple of Ashardalon binds a demonic spirit to its own heart, emulating the manner in which Ashardalon himself took a balor as his heart. The dragon's alignment changes to chaotic evil if it was not already of that alignment. The dragon gains bonus sorcerer spells as if its Charisma score were 2 points higher than actual.	KEY:Disciple of Ashardalon ~ Fiendbond									BONUS:STAT|BASESPELLSTAT;Class=Sorcerer|2									KIT:1|CE								SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A disciple of Ashardalon gains resistance to acid, cold, electricity, and fire. This resistance is 5 at 1st level, and increases by 5 at 4th level and every four levels thereafter (10 at 4th level, 15 at 8th level, and 20 at 12th level).	KEY:Disciple of Ashardalon ~ Resistance									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|(((DiscipleOfAshardalonLVL+4)/4)*5)|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid|Resistance to Cold|Resistance to Electricity|Resistance to Fire								SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Disciple of Ashardalon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DiscipleOfAshardalonLVL|Darkness	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAshardalonLVL|Desecrate|PREVARGTEQ:DiscipleOfAshardalonLVL,2	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAshardalonLVL|Unholy Blight|PREVARGTEQ:DiscipleOfAshardalonLVL,3	SPELLS:Innate|TIMES=3|CASTERLEVEL=DiscipleOfAshardalonLVL|Poison|PREVARGTEQ:DiscipleOfAshardalonLVL,4	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAshardalonLVL|Contagion|PREVARGTEQ:DiscipleOfAshardalonLVL,5	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAshardalonLVL|Blasphemy|PREVARGTEQ:DiscipleOfAshardalonLVL,6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAshardalonLVL|Unhallow|PREVARGTEQ:DiscipleOfAshardalonLVL,7	SPELLS:Innate|TIMES=3|CASTERLEVEL=DiscipleOfAshardalonLVL|Unholy Aura|PREVARGTEQ:DiscipleOfAshardalonLVL,8	SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac	SPELLS:Innate|TIMES=3|CASTERLEVEL=DiscipleOfAshardalonLVL|Horrid Wilting|PREVARGTEQ:DiscipleOfAshardalonLVL,9	SPELLS:Innate|TIMES=3|CASTERLEVEL=DiscipleOfAshardalonLVL|Destruction|PREVARGTEQ:DiscipleOfAshardalonLVL,11
Skill Point Increase	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, and again at 10th level, a disciple of Ashardalon gains a pool of bonus skill points equal to the number of dragon Hit Dice it possesses. This pool represents a gradual transition from being a creature of the dragon type (with 6 skill points per HD) to being an outsider (with 8 skill points per HD). These bonus skill points are in addition to the skill points gained at every level, and are not modified by the dragon's Intelligence score.	KEY:Disciple of Ashardalon ~ Skill Point Increase									BONUS:SKILLPOOL|NUMBER|HD|PREVARGTEQ:DiscipleOfAshardalonLVL,2	BONUS:SKILLPOOL|NUMBER|HD|PREVARGTEQ:DiscipleOfAshardalonLVL,10																SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Ability Increase	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Every three levels, a disciple of Ashardalon's ability scores increase automatically. At 3rd, 6th, 9th, and 12th level, its Strength, Dexterity, and Intelligence all increase by 1 point. At 6th and 12th level, its Constitution and Charisma also increase by 1 point. By 12th level, a disciple of Ashardalon has the ability score adjustments of the half-fiend template.	KEY:Disciple of Ashardalon ~ Ability Increase									BONUS:STAT|STR,DEX,INT|DiscipleOfAshardalonLVL/3	BONUS:STAT|CON,CHA|DiscipleOfAshardalonLVL/6																SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Poison Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A disciple of Ashardalon of 6th level or higher is immune to all forms of poison.	KEY:Disciple of Ashardalon ~ Poison Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison								SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Natural Armor Increase	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, a disciple of Ashardalon's natural armor bonus improves by 1.	KEY:Disciple of Ashardalon ~ Natural Armor Increase									BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK																	SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Fiendish Perfection	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAshardalonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 12th level, a disciple of Ashardalon's bond with its demonic spirit is complete and perfect. The dragon now has the half-fiend template and becomes an outsider rather than a dragon.	KEY:Disciple of Ashardalon ~ Fiendish Perfection																		TEMPLATE:Disciple of Ashardalon ~ Fiendish Perfection								SORTKEY:Class_Disciple_Of_Ashardalon	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A dispassionate watcher gains no proficiency with any weapons, armor, or shields.	KEY:Dispassionate Watcher of Chronepsis ~ Weapon and Armor Proficiency																										SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Divine Conversion	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a dispassionate watcher loses any effective sorcerer level it had previously gained by virtue of its age and draconic variety. Its effective divine spellcasting level increases by the number of sorcerer levels it sacrificed. These effective levels apply only to the dragon's spellcasting, not to other class abilities (such as turning undead). For example, a very old amethyst dragon/1st-level cleric adopts the dispassionate watcher of Chronepsis prestige class. Its sorcerer caster level of 11th converts into eleven effective cleric levels, giving the dragon the spellcasting ability of a 12th-level cleric.	KEY:Dispassionate Watcher of Chronepsis ~ Divine Conversion								ADD:SPELLCASTER|Cleric	BONUS:PCLEVEL|Cleric|DragonSpellcasterLVL-1	BONUS:PCLEVEL|Sorcerer|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterSorcerer	BONUS:PCLEVEL|Sorcerer/Cleric|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterSorcererCleric	BONUS:PCLEVEL|Kineticist (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionKineticist	BONUS:PCLEVEL|Telepath (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionTelepath					BONUS:PCLEVEL|Seer (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionClairsentience	BONUS:PCLEVEL|Nomad (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionPsychoportation	BONUS:PCLEVEL|Egoist (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionPsycometabolism	ABILITY:Internal|AUTOMATIC|Cleric Class					SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Calming Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 1st level, a dispassionate watcher loses its frightful presence ability (if it had one), gaining instead an infectious aura of calm detachment. This aura has the same radius and Will save DC as the dragon's frightful presence ability, if it had one. If it did not possess frightful presence, the radius is equal to 5 feet per 2 HD the dragon possesses (counting only its base dragon Hit Dice, not any class levels). The Will saving throw to resist the effect has a DC of 10 + 1/2 dragon's base HD + its Cha modifier. The effect of the aura is the same as that of a calm emotions spell, but it lasts as long as the dispassionate watcher does not attack.	KEY:Dispassionate Watcher of Chronepsis ~ Calming Aura																										SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Draconic Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures	VISIBLE:YES	DESC:A dispassionate watcher gains Draconic Knowledge (see page 69) as a bonus feat. It uses its dispassionate watcher level as an additional modifier on its draconic knowledge checks.	KEY:Dispassionate Watcher of Chronepsis ~ Draconic Knowledge									BONUS:VAR|DraconicKnowledge|DispassionateWatcherOfChronepsisLVL																	SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures	VISIBLE:YES	DESC:From 2nd level on, when a new dispassionate watcher level is gained, the dragon gains new spells per day as if it had also gained a level in a divine spellcasting class it belonged to before it added the prestige class. It does not, however, gain any other benefit a character of that class would have gained (an improved chance of turning or rebuking undead, wild shape, and so on). This essentially means that the dragon adds the level of dispassionate watcher to the level of whatever divine spellcasting class the dragon has, then determines spells per day and caster level accordingly. If the dragon had more than one divine spellcasting class before becoming a dispassionate watcher, the dragon must decide to which class it adds each level of dispassionate watcher for the purpose of determining spells per day. A very old amethyst dragon/1st-level cleric/2nd-level dispassionate watcher has the spellcasting ability of a 13thlevel cleric: 11 from divine conversion of its sorcerer spellcasting levels, 1 from its single cleric level, and 1 from its two levels in the prestige class. If a dragon advances an age category after taking levels in this class, the added levels of spellcasting ability are added to its effective divine spellcasting level. If the very old amethyst dragon in the example above lives to be ancient, its spellcasting level would increase by 2, so it would cast spells as a 15th-level cleric.	KEY:Dispassionate Watcher of Chronepsis ~ Spellcasting																										SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
Comprehend Languages	CATEGORY:Special Ability	TYPE:ClassFeatures.DispassionateWatcherOfChronepsisClassFeatures.SpellLike	VISIBLE:YES	DESC:At 2nd level, a dispassionate watcher gains the ability to use comprehend languages at will.	KEY:Dispassionate Watcher of Chronepsis ~ Comprehend Languages																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DispassionateWatcherOfChronepsisLVL|Comprehend Languages								SORTKEY:Class_Dispassionate_Watcher_Of_Chronepsis	SOURCEPAGE:Drac		
