SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.mongoosepublishing.com/																																								
#																																										
# Feat Name	CATEGORY:	TYPE:	visible	key	PRETOTALAB	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page
Amazing Agility	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Balance=12												DESC:You may always take 20 on any Balance check, even for checks that would not normally allow it. Use of this feat is a free action.																	SOURCEPAGE:SoB
Bargain	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CHA=13									DESC:You gain a +4 competence bonus to all Profession (Merchant) checks when buying or selling goods as described.												BONUS:SITUATION|Profession (Merchant)=Buying and selling goods|4|TYPE=Competence					SOURCEPAGE:SoB
Duck & Weave	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15									DESC:So long as you are not flat-footed or surprised, you always count as being in three-quarters cover against ranged attacks whilst on board a ship- This will grant you a +7 cover AC bonus and a +3 cover Reflex save bonus, affording you far greater protection than other crewmen.																	SOURCEPAGE:SoB
Eagle Eyes	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:Your eyesight is excellent. You may add 50%% to all the visibility ranges listed for Crow's Nest.																	SOURCEPAGE:SoB
Improved Underwater Combat	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:6		PREABILITY:1,CATEGORY=FEAT,Underwater combat																		DESC:Whils using piercing weapons, you suffer no penalty to Initiative and attack rolls in underwater melee combat. This feat has no effect when used in conjunction with slashing or bludgeoning weapon.																	SOURCEPAGE:SoB
Inspire Loyalty	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Leadership																		DESC:So long as you are alive and seen to be fighting, your crew will automatically pass ant Morale check thay are required to make during a boarding action. Additionally, you gain a +4 bonus to avoid Mutiny checks.																	SOURCEPAGE:SoB
Master Helmsman	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Seamanship)=8												DESC:When at the wheel or rudder of a ship you are able to take advantage of each breath of wind and every current your vessel comes into contact with. Both the base and daily movement rates of the ship are increased by 10%% due to your expert handling.																	SOURCEPAGE:SoB
Rapid Loader	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Siege Engineer)=4												DESC:When part of a crew for a shipboard weapon, you may halve the time taken to reload the weapon after firing , rounding down. No matter what other factor apply (magic, for example), a shipboard weapon will always take at least one round to reload.																	SOURCEPAGE:SoB
Sea Legs	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Must have spent at least 3 months at sea.				DESC:Whils on board a ship, you gain a +2 competence bonus to all Climb, Concentration, jump and Use Rope checks.																	SOURCEPAGE:SoB
Steady Captain	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Leadership						PRESKILL:1,Knowledge (Seamanship)=6								PRETEXT:Must be captain of a ship.				DESC:The crew of your ship gain a +2 competence bonus to all Seamanship checks whilst you remain in command of the ship.																	SOURCEPAGE:SoB
Superior Helmsman	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Seamanship)=6												DESC:When either at the wheel or rudder of a ship, you are able to make very fast turns that can throw an enemy completely off guard. Any ship you are iin control of gains a +1 competence bonus to its manoeuverability.																	SOURCEPAGE:SoB
Strong Swimmer	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Swim=8			PRESTAT:1,STR=13									DESC:Upon a successful Swim check, you may now swim at one-half your speed as a move-equivalent action, or your full speed as a full-round action.																	SOURCEPAGE:SoB
Underwater Combat	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:When fighting in underwater melee combat, you only face a -2 penalty to Initiative and attack rolls. In additionm you also receive only a -2 penalty to damage when using slashing or bludgeoning weapons.																	SOURCEPAGE:SoB
																																										
CATEGORY=FEAT|Improved Two-Weapon Fighting.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Combat Reflexes.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Dodge.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Exotic Weapon Proficiency.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Improved Critical.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Improved Initiative.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Quick Draw.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Weapon Finesse.MOD	TYPE:Reaver																																									
CATEGORY=FEAT|Weapon Focus.MOD	TYPE:Reaver																																									
