SOURCELONG:Noble Steed 3.0	SOURCESHORT:NS30	SOURCEWEB:http://www.avalanchepress.com																																									
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat		Define		Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat			Stackable?	Multiple?	Choose	Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Battering Ram	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES			PRERACE:1,Animal (Elephant%																			DESC:With this feat, the elephant may use its charge attack against a door, wall, or other stationary object. The elephant deals 3dIo plus its Strength Bonus in damage to the object per round of the assault. It also adds any other bonuses derived from attacking an immobile object.																	SOURCEPAGE:NS	
Desert Direction Sense	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES			PRERACE:1,Animal (Camel%																			DESC:By concentrating, the camel can sense direction, even in the shifting desert sands. A Camel with this Feat never gets lost in the desert and, if left to choose its own path, will always find its way to safety. This, of course, does not stop its master from driving it in a different direction.																	SOURCEPAGE:NS	
Fearless	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES																						DESC:This steed is not spooked by loud noises, fire, the smell of blood or other battle hazards. It suffers no penalties to its actions on the battlefield for unusual circumstances of this nature. Additionally, it is immune to Fear effects.																	SOURCEPAGE:NS	ABILITY:Special Ability|AUTOMATIC|Immunity to Fear
Fight in Harness	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES																						DESC:Despite the dangers of fighting while harnessed to a chariot, wagon, or cart, sometimes a steed must defend itself on the battlefield or from natural predators under such circumstances. With this Feat, the steed takes no negative penalties for fighting in a harness.																	SOURCEPAGE:NS	
Flight Lead Change	CATEGORY:FEAT	TYPE:SteedFeat.Dressage	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT|Sure-Footed									PRESTAT:1,DEX=14									DESC:The flying lead change is an intricate movement performed while the horse is in full motion. When done every stride it looks like the horse is skipping, leaping from one place to another on shifting ground and seeking purchase. This Feat is used to avoid ~ treacherous terrain, adjusting the horses' stride as it runs in order to seek solid ground amid dangerous obstacles. Steeds using this Feat ignore any penalties for rough or dangerous terrain.																	SOURCEPAGE:NS	
Great Leap	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:The horse has a +4 Bonus to all Jump checks, and che ability to Take IO whenever jumping mundane obstacles.													BONUS:SKILL|Jump|4				SOURCEPAGE:NS	
Half Pass	CATEGORY:FEAT	TYPE:SteedFeat.Dressage	VISIBLE:YES													PRESTAT:1,DEX=15									DESC:The half pass is a dressage movement and is very acrobatic in nature. With this Feat, the steed is capable of a sudden shift sideways while continuing forward in an open trot or canter. This sudden shift is unpredictable and can allow the animal to avoid blows. The steed and its rider receive a +4 Dodge Bonus to Armor class caused by Attacks of Opportunity. Circumstances which make the steed lose its Dexterity Bonus to Armor Class (if any) also cost it this Dodge Bonus.																	SOURCEPAGE:NS	
Heavy Burden	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:This animal is used to the burdens of life and has been trained to bear them with as little trouble as possible. A steed with this Feat understands how to economize its movements and use its stamina most effectively, even on long trips or when overburdened. The steed can carry half again its normal burden without penalty.																	SOURCEPAGE:NS	
Improved Charge	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES																						DESC:The horse does not suffer a penalty to its Armor Class for charging. It and its rider may both attack from the same charge.																	SOURCEPAGE:NS	
Increased Stamina	CATEGORY:FEAT	TYPE:SteedFeat	VISIBLE:YES																						DESC:When the horse takes this Feat, it can ride up to two hours longer per day without suffering any negative effects. This Feat can be taken twice. Its effects are cumulative.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:NS	
Massive Blow	CATEGORY:FEAT	TYPE:SteedBattleFeat	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT|Massive Blow																		DESC:By hurling its entire body upon its attacker, the mount is able to knock its opponent off guard, pushing the target back with incredible force as per a Bull Rush. This attack does not require a charge but does count as a Full Attack Action. When the steed performs a Massive Blow, it does not provoke an Attack of Opportunity from the defender, and it may push the target back IO feet rather than 5 .																	SOURCEPAGE:NS	
