SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																													
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
																																
# Alignments																																
																																
# Racial																																
																																
# Race Groups Subtype																																
																																
# Race Groups																																
Abishai Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Abishai ~ Languages|Abishai ~ Sting|Abishai ~ Spell-Like Abilities|Abishai ~ Summon Baatezu|Abishai ~ Immunities|Abishai ~ Resistances|Abishai ~ Regeneration|Abishai ~ See in Darkness|Abishai ~ Telepathy|Abishai ~ Vulnerability to Holy Water									SOURCEPAGE:MCMoF30
Languages	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Abishai ~ Languages																		AUTO:LANG|Infernal|Common									SOURCEPAGE:MCMoF30
Sting	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialAttack	VISIBLE:YES		KEY:Abishai ~ Sting	DESC:Each variety of abishai has a sting attack, delivered by its tail, that inflicts extra damage.																										SOURCEPAGE:MCMoF30
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialAttack	VISIBLE:YES	DESC:At will: animate dead, change self, charm person, command, desecrate, detect alignment, major image, suggestion, and scare. These powers function as the spells of the same name cast by a sorcerer possessing caster levels equal to the individual abishai's Hit Dice.	KEY:Abishai ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Animate Dead|Disguise Self|Charm Person|Command|Desecrate|Detect Alignment|Major Image|Suggestion|Scare									SOURCEPAGE:MCMoF30
Summon Mephit	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day an abishai can attempt to summon 2d6 lemures with a 50%% chance of success, or another abishai of a random color with a 20%% chance of success.	KEY:Abishai ~ Summon Baatezu																											SOURCEPAGE:MCMoF30
Immunities	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Abishais are immune to fire and poison.	KEY:Abishai ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Fire|Immunity to Poison									SOURCEPAGE:MCMoF30
Resistances	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Resistance to acid 10 and cold 10.	KEY:Abishai ~ Resistances									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus|10|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Cold|Resistance to Acid									SOURCEPAGE:MCMoF
Regeneration	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Takes normal damage from good-aligned weapons and from spells or effects with the good descriptor. All other damage regenerates at the rate of 1 point per Hit Die per round; for example, a black abishai with 5 HD regenerates 5 points per round.	KEY:Abishai ~ Regeneration									BONUS:VAR|RegenerationRate|HD|TYPE=Racial																		SOURCEPAGE:MCMoF
See in Darkness	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Abishais can see perfectly in darkness of any kind, even that created by deeper darkness spells.	KEY:Abishai ~ See in Darkness									BONUS:VAR|HasSeeInDarknessVision|1|TYPE=Base																		SOURCEPAGE:MCMoF30
Telepathy	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Abishais can communicate telepathically with any creature within %1 feet that has a language.|TelepathyRange	KEY:Abishai ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:MCMoF30
Vulnerability to Holy Water	CATEGORY:Special Ability	TYPE:AbishaiSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Abishais take 2d4 damage from a flask of holy water, or 1 point of damage from a splash of holy water.	KEY:Abishai ~ Vulnerability to Holy Water																											SOURCEPAGE:MCMoF30
																																
																																
Nightshade Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Nightshade ~ Aversion to Daylight|Nightshade ~ Desecrating Aura									SOURCEPAGE:MM1
Aversion to Daylight	CATEGORY:Special Ability	TYPE:NightshadeSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Nightshades are creatures of utter darkness and loathe all light. If exposed to natural daylight (not merely a daylight spell), they take a -4 penalty on all attack rolls, saving throws, and skill checks.	KEY:Nightshade ~ Aversion to Daylight																											SOURCEPAGE:MM1
Desecrating Aura	CATEGORY:Special Ability	TYPE:NightshadeSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:All nightshades give off a 20-foot radius emanation of utter desecration, imbuing their surroundings with negative energy. This ability works much like a desecrate spell, except that the nightshade's evil is so great that it is treated as the shrine of an evil power. All undead within 20 feet of the nightshade (including the creature itself ) gain a +2 profane bonus on attack rolls, damage rolls, and saving throws, and +2 hit points per HD. (The nightshade Hit Dice, attack, and save entries given here include these profane bonuses.) Charisma checks made to turn undead within this area take a -6 penalty. A nightshade's desecrating aura cannot be dispelled except by a dispel evil spell or similar effect. If the effect is dispelled, the nightshade can resume it as a free action on its next turn. Its desecrating aura is suppressed if a nightshade enters a consecrated or hallowed area, but the nightshade's presence also suppresses the consecrated or hallowed effect for as long as it remains in the area.	KEY:Nightshade ~ Desecrating Aura				DEFINE:DesecratingBonus|0					BONUS:VAR|DesecratingBonus|2	BONUS:COMBAT|TOHIT.Weapon|DesecratingBonus|TYPE=Profane	BONUS:COMBAT|TOHIT.GRAPPLE|DesecratingBonus|TYPE=Profane	BONUS:COMBAT|DAMAGE.Weapon|DesecratingBonus|TYPE=Profane						BONUS:SAVE|ALL|DesecratingBonus|TYPE=Profane	BONUS:HP|CURRENTMAX|DesecratingBonus*HD								SOURCEPAGE:MM1
																																
Ooze Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Ooze ~ Blindsight									SOURCEPAGE:MM1
Blindsight	CATEGORY:Special Ability	TYPE:OozeSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ooze's entire body is a primitive sensory organ that can ascertain prey by scent and vibration within 60 feet.	KEY:Ooze ~ Blindsight									BONUS:VAR|BlindsightRange|60|TYPE=Base																		SOURCEPAGE:MM1
																																
Salamander Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Salamander ~ Constrict|Salamander ~ Heat|Salamander ~ Improved Grab|Salamander ~ Skills|Salamander ~ Feats									SOURCEPAGE:MM1
