SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
						
# Template Name	VISIBLE:	AUTO:LANG|	LANGBONUS:	REGION:		
###Block: Region						
No Faerun Region	VISIBLE:NO					
#						
# Region						
Aglarond ~ Human	VISIBLE:NO	AUTO:LANG|Aglarondan	LANGBONUS:Chessentan,Damaran,Draconic,Elven,Mulhorandi,Orc,Sylvan,Untheric	REGION:Aglarond	PRERACE:1,Human	SOURCEPAGE:PgtF
Altumbel ~ Human	VISIBLE:NO	AUTO:LANG|Aglarondan	LANGBONUS:Aquan,Chondathan,Chessentan,Rashemi,Serusan,Untheric	REGION:Altumbel	PRERACE:1,Human	SOURCEPAGE:PgtF
Amn ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Alzhedo,Elven,Giant,Goblin,Nexalan,Orc,Shaaran	REGION:Amn	PRERACE:1,Human	SOURCEPAGE:PgtF
Anauroch ~ Human	VISIBLE:NO	AUTO:LANG|Midani	LANGBONUS:Chondathan,Damaran,Draconic,Gnoll,Netherese,Orc	REGION:Anauroch	PRERACE:1,Human	SOURCEPAGE:PgtF
Calimshan ~ Human	VISIBLE:NO	AUTO:LANG|Alzhedo	LANGBONUS:Auran,Chondathan,Chultan,Draconic,Ignan,Shaaran,Tashalan	REGION:Calimshan	PRERACE:1,Human	SOURCEPAGE:PgtF
Chessenta ~ Human	VISIBLE:NO	AUTO:LANG|Chessentan	LANGBONUS:Aglarondan,Chondathan,Draconic,Mulhorandi,Turmic,Untheric	REGION:Chessenta	PRERACE:1,Human	SOURCEPAGE:PgtF
Chult ~ Human	VISIBLE:NO	AUTO:LANG|Chultan	LANGBONUS:Alzhedo,Draconic,Dwarven,Goblin,Shaaran,Sylvan,Tashalan	REGION:Chult	PRERACE:1,Human	SOURCEPAGE:PgtF
Cormyr ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Damaran,Elven,Gnome,Goblin,Halfling,Orc,Turmic	REGION:Cormyr	PRERACE:1,Human	SOURCEPAGE:PgtF
Dalelands ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Damaran,Elven,Giant,Gnome,Orc,Sylvan	REGION:Dalelands	PRERACE:1,Human	SOURCEPAGE:PgtF
Damara ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Chondathan,Dwarven,Giant,Goblin,Orc,Uluik	REGION:Damara	PRERACE:1,Human	SOURCEPAGE:PgtF
Dambrath ~ Human	VISIBLE:NO	AUTO:LANG|Dambrathan	LANGBONUS:Dwarven,Elven,Halfling,Halruaan,Gnoll,Illuskan,Shaaran	REGION:Dambrath	PRERACE:1,Human	SOURCEPAGE:PgtF
Dragon Coast ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Aglarondan,Chessentan,Damaran,Goblin,Halfling,Orc,Turmic	REGION:Dragon Coast	PRERACE:1,Human	SOURCEPAGE:PgtF
Golden Water ~ Human	VISIBLE:NO	AUTO:LANG|Durpari	LANGBONUS:Draconic,Dwarven,Giant,Halruaan,Halfling,Mulhorandi,Shaaran	REGION:Golden Water	PRERACE:1,Human	SOURCEPAGE:PgtF
Great Dale ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Giant,Goblin,Mulhorandi,Rashemi,Sylvan	REGION:Great Dale	PRERACE:1,Human	SOURCEPAGE:PgtF
Great Glacier ~ Human	VISIBLE:NO	AUTO:LANG|Uluik	LANGBONUS:Auran,Damaran,Dwarven,Elven,Giant	REGION:Great Glacier	PRERACE:1,Human	SOURCEPAGE:PgtF
Halruaa ~ Human	VISIBLE:NO	AUTO:LANG|Halruaan	LANGBONUS:Dambrathan,Elven,Goblin,Halfling,Shaaran,Tashalan	REGION:Halruaa	PRERACE:1,Human	SOURCEPAGE:PgtF
Hordelands ~ Human	VISIBLE:NO	AUTO:LANG|Tuigan	LANGBONUS:Damaran,Goblin,Mulhorandi,Rashemi,Shou	REGION:Hordelands	PRERACE:1,Human	SOURCEPAGE:PgtF
Impiltur ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Aglarondan,Chessentan,Chondathan,Dwarven,Giant,Goblin,Mulhorandi,Turmic	REGION:Impiltur	PRERACE:1,Human	SOURCEPAGE:PgtF
Lake of Steam ~ Human	VISIBLE:NO	AUTO:LANG|Shaaran	LANGBONUS:Alzhedo,Chondathan,Dwarven,Goblin,Tashalan	REGION:Lake of Steam	PRERACE:1,Human	SOURCEPAGE:PgtF
Lapaliija ~ Human	VISIBLE:NO	AUTO:LANG|Tashalan	LANGBONUS:Alzhedo,Chultan,Gnoll,Halruaan,Shaaran,Yuan-ti	REGION:Lapaliija	PRERACE:1,Human	SOURCEPAGE:PgtF
Lantan ~ Human	VISIBLE:NO	AUTO:LANG|Lantanese	LANGBONUS:Alzhedo,Chondathan,Dwarven,Gnome,Ignan,Illuskan,Shaaran	REGION:Lantan	PRERACE:1,Human	SOURCEPAGE:PgtF
Moonsea ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Chessentan,Chondathan,Draconic,Giant,Goblin,Orc	REGION:Moonsea	PRERACE:1,Human	SOURCEPAGE:PgtF
Moonshae Isles ~ Human	VISIBLE:NO	AUTO:LANG|Illuskan	LANGBONUS:Aquan,Chondathan,Elven,Giant,Orc,Sylvan	REGION:Moonshae Isles	PRERACE:1,Human	SOURCEPAGE:PgtF
Mulhorand ~ Human	VISIBLE:NO	AUTO:LANG|Mulhorandi	LANGBONUS:Aglarondan,Chessentan,Draconic,Durpari,Goblin,Tuigan,Untheric	REGION:Mulhorand	PRERACE:1,Human	SOURCEPAGE:PgtF
Narfell ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Goblin,Orc,Rashemi,Tuigan,Uluik	REGION:Narfell	PRERACE:1,Human	SOURCEPAGE:PgtF
Nelanther Isles ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Alzhedo,Goblin,Illuskan,Lantanese,Orc,Shaaran	REGION:Nelanther Isles	PRERACE:1,Human	SOURCEPAGE:PgtF
North ~ Human	VISIBLE:NO	AUTO:LANG|Illuskan	LANGBONUS:Chondathan,Dwarven,Elven,Giant,Goblin,Orc	REGION:North	PRERACE:1,Human	SOURCEPAGE:PgtF
Rashemen ~ Human	VISIBLE:NO	AUTO:LANG|Rashemi	LANGBONUS:Aglarondan,Damaran,Goblin,Mulhorandi,Tuigan	REGION:Rashemen	PRERACE:1,Human	SOURCEPAGE:PgtF
Ride ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Chondathan,Giant,Goblin,Orc,Rashemi	REGION:Ride	PRERACE:1,Human	SOURCEPAGE:PgtF
Sembia ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Chessentan,Damaran,Gnome,Halfling,Mulhorandi,Shaaran,Turmic	REGION:Sembia	PRERACE:1,Human	SOURCEPAGE:PgtF
Shaar ~ Human	VISIBLE:NO	AUTO:LANG|Shaaran	LANGBONUS:Alzhedo,Dambrathan,Durpari,Dwarven,Gnoll,Halruaan,Tashalan,Untheric	REGION:Shaar	PRERACE:1,Human	SOURCEPAGE:PgtF
Shadovar ~ Human	VISIBLE:NO	AUTO:LANG|Netherese	LANGBONUS:Chondathan,Damaran,Draconic,Elven,Loross,Thorass	REGION:Shadovar	PRERACE:1,Human	SOURCEPAGE:PgtF
Shou Expatriate ~ Human	VISIBLE:NO	AUTO:LANG|Shou	LANGBONUS:Draconic,Durpari,Goblin,Mulhorandi,Rashemi,Tuigan	REGION:Shou Expatriate	PRERACE:1,Human	SOURCEPAGE:PgtF
Silverymoon ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Dwarven,Elven,Giant,Illuskan,Orc,Sylvan	REGION:Silverymoon	PRERACE:1,Human	SOURCEPAGE:PgtF
Sword Coast ~ Human	VISIBLE:NO	AUTO:LANG|Illuskan	LANGBONUS:Chondathan,Dwarven,Giant,Halfling,Orc	REGION:Sword Coast	PRERACE:1,Human	SOURCEPAGE:PgtF
Tashalar ~ Human	VISIBLE:NO	AUTO:LANG|Tashalan	LANGBONUS:Alzhedo,Chultan,Draconic,Illuskan,Orc,Shaaran,Yuan-Ti	REGION:Tashalar	PRERACE:1,Human	SOURCEPAGE:PgtF
Tethyr ~ Human	VISIBLE:NO	AUTO:LANG|Chondathan	LANGBONUS:Alzhedo,Elven,Goblin,Lantanese,Orc	REGION:Tehtyr	PRERACE:1,Human	SOURCEPAGE:PgtF
Thay ~ Human	VISIBLE:NO	AUTO:LANG|Mulhorandi	LANGBONUS:Chessentan,Damaran,Gnoll,Infernal,Rashemi,Tuigan,Untheric	REGION:Thay	PRERACE:1,Human	SOURCEPAGE:PgtF
Thesk ~ Human	VISIBLE:NO	AUTO:LANG|Damaran	LANGBONUS:Aglarondan,Chondathan,Giant,Gnoll,Mulhorandi,Orc,Rashemi,Shou,Tuigan	REGION:Thesk	PRERACE:1,Human	SOURCEPAGE:PgtF
Turmish ~ Human	VISIBLE:NO	AUTO:LANG|Turmic	LANGBONUS:Chessentan,Chondathan,Draconic,Dwarven,Ignan,Shaaran	REGION:Turmish	PRERACE:1,Human	SOURCEPAGE:PgtF
Unther ~ Human	VISIBLE:NO	AUTO:LANG|Untheric	LANGBONUS:Chessentan,Draconic,Mulhorandi,Orc,Shaaran	REGION:Unther	PRERACE:1,Human	SOURCEPAGE:PgtF
