SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Arcane devotees gain no proficiency with any weapon, armor, or shield.	KEY:Arcane Devotee ~ Weapon and Armor Proficiency																										SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new arcane devotee level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever arcane spellcasting class granted him access to 4th-level arcane spells before he added the prestige class level. He does not, however, gain any other benefit a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of arcane devotee to the level of whatever other arcane spellcasting class granted him access to 4th-level arcane spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one arcane spellcasting class that granted access to 4th-level spells before he became an arcane devotee, he must decide to which class he adds each level of arcane devotee for the purpose of determining spells per day and spells known.	KEY:Arcane Devotee ~ Spells per Day																										SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Reach of the Holy	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 1st level, the arcane devotee may apply the effects of the Enlarge Spell feat to any spell he casts. He does not need to prepare it as an enlarged spell in advance, and the use of this ability does not increase the casting time or use a higher-level spell slot. The arcane devotee may use this ability a number of times per day equal to 1 + his Cha modifier (minimum once per day).	KEY:Arcane Devotee ~ Reach of the Holy				DEFINE:ReachOfTheHolyTimes|0					BONUS:VAR|ReachOfTheHolyTimes|1+max(0,CHA)|TYPE=Base																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, the arcane devotee gains a +1 bonus on saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders. When he reaches 4th level, the bonus increases to +2.	KEY:Arcane Devotee ~ Sacred Defense				DEFINE:ArcaneDevoteeSacredDefenseLVL|0					BONUS:VAR|ArcaneDevoteeSacredDefenseLVL|ArcaneDevoteeLVL/2	BONUS:VAR|SacredDefenseBonus|ArcaneDevoteeSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Divine Sinergy	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the arcane devotee learns to harmonize his magic with that of his deity's worshipers. Any time he is the target of a harmless spell cast by a divine spellcaster of his patron deity, the spell functions as if affected by the Empower Spell feat, if applicable. The spell must be cast by another character- even if the arcane devotee has levels in a divine spellcasting class, he does not gain this benefit for divine spells he casts on himself. A spell that cannot be affected by the Empower Spell feat gains no further benefit from this ability.	KEY:Arcane Devotee ~ Divine Sinergy																										SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Divine Shroud	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day, a 5th-level arcane devotee may surround himself with a shroud of glowing divine power that protects him against hostile spells. This ability functions like the spell resistance spell (caster level equals arcane devotee level), except that the divine shroud is of a color appropriate to the arcane devotee's patron. An arcane devotee of Tyr, for example, is surrounded by a steady, rose-purple glow, while an arcane devotee of Cyric is wrapped in a pulsating cloud of purple and black.	KEY:Arcane Devotee ~ Divine Shroud	DESC:%1/day|DivineShroudTimes			DEFINE:DivineShroudTimes|0					BONUS:VAR|DivineShroudTimes|1|TPE=Base																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine champions are proficient with all simple and martial weapons, but not with any armor or shields.	KEY:Divine Champion ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
Lay on Hands	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 1st level, a divine champion may heal wounds (her own or those of others with the same patron deity) by touch. This ability otherwise functions like the paladin's lay on hands ability. If the divine champion has the lay on hands ability from another source (such as paladin levels), her daily uses of the ability from that source are not limited by the strictures of this version. Only the daily uses derived from divine champion levels are restricted to characters with the same patron deity.	KEY:Divine Champion ~ Lay on Hands									BONUS:VAR|LayOnHandsLVL|1|TYPE=Base	BONUS:VAR|LayOnHandsCHABonus|CHA|TYPE=Base	BONUS:VAR|LayOnHands|DivineChampionLVL+LayOnHandsCHABonus							ABILITY:Special Ability|AUTOMATIC|Lay on Hands								SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level and again at 4th level, the divine Champion may select a bonus feat from the following list: Blind-Fight, Combat Expertise, Combat Reflexes, Exotic Weapon Proficiency, Improved Critical, Improved Initiative, Improved Turning, Quick Draw,  Weapon Focus. He must meet any prerequisites for a feat in order to select it.	KEY:Divine Champion ~ Bonus Feat				DEFINE:DivineChampionBonusFeats|0					BONUS:VAR|DivineChampionBonusFeats|DivineChampionLVL/2	BONUS:ABILITYPOOL|Divine Champion Feat|DivineChampionBonusFeats																SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the divine champion gains a +1 bonus on saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders. When she reaches 4th level, the bonus increases to +2.	KEY:Divine Champion ~ Sacred Defense				DEFINE:DivineChampionSacredDefenseLVL|0					BONUS:VAR|DivineChampionSacredDefenseLVL|DivineChampionLVL/2	BONUS:VAR|SacredDefenseBonus|DivineChampionSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Champion	SOURCEPAGE:PgtF		
