SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Feline Familiar	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Feline Familiar (Base)|Feline Familiar																															
Feline Familiar (Base)	CATEGORY:Internal								DEFINE:FelineFamiliarLVL|0	DEFINE:FelineFamiliarDetermination|0													FOLLOWERS:Feline Familiar|1	ABILITY:Feline Familiar Selection|AUTOMATIC|Standard Selection ~ Feline Familiar|!PREABILITY:1,CATEGORY=Internal,TYPE.FelineFamiliarAlternate								SOURCEPAGE:PGtF	
Feline Familiar	CATEGORY:Internal	TYPE:FelineFamiliarSelection	VISIBLE:NO																													SOURCEPAGE:PGtF	
Expanded Selection	CATEGORY:Internal	TYPE:FelineFamiliarSelection.FelineFamiliarAlternate		KEY:Expanded Selection ~ Feline Familiar																			COST:0	COMPANIONLIST:Feline Familiar|ANY								SOURCEPAGE:PGtF	
Feline Familiar (Default)	CATEGORY:Internal	TYPE:FelineFamiliarSelection.FelineFamiliarBase		KEY:Standard Selection ~ Feline Familiar	!PREABILITY:1,CATEGORY=Internal,TYPE.FelineFamiliarAlternate																		COST:0	COMPANIONLIST:Feline Familiar|Animal (Cat)								SOURCEPAGE:PGtF	
																																	
Alertness	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:While a familiar is within arm's reach, the master gains the Alertness feat.	KEY:Familiar ~ Alertness																											SOURCEPAGE:PGtF	
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:When subjected to an attack that normally allows a Reflex saving throw for half damage, a familiar takes no damage if it makes a successful saving throw and half damage even if the saving throw fails.	KEY:Familiar ~ Improved Evasion																											SOURCEPAGE:PGtF	
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality		DESC:At the master's option, he may have any spell (but not any spell-like ability) he casts on himself also affect his familiar. The familiar must be within 5 feet at the time of casting to receive the benefit. If the spell or effect has a duration other than instantaneous, it stops affecting the familiar if it moves farther than 5 feet away and will not affect the familiar again even if it returns to the master before the duration expires. Additionally, the master may cast a spell with a target of "You" on his familiar (as a touch range spell) instead of on himself. A master and his familiar can share spells even if the spells normally do not affect creatures of the familiar's type (magical beast).	KEY:Familiar ~ Share Spells																											SOURCEPAGE:PGtF	
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.FelineFamiliarClassFeatures.SpecialQuality.Supernatural		DESC:The master has an empathic link with his familiar out to a distance of up to 1 mile. The master cannot see through the familiar's eyes, but they can communicate empathically. Because of the limited nature of the link, only general emotional content can be communicated. Because of this empathic link, the master has the same connection to an item or place that his familiar does.	KEY:Familiar ~ Empathic Link																											SOURCEPAGE:PGtF	
