SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004																															
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CognitionThiefClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cognition thieves are profi cient with all simple weapons and light armor.	KEY:Cognition Thief ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Power Points per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.CognitionThiefClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 2nd, 3rd, 5th, 6th, 8th, and 9th level, the character gains new power points per day (and powers discovered, if applicable) as if she had also gained a level in a psionic class she belonged to before she added the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained (bonus feats, metapsionic feats or item creation feats, hit points beyond those she receives from the prestige class, and so on). She does gain the following benefi ts: an increased effective manifester level, additional power points, and effective additional levels for psicrystal powers (if a psicrystal is owned). This essentially means that she adds the level of cognition thief to the level of some other psionic class the character has, then determines power points per day, powers discovered, and manifester level accordingly. If a character had more than one psionic class that before she became a cognition thief, she must decide to which class she adds each level of cognition thief for the purpose of determining power points per day and powers discovered.	KEY:Cognition Thief ~ Power Points per Day																										SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Bonus Powers Known	CATEGORY:Special Ability	TYPE:ClassFeatures.CognitionThiefClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 1st, 4th, 7th, and 10th level, the cognition thief learns two new powers chosen from the telepath discipline. She can choose any power from the list that she would be able to manifest. Even cognition thieves who manifest their powers as wilders can choose from the telepath discipline list, which is otherwise forbidden to them. These powers are acquired through personal meditation, just as the new powers learned at each level in a base psionic class are. Thus, they take no time and cost no XP to learn.	KEY:Cognition Thief ~ Bonus Powers Known				DEFINE:CognitionThiefBonusPowerKnown|0					BONUS:ABILITYPOOL|Bonus Power Known|CognitionThiefBonusPowerKnown	BONUS:VAR|CognitionThiefBonusPowerKnown|(CognitionThiefLVL+2)/3*2																SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 1	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 1									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=1|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:1									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 2	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 2									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=2|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:2									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 3	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 3									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=3|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:3									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 4	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 4									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=4|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:4									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 5	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 5									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=5|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:5									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 6	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 6									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=6|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:6									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 7	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 7									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=7|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:7									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 8	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 8									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=8|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:8									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
Level 9	CATEGORY:Special Ability	TYPE:CognitionThiefClassFeatures.BonusPowerKnown	VISIBLE:YES		KEY:Cognition Thief ~ Bonus Powers Known ~ 9									BONUS:SPELLKNOWN|CLASS=Cognition Thief;LEVEL=9|1					STACK:YES	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=1;LEVELMIN=1],SCHOOL=Telepathy	SELECT:9									SORTKEY:Class_Cognition_Thief	SOURCEPAGE:PgtF		
