SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
# Class Name req	Requirements	FINE													
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS			
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Black Blood Hunter	HD:8	TYPE:Prestige	FACT:Abb|BBH	MAXLEVEL:10	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:BlackBloodHunterLVL|0	BONUS:VAR|BlackBloodHunterLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Black Blood Hunter	PRETEMPLATE:1,Lycanthrope	PREMULT:1,[PREMULT:2,[PRESKILL:1,Control Shape=8],[PREABILITY:1,CATEGORY=Internal,Afflicted Lycanthrope]],[PREABILITY:1,CATEGORY=Internal,Natural Lycanthrope]	PRESKILL:2,Jump=6,Survival=6	PRESKILL:1,Knowledge (Nature)=4	PREABILITY:2,CATEGORY=FEAT,Power Attack,Vile Natural Attack	PREDEITY:1,Malar									
CLASS:Black Blood Hunter	STARTSKILLPTS:4	CSKILL:Climb|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Spot|Survival|Swim													
1				ABILITY:Black Blood Hunter Class Feature|AUTOMATIC|Black blood Hunter ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.BlackBloodHunterProficiencies											
#															
1				ABILITY:Black Blood Hunter Class Feature|AUTOMATIC|Black Blood Hunter ~ Greater Curse of Lycanthropy|!PREABILITY:1,CATEGORY=ACF,TYPE.BlackBloodHunterGreaterCurseOfLycanthropy											
