SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Celebrants of Sharess gain no proficiency with any weapon, armor, or shield.	KEY:Celebrant of Sharess ~ Weapon and Armor Proficiency																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Beginning at 1st level, a celebrant of Sharess gains the ability to cast a number of arcane spells. To cast a spell, a celebrant must have a Charisma score of at least 10 + the spell's level, so a celebrant with a Charisma of 10 or lower cannot cast these spells. Celebrant of Sharess bonus spells are based on Charisma, and saving throws against these spells have a DC of 10 + spell level + the celebrant's Charisma bonus (if any). When the celebrant gets 0 spells per day of a given spell level (for instance, 1st-level spells for a 1st-level celebrant), she gains only the bonus spells she would be entitled to based on her Charisma score for that spell level. The celebrant's spell list appears below. A celebrant of Sharess casts spells just as a bard does. Upon reaching 6th level, and at every even-numbered level after that (8th and 10th), a celebrant of Sharess can choose to learn a new spell in place of one she already knows. The new spell's level must be the same as that of the spell being exchanged, and it must be at least two levels lower than the highest-level celebrant of Sharess spell the character can cast. For instance, upon reaching 6th level, a celebrant of Sharess could trade in a single 1st-level spell (two spell levels below the highest-level celebrant spell she can cast, which is 3rd) for a different 1st-level spell. At 8th and 10th levels, she could trade in a single 1st-level or 2nd-level spell (since she now can cast 4th-level celebrant spells) for a different spell of the same level. A celebrant of Sharess may swap only a single spell at any given level, and she must choose whether or not to swap the spell at the same time that she gains new spells known for that level.	KEY:Celebrant of Sharess ~ Spells				DEFINE:Caster_Level_Celebrant_Of_Sharess|0	DEFINE:Caster_Level_BL_Celebrant_Of_Sharess|0				BONUS:CASTERLEVEL|Celebrant of Sharess|Caster_Level_Celebrant_Of_Sharess	BONUS:VAR|Caster_Level_Celebrant_Of_Sharess|CelebrantOfSharessLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Celebrant_Of_Sharess|charbonusto("PCLEVEL","Celebrant of Sharess")	BONUS:VAR|Caster_Level_Highest__Arcane|Caster_Level_Celebrant_Of_Sharess+Caster_Level_BL_Celebrant_Of_Sharess|TYPE=Base														SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Fascinate	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:celebrant of Sharess can use her flirtation ability (see below) to cause one or more creatures to become fascinated with her. Each creature to be fascinated must be within 90 feet of the celebrant and be able to see, hear, and pay attention to her. The celebrant must also be able to see the creature. The distraction of a nearby combat or other danger prevents the ability from working. For every three levels a celebrant attains beyond 1st, she can target one additional creature with a single use of this ability (two at 4th level, three at 7th level, and four at 10th level). To use this ability, the celebrant makes a Perform check. Her check result is the DC for each affected creature's Will save against the effect. If a creature's saving throw succeeds, the celebrant cannot attempt to fascinate that creature again for 24 hours. If its saving throw fails, the creature sits quietly and gazes at the celebrant, taking no other actions, for as long as she continues her performance and concentration (up to a maximum of 1 round per celebrant of Sharess level). While fascinated, a target takes a -4 penalty on skill checks made as reactions, such as Listen and Spot checks. Any potential threat (such as an ally of the celebrant approaching the fascinated creature) requires the celebrant to make a new Perform check and allows the creature a new saving throw against a DC equal to the new Perform check result. Any obvious threat (such as someone drawing a weapon, casting a spell, or aiming a ranged weapon at the target) automatically breaks the effect. Fascinate is an enchantment (compulsion), mind-affecting ability.	KEY:Celebrant of Sharess ~ Fascinate																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Feline Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A celebrant of Sharess can obtain a cat as a familiar. Doing so takes 24 hours but costs nothing (unlike the summon familiar ability of a sorcerer or wizard). The cat serves as a companion and servant. As the celebrant advances in level, her familiar also increases in power. This cat familiar follows all the rules for a sorcerer's or wizard's familiar, except that the celebrant's effective class level for the purpose of determining familiar benefi ts is twice her celebrant of Sharess level. Thus, a 3rd-level celebrant's familiar can speak with its master, as if the celebrant were a 6thlevel sorcerer or wizard. A celebrant cannot have more than one familiar, and her celebrant levels do not stack with levels of any other class for the purpose of determining her familiar's abilities. If she has levels in another class that can summon a familiar, use either her level in that class or twice her celebrant of Sharess level, whichever is higher, to determine familiar benefi ts.	KEY:Celebrant of Sharess ~ Feline Familiar									BONUS:VAR|FelineFamiliarLVL|2*CelebrantOfSharessLVL									ABILITY:Special Ability|AUTOMATIC|Feline Familiar								SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Flirtation	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day per celebrant of Sharess level, the character can combine her Perform skill with her talents at flirtation and seduction to produce magical effects similar to those of the bardic music ability on those around her. Starting a fl irtation effect is a standard action. Some fl irtation effects require concentration, which means the celebrant must use a standard action each round to maintain the effect. Even while using a fl irtation ability that doesn't require concentration, a celebrant cannot cast spells or activate magic items by spell completion (such as scrolls) or command word (such as wands).	KEY:Celebrant of Sharess ~ Flirtation	DESC:%1/day|FlirtationTimes			DEFINE:FlirtationTimes|0					BONUS:VAR|FlirtationTimes|CelebrantOfSharessLVL|TPE=Base																	SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Fury of the Tigress	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DESC:At 2nd level, a celebrant of Sharess can enter a state of rage, gaining phenomenal strength and durability but becoming reckless and less able to defend herself. She temporarily gains a +4 bonus to Strength, a +4 bonus to Constitution, and a +2 morale bonus on Will saves, but she takes a -2 penalty to Armor Class. This ability functions exactly like a barbarian's rage. A celebrant of Sharess can enter this state once per day at 2nd level, twice per day at 6th level, and three times per day at 10th level.	KEY:Celebrant of Sharess ~ Fury of the Tigress				DEFINE:CelebrantOfSharessFuryOfTheTigressTimesLVL|0	DEFINE:CelebrantOfSharessFuryOfTheTigressPowerLVL|0				BONUS:VAR|CelebrantOfSharessFuryOfTheTigressTimesLVL,CelebrantOfSharessFuryOfTheTigressPowerLVL|CelebrantOfSharessLVL|TYPE=Class	BONUS:VAR|FuryOfTheTigressTimes|(CelebrantOfSharessFuryOfTheTigressTimesLVL+2)/4	BONUS:VAR|FuryOfTheTigressLVL|CelebrantOfSharessFuryOfTheTigressPowerLVL|TYPE=Base							ABILITY:Special Ability|AUTOMATIC|Fury of the Tigress								SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Suggestion	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 4th-level or higher celebrant of Sharess can make a suggestion (as the spell) to a creature that she has already fascinated (see above). Using this ability does not break the celebrant's concentration on the fascinate effect or count against her daily limit on fl irtation effects. A Will saving throw (DC 10 + celebrant of Sharess level + celebrant of Sharess's Cha modifi er) negates the effect. This ability affects only a single creature. Suggestion is an enchantment (compulsion), mind-affecting, language-dependent ability.	KEY:Celebrant of Sharess ~ Suggestion																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Pounce	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 5th level, a celebrant of Sharess can make a full attack at the end of a charge.	KEY:Celebrant of Sharess ~ Pounce																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Sanctuary	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A celebrant of Sharess who is at least 7th level can prevent creatures from attacking her or her allies in a manner similar to the effect of the sanctuary spell. To use this ability, the celebrant makes a Perform check. Her check result is the DC for each affected creature's Will save against the effect. Any opponent attempting to strike or otherwise directly attack the celebrant or any of her allies, even with a targeted spell, must attempt a Will save. Success means the opponent can attack normally and is unaffected by that use of the fl irtation ability. If the save fails, the opponent can't follow through with the attack, that part of its action is lost, and it can't directly affect the celebrant or her allies for the duration of the effect. Creatures not attempting to attack remain unaffected. This effect does not prevent opponents from using area or effect spells that would harm the celebrant or her allies. If the celebrant attacks another creature, or her allies do so, the sanctuary effect is broken.	KEY:Celebrant of Sharess ~ Sanctuary																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
Swiftness of the Tiger	CATEGORY:Special Ability	TYPE:ClassFeatures.CelebrantOfSharessClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When she reaches 8th level, a celebrant of Sharess can function as though affected by a haste spell. This benefit lasts for a number of rounds per day equal to her celebrant of Sharess level. This duration need not be consecutive-the celebrant of Sharess may break it up into increments as small as 1 round if she so desires. Ending the effect is a free action.	KEY:Celebrant of Sharess ~ Swiftness of the Tiger																										SORTKEY:Class_Celebrant_Of_Sharess	SOURCEPAGE:PgtF
