SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
# Class Name req	Requirements	FINE													
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS			
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Celebrant of Sharess	HD:6	TYPE:Prestige	FACT:Abb|CoS	MAXLEVEL:10	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:CelebrantOfSharessLVL|0	BONUS:VAR|CelebrantOfSharessLVL|CL		BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Celebrant of Sharess	PREALIGN:CG	PRESKILL:1,Diplomacy=7	PRESKILL:1,TYPE.Perform=7	PREABILITY:2,CATEGORY=FEAT,Sacred Vow,Vow of Purity											
CLASS:Celebrant of Sharess	STARTSKILLPTS:6	CSKILL:Bluff|Concentration|TYPE.Craft|Diplomacy|Disguise|Gather Information|Jump|Listen|TYPE=Perform|TYPE=Profession|Sense Motive|Sleight of Hand|Spellcraft|Tumble													
CLASS:Celebrant of Sharess	SPELLSTAT:CHA	FACT:SpellType|Arcane	MEMORIZE:NO												
1				ABILITY:Celebrant of Sharess Class Feature|AUTOMATIC|Celebrant of Sharess ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.CelebrantOfSharessProficiencies											
1				ABILITY:Celebrant of Sharess Class Feature|AUTOMATIC|Celebrant of Sharess ~ Spells											
#															
1				ABILITY:Celebrant of Sharess Class Feature|AUTOMATIC|Celebrant of Sharess ~ Fascinate|!PREABILITY:1,CATEGORY=ACF,TYPE.CelebrantOfSharessFascinate											
