SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004												
															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
# Class Name req	Requirements	FINE													
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS			
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Arcane Devotee	HD:4	TYPE:Prestige	FACT:Abb|Dev	MAXLEVEL:5	SOURCEPAGE:PgtF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:ArcaneDevoteeLVL|0	BONUS:VAR|ArcaneDevoteeLVL|CL		BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Arcane Devotee	PRETEXT:Ability to cast 4th-level arcane spells.	PRESKILL:2,Knowledge (Religion)=8,Spellcraft=8	PREABILITY:1,CATEGORY=FEAT,Enlarge Spell	PREDEITY:1,Y											
CLASS:Arcane Devotee	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Decipher Script|TYPE.Knowledge|TYPE.Profession|Spellcraft													
1				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ArcaneDevoteeProficiencies											
1				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Spells per Day											
#															
1				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Reach of the Holy|!PREABILITY:1,CATEGORY=ACF,TYPE.ArcaneDevoteeEnlargeSpell											
2				ABILITY:Arcane Devotee Class Feature|AUTOMATIC|Arcane Devotee ~ Sacred Defense|!PREABILITY:1,CATEGORY=ACF,TYPE.ArcaneDevoteeSacredDefense											
