SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
#									
#	ALIGN:	DEITYWEAP:	DESC: ()	DOMAINS:|PREALIGN:	TYPE:	FACTSET:Pantheon|	SOURCEPAGE:CD		
#Mosat	ALIGN:CG	DEITYWEAP:Tiger claws	DESC:The CONTENTed One	DOMAINS:Chaos,Knowledge,Animal		PANTHEON:BoD	SOURCEPAGE:not recorded yet	SYMBOL:a Kitten on a keyboard	
Malar.MOD	DOMAINS:Bestial|PREALIGN:NE,CN,CE
Gargauth.MOD	DOMAINS:Corruption|PREALIGN:LN,LE,NE
Yurtrus.MOD	DOMAINS:Corruption|PREALIGN:LE,TN,NE,CE
Lolth.MOD	DOMAINS:Darkness ~ Vile|PREALIGN:NE,CN,CE
Mask.MOD	DOMAINS:Darkness ~ Vile|PREALIGN:LE,TN,NE,CE
Set ~ FR.MOD	DOMAINS:Darkness ~ Vile|PREALIGN:LN,LE,NE
Shar.MOD	DOMAINS:Darkness ~ Vile|PREALIGN:LE,TN,NE,CE
Shargaas.MOD	DOMAINS:Darkness ~ Vile|PREALIGN:NE,CN,CE
Lolth.MOD	DOMAINS:Demonic|PRERACE:1,Half-Fiend (Draegloth)|PREALIGN:NE,CN,CE
Abbathor.MOD	DOMAINS:Greed|PREALIGN:LE,TN,NE,CE
Tiamat ~ FR.MOD	DOMAINS:Greed|PREALIGN:LN,LE,NE
Urdlen.MOD	DOMAINS:Greed|PREALIGN:NE,CN,CE
Cyric.MOD	DOMAINS:Pain|PREALIGN:NE,CN,CE
Loviatar.MOD	DOMAINS:Pain|PREALIGN:LN,LE,NE
Tyr ~ FR.MOD	DOMAINS:Wrath|PREALIGN:LG,LN,NG
