SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03						
#									
#	SOURCEPAGE:SpellListI.rtf		SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:					
Balance	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainBalance,1]	SPELLLEVEL:DOMAIN|Balance=1|Make Whole|Balance=2|Calm Emotions|Balance=3|Clarity of Mind|Balance=4|Dismissal|Balance=5|Sanctuary (Mass)|Balance=6|Banishment|Balance=7|Word of Balance|Balance=8|Protection from Spells|Balance=9|Weighed in the Balance	DESC:Once per day, as a free action, you may add your Wisdom modifier to your Armor Class. This bonus lasts for 1 round per cleric level.					
Charm	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCharm,1]	SPELLLEVEL:DOMAIN|Charm=1|Charm Person|Charm=2|Calm Emotions|Charm=3|Suggestion|Charm=4|Good Hope|Charm=5|Charm Monster|Charm=6|Geas/Quest|Charm=7|Insanity|Charm=8|Demand|Charm=9|Dominate Monster	DESC:You can boost your Charisma by 4 points once per day. Activating this ower is a free action. The charisma increase lasts 1 minute.		TEMPDESC:You can boost your Charisma by 4 points once per day.	TEMPBONUS:PC|STAT|CHA|4|TYPE=Enhancement		
Cold	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCold,1]	SPELLLEVEL:DOMAIN|Cold=1|Chill Touch|Cold=2|Chill Metal|Cold=3|Sleet Storm|Cold=4|Ice Storm|Cold=5|Ice Storm|Cold=6|Cone of Cold|Cold=7|Control Weather|Cold=8|Polar Ray|Cold=9|Obedient Avalanche	DESC:You can turn or destroy fire creatures as a good cleric turns undead and rebuke or command cold creatures as an evil cleric rebukes undead. Each use of this ability uses up one of your turn uses per day of your turn ability.	ABILITY:Special Ability|AUTOMATIC|Turn Fire				
Craft	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCraft,1]	SPELLLEVEL:DOMAIN|Craft=1|Animate Rope|Craft=2|Wood Shape|Craft=3|Stone Shape|Craft=4|Minor Creation|Craft=5|Wall of Stone|Craft=6|Fantastic Machine|Craft=7|Major Creation|Craft=8|Forcecage|Craft=9|Fantastic Machine (Greater)	DESC:You cast Creation spells at +1 caster level and gain Skill Focus (a +3 bonus) in the Craft skill of your choice.		BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1|PRERULE:1,SYS_DOMAIN	BONUS:ABILITYPOOL|Craft Skill Focus|1		
Family	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainFamily,1]	SPELLLEVEL:DOMAIN|Family=1|Bless|Family=2|Shield Other|Family=3|Helping Hand|Family=4|Imbue with Spell Ability|Family=5|Rary's Telepathic Bond|Family=6|Heroes' Feast|Family=7|Refuge|Family=8|Protection from Spells|Family=9|Prismatic Sphere	DESC:As a free action, you may protect a number of creatures equal to your Charisma modifier (minimum one creature) with a +2 dodge bonus to AC. This is a supernatural ability, and the effect lasts for 1 round per level. An affected creature loses this protection i f it moves more than 10 feet from you. You may also affect yourself with this ability.		TEMPDESC:Protect a number of creatures equal to your Charisma modifier (minimum one creature) with a +2 dodge bonus to AC.	TEMPBONUS:ANYPC|COMBAT|AC|2|TYPE=Dodge		
Fate	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainFate,1]	SPELLLEVEL:DOMAIN|Fate=1|True Strike|Fate=2|Augury|Fate=3|Bestow Curse|Fate=4|Divination|Fate=5|Mark of Justice|Fate=6|Geas/Quest|Fate=7|Vision|Fate=8|Moment of Prescience|Fate=9|Foresight	DESC:You gain the uncanny dodge ability. If you already have it, you gain improved uncanny dodge instead. These abilities are identical to those described in the barbarian and rogue class descriptions in the Player's Handbook.		ABILITY:Special Ability|AUTOMATIC|Fate ~ Uncanny Dodge			
Halfling	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainHalfling,1]	SPELLLEVEL:DOMAIN|Halfling=1|Magic Stone|Halfling=2|Cat's Grace|Halfling=3|Magic Vestment|Halfling=4|Freedom of Movement|Halfling=5|Mordenkainen's Faithful Hound|Halfling=6|Move Earth|Halfling=7|Shadow Walk|Halfling=8|Word of Recall|Halfling=9|Foresight	DESC:Once per day, you can add your Charisma modifier to your Climb, Jump, Move Silently, and Hide checks. Using this extraordinary ability is a free action, and the effect lasts for 10 minutes.		TEMPDESC:You gain the ability to add your Charisma modifier to your Climb, Jump, Move Silently and Hide checks.	TEMPBONUS:PC|SKILL|Climb,Jump,Move Silently,Hide|CHA		
Hatred	SOURCEPAGE:PgtF	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainHatred,1]	SPELLLEVEL:DOMAIN|Hatred=1|Doom|Hatred=2|Scare|Hatred=3|Bestow Curse|Hatred=4|Song of Discord|Hatred=5|Righteous Might|Hatred=6|Forbiddance|Hatred=7|Blasphemy|Hatred=8|Antipathy|Hatred=9|Wail of the Banshee	DESC:Choose one opponent. Against that opponent, you gain a +2 profane bonus on attack rolls, saving throws, and Armor Class for 1 minute. This supernatural ability is usable once per day as a free action.					
