SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Damage	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialAttack	VISIBLE:YES	DESC:As base creature, plus an additional 1d6 points of cold damage.	KEY:Dracolich ~ Damage																											SOURCEPAGE:FRCS30
Control Undead	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once every three days, a dracolich can cast control undead as a 15th-level sorcerer. The dracolich cannot cast other spells while this ability is in effect.	KEY:Dracolich ~ Control Undead																											SOURCEPAGE:FRCS30
Paralyzing Gaze	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:The gaze of a dracolich's glowing eyes can paralyze victims within 40-fttt who fail a Fortitude save (DC 10+1/2 dracolich's Hit Dice + its Charisma modifier). If the saving throw is successful, the character is forever immune to the gaze of that particular dracolich. If fails, the victim is paralyzed for 2d6 rounds.	KEY:Dracolich ~ Paralyzing Gaze	DESC:Fortitude DC %1.|ParalyzingGazeDC			DEFINE:ParalyzingGazeDC|0					BONUS:VAR|ParalyzingGazeDC|DefaultDCCha	BONUS:VAR|ParalyzingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralyzing Gaze)								ABILITY:Ability Focus|AUTOMATIC|Paralyzing Gaze									SOURCEPAGE:FRCS30
Paralyzing Touch	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A creature struck by any of a dracolich's physical attacks must make a Fortitude save (with the same DC as the dracolich's paralyzing gaze) or be paralyzed for 2d6 rounds. A successful saving throw against this effect doesn't confer any immunity against subvsequent attacks. The save DC is Charisma based.|ParalyzingTouchDC	KEY:Dracolich ~ Paralyzing Touch				DEFINE:ParalyzingTouchDC|0					BONUS:VAR|ParalyzingTouchDC|DefaultDCCha	BONUS:VAR|ParalyzingTouchDc|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralyzing Touch)								ABILITY:Ability Focus|AUTOMATIC|Paralyzing Touch									SOURCEPAGE:FRCS30
Immunities	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Dracolich ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Polymorph|Immunity to Cold|Immunity to Electricity|Half Damage from Slashing or Piercing									SOURCEPAGE:FRCS30
Invulnerability	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialQuality	VISIBLE:YES	DESC:if a dracolich is slaiun, its spirit immediately returns to its phylactery. If there is no reptilian corpse within 90 feet for the spirit to possess, it is trapped in the phylactery until such a time-if ever-that a corpse becomes available. A dracolich is difficult to destroy. If its spirit is currently contained in its phylactery, destroying that item when a suitable corpse is not within rang effectively destroys the dracolich. Likewise, an active dracolich is unable to attempt further possession if its phylactery is destroyed. The fate of a disembodied dracolich spirit-that is, a spirit with no body or phylactery-is unknown, but presumabely it is drawn to the Lower Planes.	KEY:Dracolich ~ Invulnerability																											SOURCEPAGE:FRCS30
Spell Resistance	CATEGORY:Special Ability	TYPE:DracolichRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Becoming a dracolich increases the dragon's spell resistance by +3. a dracolich has a minimum SR of 16.	KEY:Dracolich ~ Spell Resistance									BONUS:VAR|DragonSpellResistance|3									SR:max(DragonSpellResistance,16)									SOURCEPAGE:FRCS30
Control Light	CATEGORY:Special Ability	TYPE:ShadeRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Shade can decrease the level of light within a 100-ft radius of themsleves bya factor of 10%% per level. This decreases the overall effective range of vision for character creature dependent on light by the same percentage. Characters within the affected area gain a +1 bonus on Hude cheecks for each 25%% decrease in light.	KEY:Shade ~ Control Light																											SOURCEPAGE:FRCS30
Invisibility	CATEGORY:Special Ability	TYPE:ShadeRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A shade can use this spell-like ability once per turn as a sorcerer of its character level.	KEY:Shade ~ Invisibility																		SPELLS:Innate|TIMES=1|TIMEUNIT=Round|CASTERLEVEL=TL-HD|Invisibility									SOURCEPAGE:FRCS30
Shadesight	CATEGORY:Special Ability	TYPE:ShadeRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A shade has a 60-foof darkvision. It can see normally throught any darkness effects, but not throught fog, invisibility, obscurement and so forth.	KEY:Shade ~ Shadesight									BONUS:VAR|DarkvisionRange|60|TYPE=Base																		SOURCEPAGE:FRCS30
