SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
#Animus Blast			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:300 ft.	TARGETAREA:20-ft.-radius hemisphere burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:See text. Spellcraft DC 50.	SOURCEPAGE:EpicSpells.rtf									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Manath)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 28.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Erathaol)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 42.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Domiel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 44.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Kharash)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 46.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Barachiel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 46.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Pistis sophia)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 46.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Vhara)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 48.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Bharrai)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 54.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Sathia)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 56.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Gwynhawyf)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 58.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Raziel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 64.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Faerinaal)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 66.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Sealtiel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 70.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Morwel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 70.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Zaphkiel)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 70.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
Channel Celestial Paragon (Talisid)			TYPE:Arcane.Divine.Epic	CLASSES:Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Arcane/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS),Epic Spells (Divine/CHA)=10		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:you and 3-5 willing creature a 1 willing celestial paragon.		DURATION:20 rounds	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:See text. Focus: one Regalia of Good. Abstinence: must abstain from intoxicants and stimulants for one week. Sacrifice: one experience level. Spellcraft DC 76.	SOURCEPAGE:EXD									PREFEAT:1,Epic Spellcasting
