SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10				
							
Celestial	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Celestial=1|Vision of Heaven|Celestial=2|Consecrate|Celestial=3|Blessed Sight|Celestial=4|Planar Ally (Lesser)|Celestial=5|Heavenly Lightning|Celestial=6|Call Faithful Servants|Celestial=7|Heavenly Lightning Storm|Celestial=8|Holy Aura|Celestial=9|Gate	DESC:You gain the supernatural ability to smite evil once per day. Add a +4 bonus to your melee attack roll and your cleric level to your damage. You must declare the smite before making the attack and the attempt is wasted if the target is not evil.	ABILITY:Special Ability|AUTOMATIC|Smite Evil	BONUS:VAR|SmiteEvilToHit|4	BONUS:VAR|SmiteEvilDamage|ClericLVL	BONUS:VAR|SmiteEvil|1
Community	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Community=1|Bless|Community=2|Status|Community=3|Prayer|Community=4|Status (Greater)|Community=5|Rary's Telepathic Bond|Community=6|Heroes' Feast|Community=7|Refuge|Community=8|Sympathy|Community=9|Heal (Mass)	DESC:Use Calm Emotion as a spell-like ability once per day. Gain +2 competence bonus on Diplomacy checks.	DEFINE:CalmEmotionsTimes|0	DEFINE:CalmEmotionLVL|0	BONUS:VAR|CalmEmotionsTimes|1	BONUS:VAR|CalmEmotionsLVL|ClericLVL	BONUS:SKILL|Diplomacy|TYPE=Competence	SPELLS:Class|TIMES=CalmEmotionsTimes|CASTERLEVEL=CalmEmotionsLVL|Calm Emotions,12+CHA
Endurance	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Endurance=1|Endure Elements|Endurance=2|Bear's Endurance|Endurance=3|Refreshment|Endurance=4|Sustain|Endurance=5|Stoneskin|Endurance=6|Bear's Endurance (Mass)|Endurance=7|Globe of Invulnerability|Endurance=8|Spell Turning|Endurance=9|Iron Body	DESC:You can perform a feat of endurance, wich is the superantural ability to gain an enchancement bonus to CON equal to one-half your level. Activating the power is a free action, the power lasts 1 minute and it is usable once per day.				
Fey	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Fey=1|Faerie Fire|Fey=2|Charm Person|Fey=3|Inspired Aim|Fey=4|Blinding Beauty|Fey=5|Tree Stride|Fey=6|Heroes' Feast|Fey=7|Liveoak|Fey=8|Unearthly Beauty|Fey=9|Summon Nature's Ally IX	DESC:Gain +4 bonus on saving throw against the spell-like abilities of feys (such dryads, nymphs and sprites)				
Glory	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Glory=1|Disrupt Undead|Glory=2|Glorious Raiment|Glory=3|Searing Light|Glory=4|Celestial Brilliance|Glory=5|Crown of Flame|Glory=6|Bolt of Glory|Glory=7|Sunbeam|Glory=8|Crown of Glory|Glory=9|Blinding Glory	DESC:Turn undead with +2 bonus on the turning checks and +1d6 to the turning damage.	BONUS:VAR|TurnCheckUndead|2	BONUS:VAR|TurnDiceUndead|1		
Herald	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Herald=1|Comprehend Languages|Herald=2|Enthrall|Herald=3|Tongues|Herald=4|Sending|Herald=5|Command (Greater)|Herald=6|Dream|Herald=7|Aspect of the Deity|Herald=8|Crown of Glory|Herald=9|Aspect of the Deity (Greater)	DESC:Intimidate is a class skill. You gain a +4 sacred bonus on Diplomacy and Intimidate checks.	CSKILL:Intimidate	BONUS:SKILL|Diplomacy,Intimidate|4|TYPE=Sacred		
Joy	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Joy=1|Vision of Heaven|Joy=2|Elation|Joy=3|Distilled Joy|Joy=4|Good Hope|Joy=5|Chaav's Laugh|Joy=6|Heroism (Greater)|Joy=7|Starmantle|Joy=8|Sympathy|Joy=9|Otto's Irresistible Dance	DESC:You gain a +4 sacred bonus on Diplomacy checks.	BONUS:SKILL|Diplomacy|4|TYPE=Sacred			
Pleasure	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Pleasure=1|Remove Fear|Pleasure=2|Lastai's Caress|Pleasure=3|Heart's Ease|Pleasure=4|Remove Fatigue|Pleasure=5|Eagle's Splendor (Mass)|Pleasure=6|Celestial Blood|Pleasure=7|Empyreal Ecstasy|Pleasure=8|Spread of Contentment|Pleasure=9|Sublime Revelry	DESC:You are immune to any effect that damages or drain your Charisma	ABILITY:Special Ability|AUTOMATIC|Immunity To Charisma Drain|Immunity To Charisma Damage			
Wrath	SOURCEPAGE:ExD	SPELLLEVEL:DOMAIN|Wrath=1|Doom|Wrath=2|Energize Potion|Wrath=3|Affliction|Wrath=4|Radiant Shield|Wrath=5|Righteous Might|Wrath=6|Vengeance Halo|Wrath=7|Righteous Smite|Wrath=8|Last Judgement|Wrath=9|Storm of Vengeance	DESC:Once per day, you may make a free attack opportunity against any opponent that damages you with a melee attack. This ability does not allow you to make more than one attack of opportunity in a round.				
