SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																																														
# Feat Name		Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Ancestral Relic	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PRELEVEL:MIN=3			PREALIGN:LG,NG,CG										DESC:Create personal magic item.																	SOURCEPAGE:ExD				
Animal Friend	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Wild Empathy				DESC:+4 exalted bonus on wild empathy checks of animals and Good-Aligned Magical Beast.																	SOURCEPAGE:ExD	BONUS:VAR|WildEmpathyAnimalBonus|4|TYPE=Exalted			
Celestial Familiar	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Internal,Familiar (Base)				DESC:Additional familiar choices.																	SOURCEPAGE:ExD	ABILITY:Internal|AUTOMATIC|Celestial Familiar (Base)	BONUS:VAR|CelestialFamiliarLVL|FamiliarLVL		
Celestial Mount	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|AUTOMATIC|Celestial Mount ~ Celestial		DESC:Mount gains celestial creature template.																	SOURCEPAGE:ExD	BONUS:VAR|CelestialMountLVL|1			
Consecrate Spell	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES												PREALIGN:LG,NG,CG										DESC:Adds good descriptor to spell. Furthermore, if the spell deals damage, half that damage (rounded down) results from divine power and can't be reduced by resistance or immunity to energy-based attacks.																	SOURCEPAGE:ExD	ADDSPELLLEVEL:1			
Consecrate Spell-Like Ability	CATEGORY:FEAT	TYPE:General	VISIBLE:YES												PREALIGN:LG,NG,CG										DESC:Adds good descriptor to spell-like ability. Furthermore, if the ability deals damage, half that damage (rounded down) results from divine power and can't be reduced by resistance or immunity to energy-based attacks.	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate														SOURCEPAGE:ExD				
Consecrate Spell Trigger	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Craft Wand,Craft Staff								PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,TYPE=TurnUndead				DESC:Use turning ability to add good descriptor to trigger triggered spell.																	SOURCEPAGE:ExD				
Exalted Companion	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Internal,Animal Companion (Base)				DESC:Additional animal companion choices.																	SOURCEPAGE:ExD	ABILITY:Internal|AUTOMATIC|Exalted Companion (Base)	BONUS:VAR|ExaltedCompanionLVL|AnimalCompanionLVL		
Exalted Smite	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,TYPE=SmiteEvil				DESC:Weapon good-aligned when smiting evil.																	SOURCEPAGE:ExD				
Exalted Spell Resistance	CATEGORY:FEAT	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15						PRESRGTEQ:1			DESC:+4 to spell resistance against evil spells and spell-like abilities of evil outsiders.																	SOURCEPAGE:ExD				
