SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																													
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Race Type Traits																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Deathless Traits|PRERACE:1,RACETYPE=Deathless																															
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Deathless|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Deathless]																															
Augmented Deathless	CATEGORY:Internal	TYPE:AugmentedSubType.AugmentedSubTypeDeathless		TEMPLATE:RaceSubtype ~ Augmented Deathless																												
Deathless Traits	CATEGORY:Special Ability	TYPE:TraitAbility		ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Critical Hits|Immunity To Non-lethal Damage|Immunity To Ability Drain|Immunity To Strength Damage|Immunity To Dexterity Damage|Immunity To Constitution Damage|Immunity To Fatigue|Immunity To Fatigue|Immunity To Exhaustion|Immunity To Death from Massive Damage		TEMPLATE:Deathless								BONUS:SKILL|Concentration|CHA-CON																		
Deathless Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Deathless do not eat/sleep/breathe. Deathless are Immune to mind affecting/ poison/ sleep/ paralysis/ stunning/ disease/death effects. Not subject to critical hits/ nonlethal damage/ ability drain. Immune to damage to STR/DEX/CON as well as to fatigue and exhaustion effects. Like living creature, deathless are harmed by negative energy and healed by positive energy. Immune to any effect that requires a Fortitude save (unless it works on objects or is harmless). Not at risk from death from massive damage (but destroyed when reduced to 0 hp). Not affected by Raise Dead and Reincarnate spells/abilities (but Resurrection and True Resurrection return the deathless into their former living self).	KEY:Traits Output ~ Deathless	DESC:Mindless - Immune to all mind-affecting effects (charms/ compulsions/ phantasms/ patterns/ and morale effects), Cannot heal damage on own if has no Intelligence score (but can be healed and Fast Healing works)|PRETEMPLATE:1,Mindless																										SOURCEPAGE:ExD
																																
###Block: Race Subtype Traits																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Archon Traits|PRERACE:1,RACESUBTYPE=Archon																															
Archon Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Archon ~ Aura of Menace|Archon ~ Magic Circle against Evil|Archon ~ Teleport|Archon ~ Tongues|Immunity to Electricity|Immunity To Petrification|Resistance To Poison	ABILITY:Special Ability|AUTOMATIC|Archon ~ Languages|PREVAREQ:ArchonStandardLanguages,0	DEFINE:ArchonStandardLanguages|0	BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial																								SOURCEPAGE:ExD
