SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																														
																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Subraces																																	
#Subrace																																	
Mirefolk	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice	KEY:Merfolk ~ Mirefolk	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Mirefolk],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Mirefolk Merfolk		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits			BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkSkills	SOURCEPAGE:Ssh																			
Shelf	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice	KEY:Merfolk ~ Shelf	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Shelf],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Shelf Merfolk		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits			BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkSkills	SOURCEPAGE:Ssh																			
Deep	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice	KEY:Merfolk ~ Deep	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Deep],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Deep Merfolk		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits			BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkSkills	SOURCEPAGE:Ssh																			
#																																	
Coral	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice	KEY:Elf ~ Coral	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Coral],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Coral Elf		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				ABILITY:Special Ability|AUTOMATIC|Aquatic Elf Traits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Gills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CoralGills	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Superior Low-light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CoralSuperiorLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CoralRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CoralSkillBonus	SOURCEPAGE:Ssh																
Kelp	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice	KEY:Elf ~ Kelp	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Kelp],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Kelp Elf		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				ABILITY:Special Ability|AUTOMATIC|Aquatic Elf Traits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Gills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KelpGills	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Supreme Low-light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KelpSuperiorLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KelpRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KelpSkillBonus	SOURCEPAGE:Ssh																
Deep Drow	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice	KEY:Elf ~ Deep Drow	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Deep Drow],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	TEMPLATE:Deep Drow Elf		BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				ABILITY:Special Ability|AUTOMATIC|Aquatic Elf Traits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Gills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowGills	ABILITY:Elf Race Trait|AUTOMATIC|Drow ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowDarkvision	ABILITY:Elf Race Trait|AUTOMATIC|Drow ~ Light Blindness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowLightBlindness	ABILITY:Elf Race Trait|AUTOMATIC|Drow ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowSpellLikeAbilities	ABILITY:Elf Race Trait|AUTOMATIC|Drow ~ Spell Resistance|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowSpellResistance	ABILITY:Elf Race Trait|AUTOMATIC|Deep Drow ~ Pressure Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowPressureSensitivity	ABILITY:Elf Race Trait|AUTOMATIC|Deep Drow ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepDrowRacialImmunity														
																																	
###Block:Sub Races																																	
Supreme Low-Light Vision	CATEGORY:Special Ability	TYPE:RaceTrait.ElfRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aquatic elves can see five times as far as a human in starlight, moonlight, torchlight, and similar conditions of low illumination. This trait replaces the high elf's low-light vision.	KEY:Aquatic Elf ~ Supreme Low-Light Vision									BONUS:VAR|LowLightDistance|3|TYPE=Racial																		SOURCEPAGE:Ssh	
Resistance	CATEGORY:Special Ability	TYPE:RaceTrait.ElfRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Will saves against spells and spell-like abilities.|DeepDrowResistanceBonus	KEY:Deep Drow ~ Resistances		DEFINE:DeepDrowResistanceBonus|0	BONUS:VAR|DeepDrowResistanceBonus|2																								SOURCEPAGE:Ssh	
Pressure Sensitivity	CATEGORY:Special Ability	TYPE:RaceTrait.ElfRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Deep Drow are higly adapted to life in the deepest parts of the ocean. If they ascend 200 feet of the surface they must make a Fort save DC 15 every 15 minutes or take 1d6 points of pressure damage.	KEY:Deep Drow ~ Pressure Sensitivity																											SOURCEPAGE:Ssh	
Racial Immunity	CATEGORY:Special Ability	TYPE:RaceTrait.ElfRaceTrait.SpecialQuality.Immunity.SaveBonus	VISIBLE:YES	DESC:+2 racial bonus on Will saving throws against spells or spell-like abilities.	KEY:Deep Drow ~ Racial Immunity																											SOURCEPAGE:Ssh	ASPECT:SaveBonus|+2 racial bonus on Will saving throws against spells or spell-like abilities
																																	
###Block:Races																																	
Race Traits ~ Half-Merrow	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=HalfMerrowRaceTrait	AUTO:LANG|Aquan																													
Imposing Demeanor	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow may use STR, rather than CHA, as the ability modifier for intimidate, and intimidate is always considered a class skill for them.	KEY:Half-Merrow ~ Imposing Demeanor									BONUS:SKILL|Intimidate|max(STR,CHA)-CHA																		SOURCEPAGE:Ssh	
