SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Class Abilities																																
Reef Bonding	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, the character has allowed mant of the organisms that compose his home reed to meld and enter into a symbiotic relationship with him. The character gains +2 competence bonus on Search, Spot, Wilderness Lore, Move Silently and Hide checks when within 500 feet of the reef.&nl;If a reef warrior travels more than 10 miles from his native reef, he takes 1d3 points of temporary Con damage per day until he returns. His bond to the reef is so great that it cannot leave it.	KEY:Reef Warrior ~ Reef Bonding									BONUS:SKILL|Search,Spot,Survival,Move Silently,Hide|2|TYPE=Competence																	SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Coral Skin	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A light growth of stony coral covers the chatacter's skin, giving a +1 natural bonus to Armor Class. This increase to +2 at 4th level, +3 at 6th level, +4 at 8th level and +5 at 10th level.	KEY:Reef Warrior ~ Coral Skin				DEFINE:CoralSkinAC|0					BONUS:COMBAT|AC|CoralSkinAC|TYPE=NaturalArmor	BONUS:VAR|CoralSkinAC|ReefWarriorLVL/2																SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Sustenance	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, as long as the character is in water where there is ample life (near the shore and the surface), he can obtain nutrition from the countless tiny organism that fill the water and feed the coral. He no longer needs to eat, his symbiotes sustain him.	KEY:Reef Warrior ~ Sustenance																										SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Alien Presence	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As the coral symbiotes contuinue to grow in a reed warrior's body, he becomes more distant and strange. His senses becomes attuned to odd things; his mind vecomes slowly less is own and more the mind of a collective. At 4th level, this results in a -1 penalty to CHA, and this penalty increase to -2 at 6th level, -3 at 8th level and -4 at 10th.	KEY:Reef Warrior ~ Alien Presence				DEFINE:AlienPresencePenalty|0					BONUS:STAT|CHA|AlienPresencePenalty*(-1)	BONUS:VAR|AlienPresencePenalty|(ReefWarriorLVL-2)/2																SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Meld	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:If the reef warrior takes a full-round action, he can literally meld into the reef, becoming effectively invisible and appearing as just an odd-shaped outcropping. A Spot checks (DC 25) is needed to notice him. Combined with Sustenance, this means a reef warrior can guard a room, or corridor indefinitely, simply appearing out of the wall when invaders appreach. The reef warrior can do this a number of times per day equal to his Con bonus (%1/day)|MeldTimes	KEY:Reef Warrior ~ Meld				DEFINE:MeldTimes|0					BONUS:VAR|MeldTimes|CON																	SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Reef Attunement	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:With a successfull Scry (DC 15) check, the reef warrior can 'tune in' any part of the reef, perceiving events as if he were standing at the point to which he is attuned. The attunement lasts for a number of minutes equal to the reed warrior's class levels (%1 minutes), and can be done a number of times per day equal to the reef warrior's wisdom bonus (%2/day).|ReefAttunementDuration|ReefAttunementTimes	KEY:Reef Warrior ~ Reef Attunement				DEFINE:ReefAttunementDuration|0	DEFINE:ReefAttunementTimes|0				BONUS:VAR|ReefAttunementDuration|ReefWarriorLVL	BONUS:VAR|ReefAttunementTimes|WIS																SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level and every three levels thereafter the reef warrior may choose a bonus feat from the fighter's list of bonus feats.	KEY:Reef Warrior ~ Bonus Feats									BONUS:ABILITYPOOL|Reef Warrior Bonus Feat|ReefWarriorLVL/3																	SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Spikes	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The reef warrior may cause sharp coral spikes to grow out of his flesh. Any armor he wears must be specially designed to accommodate this, increasing the base cose of the armor by 50%%. if the reef warrior makes a successfull grapple attack, the spikes deal 2d6 points of piercing famage. The reef warrior can also form the equivalent of a halfspear at will, so he is always armed.	KEY:Reef Warrior ~ Spikes																										SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
Reefwalking	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 10th level, the reef warrior can teleport from one part of the reed to another. This is a standard action and hethe reef warrior can use this ability a number of times per day equal to his wisdom modifier (%1/day).|ReefwalkingTimes	KEY:Reef Warrior ~ Reefwalking				DEFINE:ReefwalkingTimes|0					BONUS:VAR|ReefwalkingTimes|WIS																	SORTKEY:Class_Reef Warrior	SOURCEPAGE:Ssh
