SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																												
# Feat Name		Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
#	CATEGORY:FEAT	TYPE:General	VISIBLE:YES								PREHANDSGTEQ:3					PRESTAT:1,DEX=15									DESC:The creature ignores all penalties for using an off hand.									BONUS:COMBAT|TOHIT-PRIMARY,TOHIT-SECONDARY|4|PREEQUIPSECONDARY:1,TYPE=Natural								SOURCEPAGE:MM2		
Amphibious Endurance	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Aquatic				DESC:You have steeled your body to the rigors of life on land and learned how to breathe air for longer periods than is normal for your race.																	SOURCEPAGE:Ssh		
Aquatic Armor Proficiency	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You are proficient with all types of aquatic armor.																	SOURCEPAGE:Ssh	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfAquaticLight|PREABILITY:1,CATEGORY=Internal,TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfAquaticMedium|PREABILITY:1,CATEGORY=Internal,TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfAquaticHeavy|PREABILITY:1,CATEGORY=Internal,TYPE=ArmorProfHeavy
Barroom Brawler	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=13									DESC:You can dish it out and take it in a tavern fight.																	SOURCEPAGE:Ssh		UDAM:1,1,1d2,1d3,1d4,1d6,1d8,1d10,1d12
Cast-Iron Stomach	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CON=13									DESC:You can consume the most unpleasant fare without so much as a second thought.																	SOURCEPAGE:Ssh		
Child of the Sea	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PREPCLEVEL:MAX=1													DESC:The blood of an intelligent aquatic creature flows through your veins.																	SOURCEPAGE:Ssh		
Create Manikin	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=12																			DESC:You can create a manikin-a small representation of a living person-through which you can direct spells that affect the person the manikin represents.																	SOURCEPAGE:Ssh		
Endurance Swimmer	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance									PRESTAT:1,STR=13								DEFINE:EnduranceSwimmerBonus|0	DESC:You are very adept at swimming while carrying a heavier-than-normal load.													BONUS:SKILL|Swim|EnduranceSwimmerBonus	BONUS:VAR|EnduranceSwimmerBonus|(WEIGHT.CARRIED/20)*3			SOURCEPAGE:Ssh		
Fool's Luck	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You have an innate ability to turn bad situations to your advantage.																	SOURCEPAGE:Ssh		
Great Lungs	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance									PRESTAT:1,CON=13									DESC:You can hold your breath longer than the average person.																	SOURCEPAGE:Ssh		
Improved Positional Advantage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PREATT:4								PRESKILL:1,Swim=1											DEFINE:ImprovedPositionalAdvantageTimes|0	DESC:You are highly skilled at combat maneuvering underwater. (%1/day)|ImprovedPositionalAdvantageTimes	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ImprovedPositionalAdvantageTimes|1			SOURCEPAGE:Ssh		
Lookout	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You are capable of spotting creatures, vessels and other objects from a great distance, provided you have an elevated position from which to survey your surroundings.																	SOURCEPAGE:Ssh		
Naval Heritage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES									PREPCLEVEL:MAX=1													DESC:You come from a family with a proud tradition of service aboard seagoing vessels.																	SOURCEPAGE:Ssh		
Notorious	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You are well known as a dangerous cutthroat not to be trifled with.																	SOURCEPAGE:Ssh		
Parry	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PREATT:3		PREABILITY:1,CATEGORY=FEAT,Combat Expertise									PRESTAT:1,DEX=13									DESC:You can deflect a melee attack against you with your own weapon.																	SOURCEPAGE:Ssh		
Parrying Weapon	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting																		DESC:You can use an off-hand weapon as if it were a shield.																	SOURCEPAGE:Ssh		
Polar Bear Skin	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:Your skin is better able to withstand the affects of extremely cold water than the average person's.																	SOURCEPAGE:Ssh		
Port Savvy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You know all the ins and outs of life in the seedy ports of call that sailors use as stopover points in their journeys.																	SOURCEPAGE:Ssh		
Pressure Survival	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Swim=1												DESC:You are extremely tolerant to the pressures of the deep.																	SOURCEPAGE:Ssh		
Riposte	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PREATT:6		PREABILITY:1,CATEGORY=FEAT,Parry																		DESC:You may attempt to turn a successful parry into an additional attack against your opponent.																	SOURCEPAGE:Ssh		
Rope Climber	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:You are as comfortable climbing ropes and rigging as you are walking on the ground.																	SOURCEPAGE:Ssh		
Sea Brother	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:An intelligent aquatic race considers you a friend and is well disposed toward requests you make of them.	STACK:NO	MULT:YES	CHOOSE:RACE|RACESUBTYPE=Aquatic														SOURCEPAGE:Ssh		
Sea Dog	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You have a knack for endeavors relating to sea travel.													BONUS:SKILL|Profession (Sailor),Profession (Navigator),Use Rope|2				SOURCEPAGE:Ssh		
