SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Acid Fog (Aquatic)	OUTPUTNAME:Acid Fog, Aquatic		TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6	DOMAINS:Undersea=7	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads 30 ft., 20 ft. high		DURATION:(CASTERLEVEL) rounds	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions identically to acid fog, except that it works under water	SOURCEPAGE:Ssh								
Air Breathing			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=3	DOMAINS:Undersea=3	SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:(CASTERLEVEL*2) hours	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The transmuted creature can breath air freely	SOURCEPAGE:Ssh								
Aquatic Form			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=5	DOMAINS:Undersea=4	SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One living creature		DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:The creature gains the Aquatic template	SOURCEPAGE:Ssh								
Buoyancy			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=1	DOMAINS:Undersea=1	SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:(CASTERLEVEL) creatures		DURATION:((CASTERLEVEL+6)*10) minutes	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Creatures gain control over their buoyancy	SOURCEPAGE:Ssh								
Clearwater			TYPE:Divine	CLASSES:Cleric=0|Druid=0|Ranger=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:The character		DURATION:(CASTERLEVEL) hours	SAVEINFO:None	SPELLRES:None	DESC:The character can see through cloudy water	SOURCEPAGE:Ssh								
Compass			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1|Ranger=2		SCHOOL:Divination			COMPS:V, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:The character		DURATION:(CASTERLEVEL*10) minutes			DESC:The caster can locate any direction he wishes	SOURCEPAGE:Ssh								
Compass Curse			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target becomes complately disoriented	SOURCEPAGE:Ssh								
Water Breathing (Improved)	OUTPUTNAME:Water Breathing, Improved		TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched		DURATION:(CASTERLEVEL*3) hours	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The creature can freely breath water and suffers no ill effects from pressure	SOURCEPAGE:Ssh								
Ink Cloud			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=3	DOMAINS:Undersea=2	SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30' radius 20' high		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:None	SPELLRES:None	DESC:A billowing cloud of dark ink obscures all sight	SOURCEPAGE:Ssh								
Iron Fists			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature		DURATION:(CASTERLEVEL) rounds			DESC:Creature deals normal damage instead of subdual with his unarmed attacks	SOURCEPAGE:Ssh								
