SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																				
#																							
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property															
#Materials																							
Pandemonic Silver		KEY:PANDEMONIC_SILVER_WEAP		TYPE:BaseMaterial.Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:Metal.PandemonicSilver		SOURCEPAGE:CW	PRETYPE:2,Weapon,Metal	PRETYPE:1,Slashing,Piercing				BONUS:ITEMCOST|TYPE.Weapon|9000|PREWIELD:1,Light	BONUS:ITEMCOST|TYPE.Weapon|11000|PREWIELD:1,OneHanded	BONUS:ITEMCOST|TYPE.Weapon|13000|PREWIELD:1,TwoHanded		BONUS:WEAPON|DAMAGE|-1|TYPE=Enhancement.STACK	SPROP:10hp/inch and 8 hardness. scream with sonic, mind-affecting compulsion that is a fear effect.		ASSIGNTOALL:NO	
Susalian Chainweave		KEY:CHAINWEAVE_ARMR		TYPE:BaseMaterial.Armor	COST:0	VISIBLE:QUALIFY	ITYPE:Metal.Chainweave		SOURCEPAGE:CW	PRETYPE:2,Armor,Metal					BONUS:ITEMCOST|TYPE.Light|28000	BONUS:ITEMCOST|TYPE.Medium|35000	BONUS:ITEMCOST|TYPE.Heavy|42000			SPROP:dr 3/Piercing.		ASSIGNTOALL:NO	DR:3/Piercing
Thinaun		KEY:THINAUN_WEAP		TYPE:BaseMaterial.Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:Metal.Thinaun		SOURCEPAGE:CW	PRETYPE:2,Weapon,Metal					BONUS:ITEMCOST|TYPE.Weapon|10000|PREWIELD:1,Light	BONUS:ITEMCOST|TYPE.Weapon|15000|PREWIELD:1,OneHanded	BONUS:ITEMCOST|TYPE.Weapon|20000|PREWIELD:1,TwoHanded			SPROP:If a thinaun melee weapon is touching a creature when it dies, that creature's soul is sucked into the weapon rather than passing on to its final reward.		ASSIGNTOALL:NO	
																							
#Special Ability																							
###Block: Armors and Shields																							
Anti-Impact	KEY:ANTI_IMPACT	TYPE:Armor	COST:2000	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:bludgeoning damage that affects all or most of the entire body (such as constriction and falling damage) is halved.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES							
Axeblock	KEY:AXEBLOCK	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:damage reduction 5/bludgeoning or piercing.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	DR:5/Bludgeoning or Piercing						
Hammerblock	KEY:HAMMERBLOCK	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:damage reduction 5/piercing or slashing.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	DR:5/Piercing or Slashing						
Spearblock	KEY:SPEARBLOCK	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:damage reduction 5/bludgeoning or slashing.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES	DR:5/Bludgeoning or Slashing						
																							
###Block: Weapons																							
Blood Seeking	KEY:BLOOD_SEEK_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:flies around cover if necessary to strike a living creature, negating any bonus to Armor Class the target might have due to intervening cover.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO							
Blood Seeking	KEY:BLOOD_SEEK_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:flies around cover if necessary to strike a living creature, negating any bonus to Armor Class the target might have due to intervening cover.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO							
Blood Seeking	KEY:BLOOD_SEEK_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:flies around cover if necessary to strike a living creature, negating any bonus to Armor Class the target might have due to intervening cover.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO							
Deflecting	KEY:DEFLECT_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Once per round when you would normally be hit by a ranged weapon, you may make a DC 20 Reflex saving throw (if the ranged weapon has a magical enhancement bonus, the DC increases by that amount). If you succeed, the ranged weapon or projectile defl ects away harmlessly.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO							
Disarming	KEY:DISARM_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:the disarming ability eliminates the opponent's bonuses for both weapon size and two-handed weapons.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO							
Disarming	KEY:DISARM_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:the disarming ability makes possible a disarm attack; you can shoot a weapon out of someone's hand.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO							
Exit Wound	KEY:EXIT_WOUND_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:deals an extra 1d6 points of damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO							
Exit Wound	KEY:EXIT_WOUND_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:deals an extra 1d6 points of damage bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO							
Explosive	KEY:EXPLODE_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Each successful hit with an explosive weapon deals 2d4 points of damage to all targets in a 5-foot burst (Reflex DC 15 half), including the original target.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO							
Explosive	KEY:EXPLODE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Each successful hit with an explosive weapon deals 2d4 points of damage to all targets in a 5-foot burst (Reflex DC 15 half), including the original target.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO							
Explosive	KEY:EXPLODE_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Each successful hit with an explosive weapon deals 2d4 points of damage to all targets in a 5-foot burst (Reflex DC 15 half), bestowed on ammunition, including the original target.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO							
Knockback	KEY:KNOCKBACK_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Whenever hits its target, it initiates a bull rush attack in addition to dealing normal damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO							
Knockback	KEY:KNOCKBACK_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:Ammunition that hits its target, initiates a bull rush attack in addition to dealing normal damage.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO							
Last Resort	KEY:LAST_RESORT_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:CW	SPROP:the weapon deals an extra 1d6 points of damage in a grapple for every size category the target is bigger than the wielder.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO							
