SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																							
#																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Augment Familiar				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Your familiar.	DURATION:Concentration + 1 round/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell grants your familiar a +4 enhancement bonus to Strength, Dexterity and Constitution, damage reduction 5/magic, and a +2 resistance bonus on saving throws.	SOURCEPAGE:CW							TEMPBONUS:ANYPC|STAT|STR,DEX,CON|4|TYPE=Enhancement	TEMPBONUS:ANYPC|SAVE|ALL|2|TYPE=Resistance	TEMPBONUS:ANYPC|DR|Magic|5
Cloak of Bravery				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=3|Paladin=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:60-ft-radius emanation centered on you.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All allies within the emanation (including you) gain a morale bonus on saves against fear effects equal to your caster level (to a maximum of +10 at 10th level).	SOURCEPAGE:CW									
Cloak of Bravery (Greater)				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Mind-Affecting		COMPS:V, S	CASTTIME:1 standard action	RANGE:1 mile	TARGETAREA:1-mile-radius emanation centered on you.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Cloak of Bravery, except all allies within the emanation (including you) are immune to fear effects and gain a +2morale bonus on attack rolls.	SOURCEPAGE:CW									
Cursed Blade				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Assassin=4	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One melee weapon.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:A weapon affected by this spell deals wounds that can't be healed in the usual fashion.	SOURCEPAGE:CW									
Hound of Doom				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow			COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Shadowy hound.	DURATION:1 minute/level or until destroyed.	SAVEINFO:None	SPELLRES:No	DESC:You shape the essence of the Plane of Shadow to create a powerful doglike companion that serves you loyally for the duration of the spell.	SOURCEPAGE:CW									
Lion's Roar				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:120 ft.	TARGETAREA:120-ft-radius burst centered on you.	DURATION:Instantaneous or 1 minute/level	SAVEINFO:Fortitude partial or Will negates (harmless); See text	SPELLRES:Yes	DESC:You emit a titanic roar that deals 1d8 points of sonic damage per two caster levels to all enemies within the spell's area and stun them for 1 round.	SOURCEPAGE:CW									
Phantom Threat				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You create a sensation in the subject's mind that he is threatened by more foes than he actually faces.	SOURCEPAGE:CW									
Valiant Fury				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The affected creature gains a +4 morale bonus to Strength and a +2 morale bonus on Will saves.	SOURCEPAGE:CW							TEMPBONUS:ANYPC|STAT|STR,CON|4|TYPE=Morale	TEMPBONUS:ANYPC|SAVE|Will|2|TYPE=Morale	
#																										
Alarm.MOD	CLASSES:Hexblade=1																									
