SOURCELONG:Gozzilioni Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																														
																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special Ability					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Template Abilities																																	
Race Traits ~ Greater Mummy	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GreaterMummyRaceTrait|Turn Resistance|Immunity To Cold|Immunity To Polymorph|Immunity To Mind-Affecting|Vulnerability To Fire						DEFINE:ClericLVL|0					BONUS:ABILITYPOOL|Greater Mummy Special Attack|1	BONUS:ABILITYPOOL|Greater Mummy Special Quality|1	BONUS:VAR|TurnResistBonus|4	SR:10+ClericLVL																
Control Undead	CATEGORY:Special Ability	TYPE:GreaterMummySpecialAttack	VISIBLE:DISPLAY		KEY:Greater Mummy ~ Control Undead			PRECLASS:1,Cleric=1						BONUS:VAR|RebukeLevelUndead|4									ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Undead									SOURCEPAGE:DaD	
Improved Grab	CATEGORY:Special Ability	TYPE:GreaterMummySpecialAttack.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a Greater Mummy must hit with a slam attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and deals automatically damage from both claws and the sting.	KEY:Greater Mummy ~ Improved Grab																											SOURCEPAGE:DaD	
Resist to Blows	CATEGORY:Special Ability	TYPE:GreaterMummyRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Greater Mummy ~ Resist to Blows																		DR:10/-									SOURCEPAGE:DaD	
Alter form	CATEGORY:Special Ability	TYPE:GreaterMummySpecialQuality.SpecialQuality.SpellLike	VISIBLE:YES	DESC:3/day Polymorph Self (8th casterlevel)	KEY:Greater Mummy ~ Alter Form																		SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Polymorph (Self Only)									SOURCEPAGE:DaD	
Passage	CATEGORY:Special Ability	TYPE:GreaterMummySpecialQuality.SpecialQuality.SpellLike	VISIBLE:YES	DESC:3/day Phase Door (casterlevel equal to former cleric level)	KEY:Greater Mummy ~ Passage																		SPELLS:Innate|TIMES=3|CASTERLEVEL=ClericLVL|Phase Door									SOURCEPAGE:DaD	
Symbiosis	CATEGORY:Special Ability	TYPE:GreaterMummySpecialQuality.SpecialQuality.SpellLike	VISIBLE:YES	DESC:The body of a greater mummy is home to another monster.	KEY:Greater Mummy ~ Symbiosis																											SOURCEPAGE:DaD	
Skills	CATEGORY:Special Ability	TYPE:GreaterMummySpecialQuality.SpecialQuality	VISIBLE:YES		KEY:Greater Mummy ~ Skills									BONUS:SKILL|Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial																		SOURCEPAGE:DaD	
Empathic Link	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	BENEFIT:The master has an empathic link with her companion out to a distance of up to 1 mile. The master cannot see through the companion's eyes, but they can communicate empathically. Because of the limited nature of the link, only general emotional content can be communicated. Because of this empathic link, the master has the same connection to an item or place that his companion does.	KEY:Energon Companion ~ Empathic Link																											SOURCEPAGE:DaD	
#																																	
###Block: Familiar and Companion																																	
Energon Companion (Base)	CATEGORY:Internal							DEFINE:EnergonCompanionLVL|0	DEFINE:StandardEnergonCompanionAllowed|0								ABILITY:Energon Companion Selection|AUTOMATIC|Standard Selection ~ Energon Companion|!PREABILITY:1,CATEGORY=Internal,TYPE.EnergonCompanionAlternate	FOLLOWERS:Energon Companion|1							SOURCEPAGE:DaD								
Energon Companion (Default)	CATEGORY:Internal	TYPE:EnergonCompanionBase.EnergonCompanionSelection		KEY:Standard Selection ~ Energon Companion	!PREABILITY:1,CATEGORY=Internal,TYPE.EnergonCompanionAlternate	PREVAREQ:StandardEnergonCompanionAllowed,0						COMPANIONLIST:Energon Companion|Companion ~ Xag-Ya	BENEFIT:If an energon companion is killed, or the soldier of light chooses to dismiss it, the soldier of light must attempt a Fortitude saving throw (DC 15). If the saving throw fails, the soldier of light loses 200 experience points per soldier level. A successful saving throw reduces the loss by half, to 100 XP per class level. The soldier's level can never go below 0 as the result of an energon's dismissal or death. A killed or dismissed energon companion cannot be replaced for a year and a day.		SOURCEPAGE:DaD																		
#																																	
###Block: Guilds and Sects 																																	
Purifying Flame	CATEGORY:Guild Category	TYPE:SpecialQuality.Sect	VISIBLE:YES																														SOURCEPAGE:DaD
Soldiers of Light	CATEGORY:Guild Category	TYPE:SpecialQuality.MilitaryOrder	VISIBLE:YES																														SOURCEPAGE:DaD
