SOURCELONG:Gozzilioni Rule of Cool Forum	SOURCESHORT:ROC	SOURCEWEB:http://www.ruleofcool.com/smf/index.php	SOURCEDATE:2013-01																																											
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Incurable Insanity	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Allip				DESC:As a swift action once every 1d4 rounds you can intensify your babbling with pure distilled vitriolic and hate. For 1 round, enemies no longer take a bonus against your Babble ability for being in combat with you. In addition for each creature failing its save against Babble, roll a 1d6 1=> Affected as by a Rage spell for 1 round;2-4=> Confused for 1 round;5-6=> Cowering for 1 round. The above effect also applies to any creatures suffering ability drain from you, but they're allowed a Will save with DC 10+1/2 HD+Cha mod (%1) to resist it. If they were marked, make a single save for both this effect and the double wisdom drain. If the Allip has 10 HD or more, this can affect even creatures normally immune to it, but they gain a +5 bonus on their saves.|DefaultDCCha																	SOURCEPAGE:ROC				
Child of the Heavens	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Deepspawn Mother=1							PRESKILL:1,Knowledge (The Planes)=8								PRERACE:1,Deepspawn				DESC:You can now Gene Devour outsiders and extraplanar creatures.																	SOURCEPAGE:ROC				
Child of the Grave	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Deepspawn Mother=1							PRESKILL:1,Knowledge (Religion)=8								PRERACE:1,Deepspawn				DESC:You can now Gene Devour undeads creatures.																	SOURCEPAGE:ROC				
Child of the Artifice	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Deepspawn Mother=1							PRESKILL:1,Knowledge (Arcana)=8								PRERACE:1,Deepspawn				DESC:You can now Gene Devour constructs creatures.																	SOURCEPAGE:ROC				
Child of the Land	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES			PRECLASS:1,Deepspawn Mother=1							PRESKILL:1,Knowledge (Geography)=8								PRERACE:1,Deepspawn				DESC:You can now Gene Devour elementals creatures.																	SOURCEPAGE:ROC				
Hoard	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																						DESC:Benefit: As an 8 hour process, you may declare an empty space consisting of one 30x30 feet cube per HD, all of which must be connected with at least another one, as your Hoard Vault. You can count any non-expendable non-weapon non-shield magic items you leave in your Hoard Vault as if you had equiped them wherever you go, altough this doesn't allow you to go over the usual number of body slots. So if you leave two suits of magic armor, you can only count yourself as wearing one of them. Changing "equiped" Hoard Vault items takes as many time as physically swaping them would, except you spend the time focusing in your connection with your treasure. In addition, you can have piles of money, jewelery and other similar non-magic shiny riches provide you extra benefits, depending on their worth. Each pile of non-magic treasure can only be invested in one kind of bonus at a time. Changing those demands spending 8 hour in your hoard carefully attuning to it (or simply rolling and sleeping over it).&nl;Enhanched Body - The dust of jewels and precious metals sharpens your claws and toughens your scales. You gain an enhancement bonus to your natural weaopons and natural armor. They always count as magic whenever it would be benefical for you and the enhancement bonus to your natural armor counts towards your touch AC as well. 7,000 gp (+1), 29,000 gp (+2), 63,000 gp (+3), 112,000 gp (+4), 175,000 gp.&nl;Status Symbol - Only a mighty monster can hold a mighty hoard, so your riches clearly reflect your natural prowess. You gain an enhancement bonus bonus to two ability scores of your choice. 6,000 gp (+2), 24,000 gp (+4), 54,000 gp (+6). The bonus granted by your Hoard cannot be dispelled, disarmed, sundered or similar, but removing the actual items from your hoard will, and AMF and similar effects also stop you from receiving your hoard's benefits. Your character doesn't automatically realize something is amiss, until they're forced into a combat situation You must rest at least 8 hours per week on the top of your Hoard to gain the above benefits. Special: A true dragon can gain hoard as a bonus feat simply by devouring 2000 GP worth of treasure.																	SOURCEPAGE:ROC				
Body of Believe	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES													PRESTAT:1,CHA=13					PRERACE:1,RACESUBTYPE=Angel				DESC:You can use your Cha mod instead of your Con mod to calculate your HP at each level, retroactively, and you may also use your Cha bonus for Concentration checks instead of your Con bonus.											BONUS:HP|CURRENTMAX|TL*(CHA-CON)		BONUS:SKILL|Concentration|max(CON,CHA)-CON				SOURCEPAGE:ROC				
Battle Angel	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES													PRESTAT:1,CHA=13					PRERACE:1,RACESUBTYPE=Angel				DESC:A number of times per day equal to your Cha mod, you may cast a single-target spell or SLAs in an adjacent ally as a swift action, and you may cast one of your single-target or personal spell or SLA in yourself as a swift action. Notice each of those options has a separate pool of daily uses. So for example if you have 14 Cha, you may use each 2 times per day.																	SOURCEPAGE:ROC				
Holy Animal Shape	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Angel				DESC:When using your Change Shape ability, you may turn into a medium or small animal instead of an humanoid. If you do so, your new shape always looks like a specially healthy and noble specimen. You can even make your body color golden, silver, platinium or a combination of those. You'll always clearly stand out near most common specimens, altough you'll still pass as an animal.																	SOURCEPAGE:ROC				
Improved Holy Animal Shape	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES	KEY:Holy Animal Shape ~ Improved			PREABILITY:1,CATEGORY=FEAT,Holy Animal Shape														PRERACE:1,RACESUBTYPE=Angel				DESC:You become able to turn into tiny or large animals as well.																	SOURCEPAGE:ROC				
Living Relic	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Angel				DESC:When using your Change Shape ability, you may turn into an inanimate object or inanimate plant of your own size or smaller (up to diminutive) instead of an humanoid. If you do so, you become unable to use any actions that demand movement or speech (so no somatic/verbal component spellcasting, but SLAs are ok),  and you gain the hardness of the object you turned into (cannot turn in special materials like adamantine, only common stuff like stone, iron, wood, etc).&nl;You can can use this to turn into a masterwork weapon, armor or shield you're proficient with, in which case it gains an enanchment bonus to attack and damage rolls equal to 1/4 your HD. You cannot be further enchanted. You can communicate telepathically with anyone wielding you, and such a bearer also becomes able to cast spells as if they had your spellcasting ability (doesn't stack with any spellcasting the bearer may already have).&nl;You cannot replicate objects with complex mechanisms unless you have the apropriate skills (DM's decision).																	SOURCEPAGE:ROC				
Wild Path	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,Centaur,Bariaur			DEFINE:WildPath|0	DESC:The centaur is an incarnation of the wilderness, living off the land and facing the harshness of life head on.														BONUS:VAR|WildPath|1			SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Wild Path|1			
Wild Warrior	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Wild Path														PRERACE:1,Centaur,Bariaur				DESC:The chosen path of the centaur improve.																	SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Wild Path Level|1			
Wild Soul	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Wild Path,Wild Soul														PRERACE:1,Centaur,Bariaur				DESC:The chosen path of the centaur improve again.																	SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Wild Path Level|1			
Expanding Path	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Wild Path														PRERACE:1,Centaur,Bariaur				DESC:You are particularly gifted and have an option to open another Wild Path.																	SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Wild Path|1			
Skimpy Armor	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Drow				DESC:You gain +2 to all Cha-based checks and skills while wearing no armor. If you wear a Padded armor, you gain +3 bonus to all Cha-based checks and skills instead (since you're basically wearing some straps that offer no protection at all, but greatly acentuate your body).													BONUS:SKILL|TYPE=Charisma|2|!PREEQUIP:1,TYPE=Armor				SOURCEPAGE:ROC	BONUS:SKILL|TYPE=Charisma|3|PREEQUIP:1,Padded Armor			
Defensive Scraps	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Drow				DESC:You can wear scraps that can be enchanted as magic armor without counting as armored. The scraps must be made from exotic materials or monster hides worth at least 300 GP.																	SOURCEPAGE:ROC				
Spider Lover	CATEGORY:FEAT	TYPE:Monster	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Drow				DESC:If you gain the ability to Rebuke/Control Undead, you can also Rebuke/control spiders of all kinds. If you have an animal companion, special mount, or similar ability, you can swap it for a Monstruous Spider of same CR (or other spider-like monster, with DM's aproval).																	SOURCEPAGE:ROC	BONUS:ABILITYPOOL|Turn Spider|1|TYPE=Feat	COMPANIONLIST:Animal Companion|Companion ~ Monstrous Spider ~ Tiny,Companion ~ Monstrous Spider ~ Small,Companion ~ Monstrous Spider ~ Medium,Companion ~ Monstrous Spider ~ Large,Companion ~ Monstrous Spider ~ Huge,Companion ~ Monstrous Spider ~ Gargantuan,Companion ~ Monstrous Spider ~ Colossal	COMPANIONLIST:Familiar|Companion ~ Monstrous Spider ~ Tiny,Companion ~ Monstrous Spider ~ Small,Companion ~ Monstrous Spider ~ Medium,Companion ~ Monstrous Spider ~ Large,Companion ~ Monstrous Spider ~ Huge,Companion ~ Monstrous Spider ~ Gargantuan,Companion ~ Monstrous Spider ~ Colossal	COMPANIONLIST:Special Mount|Companion ~ Monstrous Spider ~ Tiny,Companion ~ Monstrous Spider ~ Small,Companion ~ Monstrous Spider ~ Medium,Companion ~ Monstrous Spider ~ Large,Companion ~ Monstrous Spider ~ Huge,Companion ~ Monstrous Spider ~ Gargantuan,Companion ~ Monstrous Spider ~ Colossal
