SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Create Water.MOD	CLASSES:Acolyte=0	
Cure Minor Wounds.MOD	CLASSES:Acolyte=0	
Detect Magic.MOD	CLASSES:Acolyte=0	
Detect Poison.MOD	CLASSES:Acolyte=0	
Guidance.MOD	CLASSES:Acolyte=0	
Inflict Minor Wounds.MOD	CLASSES:Acolyte=0	
Light.MOD	CLASSES:Acolyte=0	
Mending.MOD	CLASSES:Acolyte=0	
Purify Food and Drink.MOD	CLASSES:Acolyte=0	
Resistance.MOD	CLASSES:Acolyte=0	
Virtue.MOD	CLASSES:Acolyte=0	
Bane.MOD	CLASSES:Acolyte=1	
Bless.MOD	CLASSES:Acolyte=1	
Bless Water.MOD	CLASSES:Acolyte=1	
Cause Fear.MOD	CLASSES:Acolyte=1	
Command.MOD	CLASSES:Acolyte=1	
Comprehend Languages.MOD	CLASSES:Acolyte=1	
Cure Light Wounds.MOD	CLASSES:Acolyte=1	
Curse Water.MOD	CLASSES:Acolyte=1	
Deathwatch.MOD	CLASSES:Acolyte=1	
Detect Chaos.MOD	CLASSES:Acolyte=1	
Detect Evil.MOD	CLASSES:Acolyte=1	
Detect Good.MOD	CLASSES:Acolyte=1	
Detect Law.MOD	CLASSES:Acolyte=1	
Detect Undead.MOD	CLASSES:Acolyte=1	
Divine Favor.MOD	CLASSES:Acolyte=1	
Doom.MOD	CLASSES:Acolyte=1	
Endure Elements.MOD	CLASSES:Acolyte=1	
Inflict Light Wounds.MOD	CLASSES:Acolyte=1	
Magic Weapon.MOD	CLASSES:Acolyte=1	
Remove Fear.MOD	CLASSES:Acolyte=1	
Shield of Faith.MOD	CLASSES:Acolyte=1	
Aid.MOD	CLASSES:Acolyte=2	
Align Weapon.MOD	CLASSES:Acolyte=2	
Augury.MOD	CLASSES:Acolyte=2	
Calm Emotions.MOD	CLASSES:Acolyte=2	
Cure Moderate Wounds.MOD	CLASSES:Acolyte=2	
Darkness.MOD	CLASSES:Acolyte=2	
Delay Poison.MOD	CLASSES:Acolyte=2	
Eagle's Splendor.MOD	CLASSES:Acolyte=2	
Enthrall.MOD	CLASSES:Acolyte=2	
Find Traps.MOD	CLASSES:Acolyte=2	
Gentle Repose.MOD	CLASSES:Acolyte=2	
Hold Person.MOD	CLASSES:Acolyte=2	
Inflict Moderate Wounds.MOD	CLASSES:Acolyte=2	
Make Whole.MOD	CLASSES:Acolyte=2	
